Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 18.00 degrees [A] RIGHT WP at 18.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
94652,911172,675448,249018,0,0,0,0,372,16301,5431,0,0,0,0,165062,54581,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,229,1262,0,0,0,0,821,657,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,114,58,0,0,0,0,850,348,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421,355768,227295,103925,0,0,0,0,0
94495,911781,672017,250669,0,0,0,0,387,16162,5424,0,0,0,0,165514,54754,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,228,1273,0,0,0,0,823,654,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,122,53,0,0,0,0,811,300,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40597,356309,227645,104142,0,0,0,0,0
97572,910096,673815,251908,0,0,0,0,407,16882,5498,0,0,0,0,164778,54634,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,231,1274,0,0,0,0,823,655,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,112,59,0,0,0,0,833,316,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41778,354790,227425,104564,0,0,0,0,0
104894,903275,672867,251279,0,0,0,0,438,18076,6143,0,0,0,0,163758,54228,0,0,0,0,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,234,1279,0,0,0,0,815,661,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,133,50,0,0,0,0,820,299,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45029,353050,227714,104244,0,0,0,0,0
115294,897715,674285,252258,0,0,0,0,459,20115,6866,0,0,0,0,162833,54049,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,235,1267,0,0,0,0,807,668,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,147,69,0,0,0,0,778,302,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50154,351134,228900,104739,0,0,0,0,0
130458,884447,675538,252440,0,0,0,0,544,23089,7855,0,0,0,0,160594,52905,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,235,1259,0,0,0,0,799,674,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,151,70,0,0,0,0,782,294,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57145,346434,229097,104273,0,0,0,0,0
157275,863882,675726,252637,0,0,0,0,615,26443,8890,0,0,0,0,157424,52411,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,238,1255,0,0,0,0,788,689,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,204,77,0,0,0,0,768,294,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64969,339806,229726,104802,0,0,0,0,0
180624,842869,677624,252942,0,0,0,0,633,30020,10001,0,0,0,0,154816,51034,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,241,1236,0,0,0,0,778,698,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,219,81,0,0,0,0,798,307,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73330,333983,230294,104044,0,0,0,0,0
206832,821874,677348,252419,0,0,0,0,732,34362,11729,0,0,0,0,150955,49875,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,245,1223,0,0,0,0,760,713,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,240,94,0,0,0,0,737,265,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83429,326414,230691,104388,0,0,0,0,0
236508,796540,678898,253795,0,0,0,0,781,38874,13142,0,0,0,0,147825,49159,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,249,1211,0,0,0,0,743,727,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,240,93,0,0,0,0,687,280,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94350,320213,231920,104809,0,0,0,0,0
