Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 20.00 degrees [A] RIGHT WP at 20.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96575,920281,659016,277655,0,0,0,0,390,15845,6363,0,0,0,0,162444,62866,0,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,233,1306,0,0,0,0,838,679,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,121,54,0,0,0,0,772,403,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41324,357240,227734,119733,0,0,0,0,0
94733,919841,646536,287272,0,0,0,0,395,15356,6330,0,0,0,0,160912,63341,0,0,0,0,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,230,1307,0,0,0,0,840,678,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,112,53,0,0,0,0,869,344,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40502,355050,225525,120049,0,0,0,0,0
97202,916743,644477,288129,0,0,0,0,395,16113,6424,0,0,0,0,159524,63403,0,0,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,235,1309,0,0,0,0,842,686,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,108,59,0,0,0,0,786,350,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41901,352610,225001,120459,0,0,0,0,0
103330,911860,645938,287776,0,0,0,0,419,17316,6952,0,0,0,0,158853,62732,0,0,0,0,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,232,1303,0,0,0,0,834,688,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,120,64,0,0,0,0,828,350,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44920,351066,225193,119909,0,0,0,0,0
120089,896635,645640,286270,0,0,0,0,491,19433,7802,0,0,0,0,157278,61973,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,239,1294,0,0,0,0,827,692,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,143,62,0,0,0,0,759,345,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50509,347299,225608,119871,0,0,0,0,0
136359,881315,643149,286009,0,0,0,0,494,21556,8686,0,0,0,0,153708,60968,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,236,1289,0,0,0,0,821,702,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,140,69,0,0,0,0,740,359,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55484,340193,223737,119054,0,0,0,0,0
156467,863058,642084,285643,0,0,0,0,600,24726,9825,0,0,0,0,150854,59614,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,241,1284,0,0,0,0,808,713,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,164,72,0,0,0,0,809,337,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63256,334333,223270,118371,0,0,0,0,0
179971,842448,644107,286028,0,0,0,0,713,28342,11240,0,0,0,0,147210,57864,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,248,1268,0,0,0,0,795,728,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,185,97,0,0,0,0,751,330,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71953,326667,222459,117214,0,0,0,0,0
206266,816922,642178,285602,0,0,0,0,763,32228,12924,0,0,0,0,144002,56786,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,251,1260,0,0,0,0,779,744,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,218,98,0,0,0,0,715,377,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81845,319493,223177,117794,0,0,0,0,0
234176,791552,641395,285153,0,0,0,0,797,36198,14734,0,0,0,0,138479,54717,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,256,1242,0,0,0,0,761,757,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,239,117,0,0,0,0,677,308,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91213,308436,220845,116494,0,0,0,0,0
263178,763353,641265,285198,0,0,0,0,861,41189,16389,0,0,0,0,133740,52872,0,0,0,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,261,1230,0,0,0,0,744,779,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,245,117,0,0,0,0,645,288,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101774,298774,220813,116012,0,0,0,0,0
294164,734794,640150,285019,0,0,0,0,907,48788,19491,0,0,0,0,127497,50063,0,0,0,0,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,272,1200,0,0,0,0,718,803,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,279,143,0,0,0,0,663,280,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119918,285551,221386,115594,0,0,0,0,0
325966,707094,639975,284579,0,0,0,0,1057,53912,21472,0,0,0,0,122432,48296,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,278,1190,0,0,0,0,697,826,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,322,136,0,0,0,0,656,274,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131420,275416,221269,115395,0,0,0,0,0
354095,680025,639565,283784,0,0,0,0,1077,58560,23612,0,0,0,0,117943,46042,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,288,1166,0,0,0,0,677,845,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,324,153,0,0,0,0,609,262,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142170,265318,221328,115025,0,0,0,0,0
384032,653082,640137,284492,0,0,0,0,1139,63180,25472,0,0,0,0,113239,44328,0,0,0,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,292,1155,0,0,0,0,660,867,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,347,154,0,0,0,0,586,297,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152452,255561,220836,115210,0,0,0,0,0
