Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 24.00 degrees [A] RIGHT WP at 24.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95689,911320,578589,344490,0,0,0,0,411,13796,7587,0,0,0,0,141093,76364,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,248,1350,0,0,0,0,877,736,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,98,65,0,0,0,0,694,417,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39776,329988,206508,144025,0,0,0,0,0
94062,912475,576613,347835,0,0,0,0,412,13615,7501,0,0,0,0,141919,75964,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,244,1356,0,0,0,0,879,737,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,110,56,0,0,0,0,753,436,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39019,331335,206546,143721,0,0,0,0,0
97227,909218,575595,347958,0,0,0,0,401,14342,7733,0,0,0,0,141659,76371,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,247,1362,0,0,0,0,877,740,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,110,70,0,0,0,0,721,499,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40748,331313,207365,144575,0,0,0,0,0
103384,902603,575558,348564,0,0,0,0,407,15530,8372,0,0,0,0,140213,75544,0,0,0,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,246,1350,0,0,0,0,873,740,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,120,69,0,0,0,0,788,407,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43811,327782,206922,144118,0,0,0,0,0
112956,895412,577176,348135,0,0,0,0,474,17133,9037,0,0,0,0,138838,74649,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,244,1353,0,0,0,0,867,751,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,114,76,0,0,0,0,731,418,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48089,324695,206708,143454,0,0,0,0,0
135493,877169,574861,348109,0,0,0,0,491,19320,10576,0,0,0,0,136861,73716,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,251,1344,0,0,0,0,860,755,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,131,79,0,0,0,0,689,431,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54256,321481,206277,143486,0,0,0,0,0
156450,858569,576106,347959,0,0,0,0,582,22155,12125,0,0,0,0,134808,72192,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,252,1339,0,0,0,0,847,769,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,138,100,0,0,0,0,665,397,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61988,316220,206916,142934,0,0,0,0,0
179061,839438,576346,348202,0,0,0,0,672,25407,13805,0,0,0,0,131825,71199,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,262,1322,0,0,0,0,835,782,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,159,107,0,0,0,0,689,397,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70192,310814,206909,143389,0,0,0,0,0
206203,815904,576973,348286,0,0,0,0,735,29404,16118,0,0,0,0,128870,68763,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,263,1310,0,0,0,0,817,798,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,189,122,0,0,0,0,647,388,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80868,304036,207032,142204,0,0,0,0,0
233207,789369,575947,347299,0,0,0,0,836,34757,18601,0,0,0,0,123626,66133,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,272,1294,0,0,0,0,793,821,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,249,131,0,0,0,0,630,376,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94226,292193,205986,141736,0,0,0,0,0
