Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 28.00 degrees [A] RIGHT WP at 28.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96577,922083,525510,409227,0,0,0,0,407,12875,9129,0,0,0,0,130455,91713,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,255,1406,0,0,0,0,919,781,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,94,88,0,0,0,0,650,460,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40392,325165,197653,173217,0,0,0,0,0
95538,923088,525424,411571,0,0,0,0,405,12866,9009,0,0,0,0,130947,91722,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,259,1411,0,0,0,0,920,782,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,92,75,0,0,0,0,626,450,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40100,325575,198226,173698,0,0,0,0,0
98841,919398,526646,410583,0,0,0,0,379,13229,9320,0,0,0,0,130534,91333,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,257,1415,0,0,0,0,916,783,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,104,75,0,0,0,0,676,483,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41304,324755,198297,172773,0,0,0,0,0
105781,913805,525022,410722,0,0,0,0,454,14419,9962,0,0,0,0,128950,90315,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,259,1406,0,0,0,0,914,788,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,95,84,0,0,0,0,652,485,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44743,321161,197105,171931,0,0,0,0,0
116046,905760,526119,410753,0,0,0,0,471,15921,11152,0,0,0,0,128499,90079,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,259,1401,0,0,0,0,904,795,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,79,0,0,0,0,622,487,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49536,320563,198099,172999,0,0,0,0,0
131317,891982,524941,410783,0,0,0,0,534,18102,12776,0,0,0,0,127165,88381,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,263,1396,0,0,0,0,895,804,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,131,95,0,0,0,0,628,494,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55674,317193,198246,172412,0,0,0,0,0
150177,877340,525029,411221,0,0,0,0,602,20800,14833,0,0,0,0,124705,87321,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,268,1380,0,0,0,0,884,816,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,151,118,0,0,0,0,624,440,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64037,312693,198055,172536,0,0,0,0,0
171980,857020,525760,411750,0,0,0,0,731,24371,17020,0,0,0,0,121093,85008,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,272,1374,0,0,0,0,867,830,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,166,127,0,0,0,0,623,453,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73370,305477,197403,171089,0,0,0,0,0
196590,836555,525438,410428,0,0,0,0,796,27505,19500,0,0,0,0,118187,82427,0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,275,1360,0,0,0,0,853,846,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,175,122,0,0,0,0,599,423,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82517,298531,196933,169983,0,0,0,0,0
236707,801633,525788,410802,0,0,0,0,823,31432,22284,0,0,0,0,114676,79510,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,282,1343,0,0,0,0,839,863,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,198,165,0,0,0,0,579,449,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93213,290157,196375,169094,0,0,0,0,0
267036,773238,527600,411163,0,0,0,0,913,35033,24589,0,0,0,0,111180,77428,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,294,1336,0,0,0,0,818,884,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,223,160,0,0,0,0,584,470,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103448,282940,195514,168317,0,0,0,0,0
297662,746697,525973,411792,0,0,0,0,978,39412,27648,0,0,0,0,107539,74522,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,299,1313,0,0,0,0,799,905,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,245,164,0,0,0,0,541,405,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114815,274644,195808,167724,0,0,0,0,0
330118,715133,525152,412136,0,0,0,0,1051,43308,30769,0,0,0,0,103714,71821,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,310,1298,0,0,0,0,778,924,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,276,194,0,0,0,0,532,391,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125742,266241,195249,167322,0,0,0,0,0
361195,687763,525740,411040,0,0,0,0,1052,47555,33788,0,0,0,0,99775,68634,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,317,1277,0,0,0,0,758,942,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,291,198,0,0,0,0,512,359,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136751,256793,195083,166347,0,0,0,0,0
392063,658235,525744,411064,0,0,0,0,1146,52668,37135,0,0,0,0,94288,65087,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,332,1256,0,0,0,0,731,969,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,297,222,0,0,0,0,478,352,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149662,244577,193915,165337,0,0,0,0,0
420957,631724,526105,411014,0,0,0,0,1247,57430,40356,0,0,0,0,90079,63072,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,343,1238,0,0,0,0,715,989,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,286,227,0,0,0,0,438,355,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161369,236409,194891,166384,0,0,0,0,0
447949,606502,526523,412202,0,0,0,0,1185,60673,42949,0,0,0,0,86861,60375,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,352,1224,0,0,0,0,694,1013,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,323,241,0,0,0,0,454,323,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169483,228093,194956,166205,0,0,0,0,0
471297,584409,525327,410552,0,0,0,0,1258,64006,45052,0,0,0,0,83312,57753,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,361,1201,0,0,0,0,681,1026,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,327,278,0,0,0,0,436,347,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177786,220193,193592,165084,0,0,0,0,0
492691,564335,525899,411024,0,0,0,0,1289,67154,47655,0,0,0,0,80177,55730,0,0,0,0,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,366,1199,0,0,0,0,667,1042,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,381,261,0,0,0,0,453,303,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185602,213162,193811,165949,0,0,0,0,0
509310,549202,525382,411070,0,0,0,0,1277,68948,49028,0,0,0,0,78602,53753,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,375,1186,0,0,0,0,656,1054,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,360,275,0,0,0,0,391,310,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190422,208205,193629,165009,0,0,0,0,0
523288,534519,525709,410730,0,0,0,0,1291,70738,50555,0,0,0,0,76213,52701,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,380,1177,0,0,0,0,645,1064,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,386,265,0,0,0,0,428,306,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195044,202914,193425,165589,0,0,0,0,0
534017,522912,524882,410605,0,0,0,0,1209,72401,51403,0,0,0,0,74857,51611,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,383,1173,0,0,0,0,638,1073,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,395,312,0,0,0,0,381,301,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198056,199894,193702,165380,0,0,0,0,0
541174,516892,526023,411377,0,0,0,0,1266,73664,51714,0,0,0,0,73548,51057,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,387,1167,0,0,0,0,629,1078,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,374,265,0,0,0,0,406,304,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200544,197152,193484,165196,0,0,0,0,0
541502,514720,525331,410027,0,0,0,0,1214,72759,51967,0,0,0,0,73774,50670,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,386,1169,0,0,0,0,632,1078,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,355,279,0,0,0,0,418,269,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199612,196874,192926,164242,0,0,0,0,0
542488,513152,524871,409716,0,0,0,0,1248,73010,51609,0,0,0,0,73400,50582,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,387,1163,0,0,0,0,630,1078,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,359,267,0,0,0,0,430,281,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199455,196058,192741,163852,0,0,0,0,0
537022,521493,524968,410644,0,0,0,0,1255,72287,51719,0,0,0,0,74556,51508,0,0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,386,1169,0,0,0,0,637,1071,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,356,277,0,0,0,0,393,279,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198187,199486,193491,165449,0,0,0,0,0
526462,529233,525769,410211,0,0,0,0,1261,70683,50029,0,0,0,0,75366,52400,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,382,1178,0,0,0,0,644,1066,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,370,285,0,0,0,0,386,301,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193943,201527,192091,164130,0,0,0,0,0
508858,546060,525191,410236,0,0,0,0,1287,68709,48812,0,0,0,0,77500,53554,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,376,1183,0,0,0,0,651,1061,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,367,280,0,0,0,0,408,299,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189722,205734,192217,164358,0,0,0,0,0
490585,562416,525560,409933,0,0,0,0,1224,66873,47486,0,0,0,0,79543,54991,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,373,1189,0,0,0,0,660,1046,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,374,288,0,0,0,0,461,311,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184490,211051,192707,164674,0,0,0,0,0
468441,584550,524614,411035,0,0,0,0,1214,63011,44942,0,0,0,0,83393,57801,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,359,1207,0,0,0,0,679,1025,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,337,252,0,0,0,0,473,297,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175876,220001,192743,165047,0,0,0,0,0
444742,606000,524612,411051,0,0,0,0,1271,59597,42496,0,0,0,0,86515,59793,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,354,1221,0,0,0,0,693,1009,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,322,238,0,0,0,0,455,316,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167607,226723,192579,164772,0,0,0,0,0
420755,627357,524973,408934,0,0,0,0,1149,56323,39667,0,0,0,0,90393,61944,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,344,1234,0,0,0,0,710,994,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,305,244,0,0,0,0,469,345,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158491,234828,193635,164183,0,0,0,0,0
