Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 40.00 degrees [A] RIGHT WP at 40.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95722,919261,430900,497029,0,0,0,0,379,10540,10837,0,0,0,0,108273,112602,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,276,1491,0,0,0,0,974,863,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92,85,0,0,0,0,568,613,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39688,305123,172480,213438,0,0,0,0,0
94868,921563,432162,496447,0,0,0,0,395,10574,10756,0,0,0,0,107855,112422,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,268,1486,0,0,0,0,976,862,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,88,85,0,0,0,0,572,592,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39409,304576,172573,212180,0,0,0,0,0
97782,916942,430071,498127,0,0,0,0,411,10905,11218,0,0,0,0,106729,111819,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,280,1492,0,0,0,0,972,863,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,82,79,0,0,0,0,542,550,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40717,302201,171170,211815,0,0,0,0,0
104611,912522,429453,496814,0,0,0,0,438,11747,12213,0,0,0,0,106502,110194,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,282,1485,0,0,0,0,969,867,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,84,0,0,0,0,552,562,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43845,300812,171202,210170,0,0,0,0,0
116195,905437,431122,498426,0,0,0,0,502,13466,13718,0,0,0,0,105054,109631,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,285,1487,0,0,0,0,962,876,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,113,101,0,0,0,0,512,588,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49448,298561,171319,210519,0,0,0,0,0
130751,889980,430072,499087,0,0,0,0,532,15151,15719,0,0,0,0,103463,108387,0,0,0,0,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,284,1476,0,0,0,0,950,889,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,107,117,0,0,0,0,562,596,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55631,295235,170687,211082,0,0,0,0,0
157681,868827,430986,497475,0,0,0,0,637,17228,17884,0,0,0,0,102194,105864,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,290,1465,0,0,0,0,941,898,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,120,132,0,0,0,0,532,513,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62728,291379,170907,208980,0,0,0,0,0
181403,847897,430101,497094,0,0,0,0,683,19751,20451,0,0,0,0,99760,103809,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,297,1456,0,0,0,0,925,910,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,171,138,0,0,0,0,503,521,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71200,286397,170029,208571,0,0,0,0,0
207272,822660,430340,496113,0,0,0,0,728,22376,23151,0,0,0,0,97421,100787,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,300,1444,0,0,0,0,909,925,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,152,172,0,0,0,0,531,521,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79972,280193,169315,206606,0,0,0,0,0
236032,799113,430585,498148,0,0,0,0,857,26502,27263,0,0,0,0,93923,97201,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,314,1423,0,0,0,0,889,949,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,154,175,0,0,0,0,467,479,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93177,272325,168814,205431,0,0,0,0,0
