Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 42.00 degrees [A] RIGHT WP at 42.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96232,919015,430322,496831,0,0,0,0,413,10645,11084,0,0,0,0,107688,112105,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,277,1488,0,0,0,0,972,865,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,86,98,0,0,0,0,513,575,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40108,304322,171894,212123,0,0,0,0,0
95195,922056,429127,496688,0,0,0,0,393,10634,10960,0,0,0,0,108655,112314,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,279,1498,0,0,0,0,974,862,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84,81,0,0,0,0,560,544,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39933,306016,173217,212609,0,0,0,0,0
98304,920250,430865,497495,0,0,0,0,417,10821,11510,0,0,0,0,108044,111676,0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,280,1493,0,0,0,0,971,866,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,81,82,0,0,0,0,592,585,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41045,304570,172654,212010,0,0,0,0,0
107471,913055,431143,498536,0,0,0,0,402,11908,12554,0,0,0,0,106841,111074,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,278,1486,0,0,0,0,967,869,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,94,100,0,0,0,0,557,633,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44179,302399,172091,212500,0,0,0,0,0
117034,903906,430158,497906,0,0,0,0,490,13235,13513,0,0,0,0,104979,110319,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,280,1483,0,0,0,0,960,878,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,104,104,0,0,0,0,554,565,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49031,298763,171246,211192,0,0,0,0,0
133092,888835,431602,498563,0,0,0,0,563,15296,15694,0,0,0,0,104507,107214,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,286,1473,0,0,0,0,947,889,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,108,110,0,0,0,0,545,551,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55688,295858,171750,209301,0,0,0,0,0
151080,872465,429833,496356,0,0,0,0,578,17273,18028,0,0,0,0,102431,105406,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,292,1464,0,0,0,0,934,901,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,137,116,0,0,0,0,512,552,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63027,291376,171054,208248,0,0,0,0,0
173599,854293,430536,498208,0,0,0,0,646,20356,20854,0,0,0,0,99596,103540,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,295,1454,0,0,0,0,919,915,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,137,138,0,0,0,0,492,518,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72677,285993,170475,208550,0,0,0,0,0
198368,831281,429763,496978,0,0,0,0,745,22987,23932,0,0,0,0,97201,100228,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,304,1440,0,0,0,0,904,931,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,173,173,0,0,0,0,471,543,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82124,279743,169729,206139,0,0,0,0,0
236357,800455,429882,498070,0,0,0,0,823,26240,27009,0,0,0,0,94586,97574,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,313,1432,0,0,0,0,885,952,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,159,159,0,0,0,0,559,476,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92257,273629,169966,205670,0,0,0,0,0
