Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 44.00 degrees [A] RIGHT WP at 44.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96196,921847,432850,493349,0,0,0,0,399,10711,10916,0,0,0,0,109528,111327,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,275,1495,0,0,0,0,972,857,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,81,85,0,0,0,0,567,579,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39783,306974,173962,210593,0,0,0,0,0
95127,923180,435047,491977,0,0,0,0,393,10783,10663,0,0,0,0,108801,112090,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,273,1488,0,0,0,0,972,857,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,84,80,0,0,0,0,565,600,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39604,306335,173865,211044,0,0,0,0,0
97495,920832,433913,491618,0,0,0,0,418,11087,11092,0,0,0,0,108838,111297,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,274,1483,0,0,0,0,972,859,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,80,80,0,0,0,0,525,582,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40973,305491,173639,210826,0,0,0,0,0
104995,914506,433574,490917,0,0,0,0,401,11930,12084,0,0,0,0,108294,109967,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,276,1487,0,0,0,0,963,866,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,90,93,0,0,0,0,565,567,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43782,303811,173869,209344,0,0,0,0,0
116441,905356,433933,492815,0,0,0,0,482,13476,13534,0,0,0,0,106687,108890,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,281,1476,0,0,0,0,957,873,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,122,105,0,0,0,0,541,559,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48985,300831,172615,209428,0,0,0,0,0
131957,890854,434673,491667,0,0,0,0,538,15403,15608,0,0,0,0,105214,107376,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,283,1469,0,0,0,0,947,883,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,97,111,0,0,0,0,537,576,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56010,297495,173235,208394,0,0,0,0,0
157895,868860,435151,491964,0,0,0,0,616,17631,18050,0,0,0,0,103137,104954,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,291,1457,0,0,0,0,936,892,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,132,125,0,0,0,0,521,559,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63488,292688,172578,207054,0,0,0,0,0
181393,847133,434855,491686,0,0,0,0,678,20027,20201,0,0,0,0,101061,103301,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,296,1454,0,0,0,0,919,910,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,148,136,0,0,0,0,509,548,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71520,288187,171767,206832,0,0,0,0,0
206980,824919,434757,491738,0,0,0,0,782,23080,23124,0,0,0,0,99510,100727,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,295,1442,0,0,0,0,904,924,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,155,154,0,0,0,0,521,528,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81168,284046,172725,206298,0,0,0,0,0
236435,799138,434945,490442,0,0,0,0,854,25837,26398,0,0,0,0,95531,97382,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,307,1426,0,0,0,0,889,937,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,162,202,0,0,0,0,512,499,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91048,275135,170663,203978,0,0,0,0,0
266113,770467,434997,490628,0,0,0,0,973,29542,29743,0,0,0,0,92856,93877,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,317,1403,0,0,0,0,868,959,0,0,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,197,194,0,0,0,0,506,491,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101567,268927,170803,202364,0,0,0,0,0
298029,742801,434146,490903,0,0,0,0,977,32354,33189,0,0,0,0,89406,90717,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,322,1394,0,0,0,0,849,978,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,205,201,0,0,0,0,488,508,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111393,260533,169218,201407,0,0,0,0,0
