Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 50.00 degrees [A] RIGHT WP at 50.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95313,920323,469378,450155,0,0,0,0,428,11927,9950,0,0,0,0,118738,101626,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,265,1442,0,0,0,0,944,821,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,102,76,0,0,0,0,613,551,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40258,314143,184937,191410,0,0,0,0,0
94099,919442,473325,446291,0,0,0,0,372,11639,9824,0,0,0,0,119386,100869,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,269,1442,0,0,0,0,942,821,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,109,88,0,0,0,0,629,530,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39447,313954,185457,190136,0,0,0,0,0
97156,918149,473086,447174,0,0,0,0,399,11947,10201,0,0,0,0,119377,101454,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,267,1450,0,0,0,0,944,822,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,96,95,0,0,0,0,611,530,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40924,314916,185684,191449,0,0,0,0,0
104267,911161,471829,447272,0,0,0,0,435,12916,11134,0,0,0,0,118245,100777,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,269,1443,0,0,0,0,937,828,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,95,95,0,0,0,0,586,530,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44059,312939,185234,191053,0,0,0,0,0
113932,902881,473573,446268,0,0,0,0,473,14438,12126,0,0,0,0,116326,99099,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,268,1437,0,0,0,0,930,832,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,121,94,0,0,0,0,555,518,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48264,308347,184221,189223,0,0,0,0,0
136611,883000,473437,446823,0,0,0,0,511,16503,14247,0,0,0,0,115290,97745,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,277,1431,0,0,0,0,920,843,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,122,100,0,0,0,0,602,549,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55779,305572,184650,189440,0,0,0,0,0
157283,864869,472628,448501,0,0,0,0,634,18844,16252,0,0,0,0,112503,95850,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,277,1422,0,0,0,0,910,856,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,136,112,0,0,0,0,605,470,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62941,299818,183202,188821,0,0,0,0,0
181762,843408,473142,446633,0,0,0,0,630,21943,18662,0,0,0,0,110625,93502,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,283,1408,0,0,0,0,895,866,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,153,130,0,0,0,0,552,546,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71773,295283,183936,187702,0,0,0,0,0
207353,820883,473116,447019,0,0,0,0,695,24426,20924,0,0,0,0,108221,92096,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,287,1405,0,0,0,0,880,882,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,185,139,0,0,0,0,613,506,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79902,290625,183812,187289,0,0,0,0,0
235890,796926,474716,448824,0,0,0,0,806,27679,23844,0,0,0,0,104987,89049,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,293,1380,0,0,0,0,866,900,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,207,147,0,0,0,0,569,458,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89927,283008,182587,186207,0,0,0,0,0
