Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 52.00 degrees [A] RIGHT WP at 52.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95913,922198,495828,426953,0,0,0,0,409,12125,9717,0,0,0,0,124271,98889,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,262,1431,0,0,0,0,935,808,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,111,93,0,0,0,0,622,540,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40229,321347,191588,185615,0,0,0,0,0
95756,923022,496480,426950,0,0,0,0,375,12388,9367,0,0,0,0,125951,97495,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,262,1427,0,0,0,0,935,801,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,104,80,0,0,0,0,674,539,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40281,322694,193246,183228,0,0,0,0,0
99539,920853,497498,427388,0,0,0,0,374,12663,9695,0,0,0,0,125671,97874,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,259,1431,0,0,0,0,933,802,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,97,79,0,0,0,0,657,505,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41384,322881,193438,183834,0,0,0,0,0
107436,914701,497444,427990,0,0,0,0,423,13633,10733,0,0,0,0,125035,96655,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,261,1425,0,0,0,0,926,806,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,96,84,0,0,0,0,605,528,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44739,321032,193373,182977,0,0,0,0,0
120676,903589,497343,428375,0,0,0,0,512,15599,12192,0,0,0,0,123091,96152,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,264,1423,0,0,0,0,919,819,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,103,81,0,0,0,0,612,500,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50670,317515,193215,183830,0,0,0,0,0
136211,888954,496755,426449,0,0,0,0,566,17571,13702,0,0,0,0,121611,93560,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,271,1404,0,0,0,0,909,823,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,124,90,0,0,0,0,601,455,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56742,313340,192499,181130,0,0,0,0,0
156250,870055,497149,427392,0,0,0,0,610,20320,15958,0,0,0,0,118864,91732,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,271,1401,0,0,0,0,896,837,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,140,103,0,0,0,0,582,448,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65336,306987,191508,181319,0,0,0,0,0
180429,850221,498325,427230,0,0,0,0,649,23780,18163,0,0,0,0,116644,89734,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,279,1387,0,0,0,0,879,852,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,149,124,0,0,0,0,600,458,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74551,302052,192432,180522,0,0,0,0,0
205341,826437,497900,427199,0,0,0,0,814,27078,21122,0,0,0,0,113162,86897,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,284,1383,0,0,0,0,865,870,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,169,134,0,0,0,0,557,466,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84960,294376,191141,179496,0,0,0,0,0
232510,803078,497478,427569,0,0,0,0,869,30650,23764,0,0,0,0,109518,84908,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,293,1356,0,0,0,0,848,885,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,181,172,0,0,0,0,567,460,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95253,287257,190538,178708,0,0,0,0,0
263613,776765,496468,426211,0,0,0,0,910,34790,26656,0,0,0,0,106731,81372,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,304,1339,0,0,0,0,828,905,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,226,177,0,0,0,0,542,420,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106506,279514,190815,177117,0,0,0,0,0
293942,749616,496757,427045,0,0,0,0,1026,38681,30160,0,0,0,0,102483,78424,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,308,1324,0,0,0,0,807,926,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,242,188,0,0,0,0,533,432,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117749,270629,189625,176774,0,0,0,0,0
324331,720294,495936,427397,0,0,0,0,1042,42480,33543,0,0,0,0,97842,75306,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,321,1311,0,0,0,0,786,948,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,242,208,0,0,0,0,534,411,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128275,260928,188409,175599,0,0,0,0,0
356030,691895,496075,428491,0,0,0,0,1079,46908,36610,0,0,0,0,93562,72521,0,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,330,1295,0,0,0,0,768,971,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,273,220,0,0,0,0,528,383,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139507,251152,187797,176056,0,0,0,0,0
386824,665307,496172,428532,0,0,0,0,1108,51196,40188,0,0,0,0,90185,69520,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,340,1276,0,0,0,0,748,992,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,297,230,0,0,0,0,440,359,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151016,243710,188562,175923,0,0,0,0,0
414304,638569,495999,427926,0,0,0,0,1180,54849,42699,0,0,0,0,87099,66650,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,349,1257,0,0,0,0,727,1008,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,307,226,0,0,0,0,447,407,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160769,235790,188920,174569,0,0,0,0,0
441208,612614,495347,427327,0,0,0,0,1204,58153,45488,0,0,0,0,83136,63745,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,360,1240,0,0,0,0,708,1028,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,328,264,0,0,0,0,443,312,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168950,226546,188086,174189,0,0,0,0,0
465382,590784,497312,426359,0,0,0,0,1222,61598,48216,0,0,0,0,79980,61376,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,367,1226,0,0,0,0,695,1047,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,337,273,0,0,0,0,431,318,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177543,219385,188298,174454,0,0,0,0,0
486236,569242,495296,427302,0,0,0,0,1264,63966,50066,0,0,0,0,77404,59358,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,376,1212,0,0,0,0,681,1057,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,373,297,0,0,0,0,409,339,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183945,212798,188083,173827,0,0,0,0,0
505467,551753,496280,426933,0,0,0,0,1190,66413,51890,0,0,0,0,75137,57546,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,382,1202,0,0,0,0,669,1072,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,357,275,0,0,0,0,409,303,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190074,207535,187891,173706,0,0,0,0,0
519099,537641,496235,427013,0,0,0,0,1251,67931,53743,0,0,0,0,73527,55849,0,0,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,389,1194,0,0,0,0,660,1081,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,350,312,0,0,0,0,406,320,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194333,202749,188000,174396,0,0,0,0,0
