Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 54.00 degrees [A] RIGHT WP at 54.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95222,919740,514393,403547,0,0,0,0,372,12798,8984,0,0,0,0,130509,90837,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,260,1404,0,0,0,0,920,782,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,99,70,0,0,0,0,589,474,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40021,324820,197358,170979,0,0,0,0,0
94910,918912,518523,399864,0,0,0,0,399,12676,8911,0,0,0,0,131224,91227,0,0,0,0,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,258,1399,0,0,0,0,920,779,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,99,78,0,0,0,0,635,517,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40019,326126,198230,171527,0,0,0,0,0
97845,917157,517933,399765,0,0,0,0,404,13317,9373,0,0,0,0,130374,90548,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,255,1401,0,0,0,0,916,781,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,85,69,0,0,0,0,652,470,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41537,324744,197853,170563,0,0,0,0,0
104182,911896,517718,399575,0,0,0,0,431,14295,9933,0,0,0,0,129650,89812,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,257,1395,0,0,0,0,911,786,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,98,89,0,0,0,0,667,438,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44586,322666,197472,170271,0,0,0,0,0
119788,898656,518515,400385,0,0,0,0,499,16106,11235,0,0,0,0,127857,88338,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,261,1396,0,0,0,0,902,794,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,127,80,0,0,0,0,681,467,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49856,318496,197062,169380,0,0,0,0,0
136175,885027,517645,399832,0,0,0,0,500,17842,12579,0,0,0,0,126434,87708,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,261,1395,0,0,0,0,897,802,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,145,99,0,0,0,0,642,490,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55449,315638,197204,169530,0,0,0,0,0
157581,867433,517716,399693,0,0,0,0,531,20802,14365,0,0,0,0,123719,85952,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,272,1379,0,0,0,0,888,809,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,179,111,0,0,0,0,645,486,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63375,310170,196636,168562,0,0,0,0,0
180912,845419,517513,399297,0,0,0,0,719,23572,16769,0,0,0,0,121528,84036,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,272,1372,0,0,0,0,868,830,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,186,111,0,0,0,0,645,435,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72255,305213,196675,168108,0,0,0,0,0
206898,820345,518031,398729,0,0,0,0,755,27286,18702,0,0,0,0,117557,81820,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,280,1356,0,0,0,0,851,843,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,183,134,0,0,0,0,615,453,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81467,297019,195408,167127,0,0,0,0,0
236276,796111,517532,399628,0,0,0,0,825,31104,21487,0,0,0,0,114750,79342,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,287,1340,0,0,0,0,837,859,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,213,142,0,0,0,0,574,457,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92315,290976,195480,166388,0,0,0,0,0
265663,770244,517987,398689,0,0,0,0,939,34839,23993,0,0,0,0,110896,77494,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,292,1326,0,0,0,0,818,879,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,199,182,0,0,0,0,548,432,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102469,283051,195282,166070,0,0,0,0,0
296215,742146,517603,399945,0,0,0,0,995,38959,27263,0,0,0,0,107144,74418,0,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,298,1308,0,0,0,0,801,895,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,246,236,0,0,0,0,543,430,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113740,274360,194860,165737,0,0,0,0,0
328498,713030,517098,400505,0,0,0,0,1035,44706,31297,0,0,0,0,101967,70094,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,316,1284,0,0,0,0,772,927,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,292,203,0,0,0,0,520,384,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128851,262676,193957,164376,0,0,0,0,0
358333,684985,516615,398878,0,0,0,0,1195,48951,34317,0,0,0,0,97497,67555,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,322,1271,0,0,0,0,750,946,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,285,196,0,0,0,0,503,373,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139905,252970,193836,164181,0,0,0,0,0
386794,658073,517237,397801,0,0,0,0,1154,52653,37493,0,0,0,0,93819,64725,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,333,1247,0,0,0,0,730,968,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,298,231,0,0,0,0,510,352,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150212,244162,193571,164013,0,0,0,0,0
416297,629939,516820,398314,0,0,0,0,1195,57136,40189,0,0,0,0,89486,61866,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,347,1227,0,0,0,0,712,987,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,304,288,0,0,0,0,514,321,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160824,234451,193076,163459,0,0,0,0,0
441934,604924,516163,398744,0,0,0,0,1153,60272,42818,0,0,0,0,85936,59233,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,352,1213,0,0,0,0,696,1006,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,350,273,0,0,0,0,496,321,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169235,225917,192905,162662,0,0,0,0,0
466619,581924,517702,398345,0,0,0,0,1158,63905,45022,0,0,0,0,82877,56997,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,361,1201,0,0,0,0,680,1022,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,326,244,0,0,0,0,465,321,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177385,218701,193197,162962,0,0,0,0,0
487417,562021,515260,399781,0,0,0,0,1173,66148,46773,0,0,0,0,80066,54955,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,368,1192,0,0,0,0,665,1038,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,374,255,0,0,0,0,408,315,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183360,211827,192156,162574,0,0,0,0,0
500002,548555,516329,398581,0,0,0,0,1190,68411,48141,0,0,0,0,78098,53424,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,375,1180,0,0,0,0,655,1050,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,390,290,0,0,0,0,417,300,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188551,207260,192263,162158,0,0,0,0,0
