Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 58.00 degrees [A] RIGHT WP at 58.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95975,918512,565070,349024,0,0,0,0,372,14276,7957,0,0,0,0,145192,78419,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,247,1352,0,0,0,0,884,731,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,109,69,0,0,0,0,791,425,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40862,340535,212496,147218,0,0,0,0,0
94872,919918,572530,342923,0,0,0,0,411,14008,7770,0,0,0,0,145056,78667,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,245,1363,0,0,0,0,885,731,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,114,61,0,0,0,0,715,419,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40610,340473,211996,147182,0,0,0,0,0
97934,917095,571566,343248,0,0,0,0,400,14584,7988,0,0,0,0,144786,78332,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,242,1361,0,0,0,0,883,735,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,108,78,0,0,0,0,760,422,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41976,339654,212119,147065,0,0,0,0,0
107091,909668,571993,343017,0,0,0,0,451,15882,8730,0,0,0,0,143633,77624,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,245,1346,0,0,0,0,879,736,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,109,68,0,0,0,0,701,415,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45209,337181,212110,146815,0,0,0,0,0
119881,899051,572152,342495,0,0,0,0,448,17545,9396,0,0,0,0,142183,76865,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,247,1347,0,0,0,0,871,744,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,129,89,0,0,0,0,687,434,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49430,334324,211692,146130,0,0,0,0,0
136927,884958,573156,343092,0,0,0,0,575,20045,10876,0,0,0,0,140352,75517,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,252,1332,0,0,0,0,861,755,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,130,85,0,0,0,0,711,416,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56358,330214,212192,145798,0,0,0,0,0
157483,867533,573861,342974,0,0,0,0,579,23238,12450,0,0,0,0,137884,74069,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,256,1327,0,0,0,0,849,764,0,0,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,163,93,0,0,0,0,677,424,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64914,325025,211933,145221,0,0,0,0,0
181290,847434,571964,342378,0,0,0,0,671,26478,14289,0,0,0,0,134860,72651,0,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,258,1317,0,0,0,0,835,781,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,199,104,0,0,0,0,710,364,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73305,318450,211987,145667,0,0,0,0,0
208277,823484,572501,343225,0,0,0,0,697,30370,16464,0,0,0,0,131449,70648,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,262,1308,0,0,0,0,820,795,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,182,131,0,0,0,0,724,364,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83946,311102,211474,144758,0,0,0,0,0
236561,798263,573725,342793,0,0,0,0,787,34401,18865,0,0,0,0,127969,68839,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,271,1290,0,0,0,0,805,810,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,202,139,0,0,0,0,609,407,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94366,304320,211701,144577,0,0,0,0,0
