Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 60.00 degrees [A] RIGHT WP at 60.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96458,922499,601591,314101,0,0,0,0,441,15344,7081,0,0,0,0,153713,71388,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,242,1325,0,0,0,0,869,701,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,113,66,0,0,0,0,785,387,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41559,350047,220637,133922,0,0,0,0,0
95468,922993,604321,312387,0,0,0,0,396,15165,7114,0,0,0,0,154192,71706,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,240,1328,0,0,0,0,868,705,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,67,0,0,0,0,829,383,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41302,351190,221264,134356,0,0,0,0,0
98966,920606,604080,312163,0,0,0,0,396,15606,7357,0,0,0,0,153660,71460,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,244,1332,0,0,0,0,866,705,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,121,64,0,0,0,0,769,388,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42728,349818,221010,134156,0,0,0,0,0
106046,915059,603307,312951,0,0,0,0,465,16678,8038,0,0,0,0,152339,71101,0,0,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,244,1328,0,0,0,0,860,712,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,118,73,0,0,0,0,768,390,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45994,347247,220630,134145,0,0,0,0,0
118349,903695,604250,311617,0,0,0,0,437,19026,8904,0,0,0,0,150786,69734,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,243,1314,0,0,0,0,851,719,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,137,80,0,0,0,0,762,375,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51326,343524,220710,133565,0,0,0,0,0
134493,888372,602914,312307,0,0,0,0,583,21498,10094,0,0,0,0,147503,69110,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,246,1311,0,0,0,0,843,729,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,140,88,0,0,0,0,713,391,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58056,337597,219625,133340,0,0,0,0,0
154809,872956,604509,312661,0,0,0,0,623,25008,12033,0,0,0,0,145320,67210,0,0,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,251,1304,0,0,0,0,830,740,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,146,83,0,0,0,0,731,382,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67423,331992,220345,133062,0,0,0,0,0
176480,852106,604342,312077,0,0,0,0,700,28873,13455,0,0,0,0,141572,65564,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,257,1292,0,0,0,0,815,752,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,198,94,0,0,0,0,692,389,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76544,324456,219932,131799,0,0,0,0,0
199004,831764,603633,311410,0,0,0,0,803,33126,15384,0,0,0,0,138396,64274,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,260,1279,0,0,0,0,799,768,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,198,112,0,0,0,0,684,375,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86880,318119,220944,132479,0,0,0,0,0
236420,799927,603129,312720,0,0,0,0,870,37038,17681,0,0,0,0,133766,62553,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,266,1268,0,0,0,0,782,786,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,218,118,0,0,0,0,699,344,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97524,308381,219459,132522,0,0,0,0,0
