Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 62.00 degrees [A] RIGHT WP at 62.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96180,922182,620349,293807,0,0,0,0,411,15948,6591,0,0,0,0,160647,65033,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,237,1314,0,0,0,0,851,682,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,111,59,0,0,0,0,807,358,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41894,357336,226557,122236,0,0,0,0,0
96009,921627,633747,279295,0,0,0,0,353,15933,6426,0,0,0,0,161637,64384,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,232,1301,0,0,0,0,848,678,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,112,67,0,0,0,0,790,369,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41833,358458,227241,120796,0,0,0,0,0
97160,919849,632175,280045,0,0,0,0,449,16306,6566,0,0,0,0,160822,64270,0,0,0,0,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,239,1306,0,0,0,0,844,679,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,124,56,0,0,0,0,813,359,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42749,356822,227067,120910,0,0,0,0,0
107452,911562,632241,279664,0,0,0,0,439,17515,7149,0,0,0,0,160349,63488,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,237,1299,0,0,0,0,842,683,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,136,65,0,0,0,0,786,342,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45735,355249,227288,120693,0,0,0,0,0
119725,901503,633236,279335,0,0,0,0,466,19111,7723,0,0,0,0,157101,62400,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,237,1288,0,0,0,0,833,692,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,261,107,0,0,0,0,1996,793,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49811,348585,225169,118994,0,0,0,0,0
136607,886737,632689,279346,0,0,0,0,536,22069,8767,0,0,0,0,156419,62209,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,241,1288,0,0,0,0,828,698,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,155,82,0,0,0,0,756,353,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56853,348111,227477,119781,0,0,0,0,0
157461,869312,633664,280410,0,0,0,0,614,25085,10252,0,0,0,0,154037,60501,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,245,1277,0,0,0,0,813,709,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,177,78,0,0,0,0,762,369,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64987,341726,227444,119602,0,0,0,0,0
181013,847380,632078,278964,0,0,0,0,699,28886,11682,0,0,0,0,150197,59291,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,250,1265,0,0,0,0,803,723,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,242,99,0,0,0,0,777,362,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73807,334074,227499,118815,0,0,0,0,0
207363,824612,632712,279795,0,0,0,0,818,33195,13559,0,0,0,0,146112,58141,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,252,1258,0,0,0,0,786,736,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,233,105,0,0,0,0,755,312,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84709,326200,226992,119556,0,0,0,0,0
236742,797543,632073,279501,0,0,0,0,795,37635,15108,0,0,0,0,142165,56140,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,256,1242,0,0,0,0,768,756,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,255,122,0,0,0,0,718,315,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94534,317832,227157,118151,0,0,0,0,0
