Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 64.00 degrees [A] RIGHT WP at 64.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96192,921704,660146,250585,0,0,0,0,397,16760,5695,0,0,0,0,170120,56589,0,0,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,234,1273,0,0,0,0,827,651,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,109,72,0,0,0,0,848,302,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,367622,234498,106595,0,0,0,0,0
95171,921718,662399,245547,0,0,0,0,369,16727,5633,0,0,0,0,169803,56438,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,230,1279,0,0,0,0,830,647,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,57,0,0,0,0,787,317,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41621,367132,234016,106035,0,0,0,0,0
98324,919658,663221,246837,0,0,0,0,396,17323,5910,0,0,0,0,169397,56041,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,233,1265,0,0,0,0,827,650,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,131,53,0,0,0,0,807,314,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43327,365987,234020,105793,0,0,0,0,0
105294,912424,663587,246334,0,0,0,0,444,18622,6214,0,0,0,0,167150,56021,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,227,1267,0,0,0,0,823,654,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,126,57,0,0,0,0,809,313,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46414,361824,233069,106075,0,0,0,0,0
115610,903885,664010,245281,0,0,0,0,454,20734,7208,0,0,0,0,165662,55119,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,239,1259,0,0,0,0,816,661,0,0,0,0,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,142,73,0,0,0,0,813,317,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52079,358576,233299,105670,0,0,0,0,0
130530,892334,664945,246479,0,0,0,0,539,23800,8144,0,0,0,0,163774,54303,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,242,1256,0,0,0,0,805,671,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,149,62,0,0,0,0,784,299,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58934,354338,234115,106197,0,0,0,0,0
148997,875740,663988,246606,0,0,0,0,598,27268,9291,0,0,0,0,160518,53245,0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,242,1245,0,0,0,0,794,685,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,170,74,0,0,0,0,815,332,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67266,347561,234257,105816,0,0,0,0,0
171618,857346,664628,246307,0,0,0,0,684,31362,10606,0,0,0,0,157361,52195,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,243,1228,0,0,0,0,781,696,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,203,90,0,0,0,0,804,343,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76717,341097,235168,105509,0,0,0,0,0
207527,824769,664243,246997,0,0,0,0,773,36178,12037,0,0,0,0,152800,51045,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,246,1224,0,0,0,0,762,710,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,233,89,0,0,0,0,763,301,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87607,332240,235254,105281,0,0,0,0,0
236720,797869,664992,245779,0,0,0,0,812,41027,13747,0,0,0,0,148966,49218,0,0,0,0,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,250,1207,0,0,0,0,744,730,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,262,100,0,0,0,0,755,284,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99107,323621,235582,105026,0,0,0,0,0
266708,772049,663369,246501,0,0,0,0,893,45928,15718,0,0,0,0,142197,47857,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,254,1190,0,0,0,0,728,746,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,289,134,0,0,0,0,684,277,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110580,310937,233278,104868,0,0,0,0,0
297066,743863,663476,246084,0,0,0,0,944,50996,17376,0,0,0,0,137754,46030,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,265,1178,0,0,0,0,708,767,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,268,115,0,0,0,0,732,270,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122136,300843,233848,104384,0,0,0,0,0
329597,716028,663847,245865,0,0,0,0,1069,57203,19200,0,0,0,0,134095,44103,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,269,1156,0,0,0,0,693,785,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,351,140,0,0,0,0,675,256,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135188,293210,236271,104030,0,0,0,0,0
359907,686416,665079,245116,0,0,0,0,1107,63820,21540,0,0,0,0,126971,41748,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,281,1133,0,0,0,0,667,811,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,363,142,0,0,0,0,688,242,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149699,278736,235445,103498,0,0,0,0,0
