Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 66.00 degrees [A] RIGHT WP at 66.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96490,921125,680380,229016,0,0,0,0,418,17445,5049,0,0,0,0,176148,50359,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,229,1248,0,0,0,0,811,626,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,123,46,0,0,0,0,897,328,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42389,374281,238874,94688,0,0,0,0,0
95326,923756,693919,214097,0,0,0,0,387,17285,4909,0,0,0,0,178200,49258,0,0,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,230,1239,0,0,0,0,811,625,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,121,61,0,0,0,0,896,271,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42273,376510,240463,92808,0,0,0,0,0
99186,920517,693507,214370,0,0,0,0,402,17892,5150,0,0,0,0,177729,49089,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,231,1236,0,0,0,0,810,626,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,124,53,0,0,0,0,839,306,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43466,376117,240428,92686,0,0,0,0,0
107251,911289,693406,213672,0,0,0,0,452,19330,5495,0,0,0,0,176166,48936,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,231,1238,0,0,0,0,804,626,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,138,53,0,0,0,0,841,306,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46738,372890,240317,92965,0,0,0,0,0
120615,899487,692362,213874,0,0,0,0,493,21168,6065,0,0,0,0,174661,48058,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,233,1243,0,0,0,0,800,635,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,138,54,0,0,0,0,818,285,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51345,369353,240007,92387,0,0,0,0,0
137122,886545,693784,213954,0,0,0,0,539,24383,6883,0,0,0,0,171988,47592,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,232,1222,0,0,0,0,787,645,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,167,67,0,0,0,0,849,267,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58529,364169,240821,92500,0,0,0,0,0
157807,867733,692667,214113,0,0,0,0,583,28208,7930,0,0,0,0,167724,46720,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,233,1222,0,0,0,0,777,654,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,199,69,0,0,0,0,834,301,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66858,355772,240433,92222,0,0,0,0,0
182026,851095,693998,214289,0,0,0,0,675,32097,9161,0,0,0,0,165151,45044,0,0,0,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,237,1208,0,0,0,0,763,668,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,214,75,0,0,0,0,841,263,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76123,349312,241204,91473,0,0,0,0,0
208075,825497,692569,213330,0,0,0,0,697,36809,10093,0,0,0,0,160001,44279,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,241,1192,0,0,0,0,746,685,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,254,82,0,0,0,0,815,267,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86179,339069,240624,91607,0,0,0,0,0
236675,798560,692377,213108,0,0,0,0,854,43364,12197,0,0,0,0,153883,42479,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,247,1177,0,0,0,0,726,703,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,270,94,0,0,0,0,844,246,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101141,326965,240787,91294,0,0,0,0,0
