Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 70.00 degrees [A] RIGHT WP at 70.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96516,922010,746222,156146,0,0,0,0,412,19059,3717,0,0,0,0,192639,35795,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,231,1180,0,0,0,0,778,570,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,121,38,0,0,0,0,945,235,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43783,393718,251093,67595,0,0,0,0,0
95209,926120,748503,154775,0,0,0,0,416,18680,3494,0,0,0,0,193541,35870,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,227,1185,0,0,0,0,779,570,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,141,38,0,0,0,0,946,229,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42786,395088,251660,67870,0,0,0,0,0
98422,920785,749970,154356,0,0,0,0,381,19387,3686,0,0,0,0,191935,35795,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,229,1189,0,0,0,0,777,567,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,118,30,0,0,0,0,955,230,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44285,392053,250823,67853,0,0,0,0,0
106995,913853,747701,154425,0,0,0,0,418,21147,3811,0,0,0,0,190653,35459,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,225,1176,0,0,0,0,774,575,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,141,44,0,0,0,0,895,225,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48080,389175,250909,67650,0,0,0,0,0
117107,906661,749437,154788,0,0,0,0,481,23699,4517,0,0,0,0,189503,34968,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,230,1175,0,0,0,0,764,577,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,151,46,0,0,0,0,939,202,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53728,386528,252749,67844,0,0,0,0,0
132276,892924,749691,154123,0,0,0,0,547,26961,5144,0,0,0,0,185878,34183,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,228,1171,0,0,0,0,756,591,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,178,45,0,0,0,0,894,218,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61198,379412,252002,67018,0,0,0,0,0
151343,875024,746976,153748,0,0,0,0,585,31024,6013,0,0,0,0,182577,33365,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,232,1151,0,0,0,0,743,606,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,210,67,0,0,0,0,878,215,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69730,372467,252501,67300,0,0,0,0,0
173531,855879,749222,154424,0,0,0,0,719,35383,6828,0,0,0,0,177930,32905,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,234,1150,0,0,0,0,727,617,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,238,70,0,0,0,0,885,183,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79705,362949,252738,67177,0,0,0,0,0
197370,835135,747956,153980,0,0,0,0,717,41029,7627,0,0,0,0,173478,32117,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,236,1125,0,0,0,0,714,629,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,257,67,0,0,0,0,874,198,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90962,353883,254274,67161,0,0,0,0,0
224844,811500,748272,154328,0,0,0,0,903,46422,8854,0,0,0,0,167827,30829,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,241,1115,0,0,0,0,697,644,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,279,65,0,0,0,0,820,208,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102887,342458,253699,66598,0,0,0,0,0
267593,772867,749874,154316,0,0,0,0,896,52113,9787,0,0,0,0,162452,29963,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,245,1097,0,0,0,0,679,661,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,304,94,0,0,0,0,805,168,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114314,331609,254487,66615,0,0,0,0,0
298532,745812,748624,154171,0,0,0,0,1046,58378,10974,0,0,0,0,157610,28899,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,250,1079,0,0,0,0,660,679,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,311,89,0,0,0,0,784,183,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127303,322039,256098,66479,0,0,0,0,0
