Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 72.00 degrees [A] RIGHT WP at 72.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96015,921349,765269,132916,0,0,0,0,419,19478,2988,0,0,0,0,198501,29466,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,229,1161,0,0,0,0,765,544,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,147,34,0,0,0,0,969,196,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43547,400283,253951,55933,0,0,0,0,0
95057,921357,771372,127227,0,0,0,0,397,19218,2933,0,0,0,0,198298,29446,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,228,1167,0,0,0,0,765,543,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,149,45,0,0,0,0,978,184,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42976,399717,253720,55601,0,0,0,0,0
98738,921993,770695,127817,0,0,0,0,381,20266,3010,0,0,0,0,198447,29541,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,228,1151,0,0,0,0,767,544,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,137,48,0,0,0,0,1045,208,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45110,400135,254864,56065,0,0,0,0,0
104738,916942,770264,127490,0,0,0,0,410,21672,3135,0,0,0,0,197295,29082,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,228,1154,0,0,0,0,760,548,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,162,45,0,0,0,0,968,178,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47842,397439,254810,55830,0,0,0,0,0
120082,902743,771397,127661,0,0,0,0,484,24108,3644,0,0,0,0,194763,28590,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,230,1141,0,0,0,0,752,552,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,149,49,0,0,0,0,951,195,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53595,391773,255083,55470,0,0,0,0,0
137269,887567,771868,127671,0,0,0,0,528,27330,4196,0,0,0,0,191657,28525,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,229,1136,0,0,0,0,743,559,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,198,40,0,0,0,0,907,176,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60350,386022,255648,55812,0,0,0,0,0
157861,870344,770044,127807,0,0,0,0,619,31610,4716,0,0,0,0,187764,27607,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,227,1130,0,0,0,0,730,574,0,0,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,219,54,0,0,0,0,890,171,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69193,377727,255893,55189,0,0,0,0,0
182027,847892,771314,127772,0,0,0,0,689,36310,5573,0,0,0,0,183053,26929,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,231,1112,0,0,0,0,716,590,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,259,58,0,0,0,0,990,184,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79371,368070,256097,55281,0,0,0,0,0
207277,825818,771037,127345,0,0,0,0,725,41293,6211,0,0,0,0,178993,26274,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,234,1097,0,0,0,0,702,601,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,293,59,0,0,0,0,863,188,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89476,359582,257133,55330,0,0,0,0,0
236478,800392,770363,128214,0,0,0,0,817,47036,7102,0,0,0,0,173572,25487,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,237,1085,0,0,0,0,685,617,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,292,62,0,0,0,0,918,158,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101315,348641,258028,55185,0,0,0,0,0
266298,771772,772249,127694,0,0,0,0,868,53438,8065,0,0,0,0,169247,25030,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,243,1071,0,0,0,0,669,628,0,0,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,343,69,0,0,0,0,840,165,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114618,339835,260729,55817,0,0,0,0,0
297608,744524,772876,127239,0,0,0,0,978,61071,9105,0,0,0,0,161338,23820,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,247,1051,0,0,0,0,645,655,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,380,70,0,0,0,0,789,152,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130016,324266,260413,55201,0,0,0,0,0
328363,716105,772647,127231,0,0,0,0,1061,67935,10355,0,0,0,0,154508,22587,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,253,1030,0,0,0,0,627,672,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,351,95,0,0,0,0,735,160,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143528,311018,260924,55035,0,0,0,0,0
357895,688919,771286,126944,0,0,0,0,1063,74259,11381,0,0,0,0,147818,21889,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,259,1014,0,0,0,0,609,691,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,395,89,0,0,0,0,704,139,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156108,297963,260814,55350,0,0,0,0,0
389188,662306,772788,127269,0,0,0,0,1164,80049,12425,0,0,0,0,142413,21239,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,264,997,0,0,0,0,588,715,0,0,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,418,85,0,0,0,0,671,137,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168354,286809,261782,55836,0,0,0,0,0
