Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 76.00 degrees [A] RIGHT WP at 76.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96053,921965,804525,88533,0,0,0,0,374,20655,1931,0,0,0,0,208838,19368,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,229,1106,0,0,0,0,741,501,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,146,30,0,0,0,0,1011,132,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44371,412491,260093,37294,0,0,0,0,0
95592,923877,808124,84349,0,0,0,0,395,20371,1902,0,0,0,0,207555,19089,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,225,1112,0,0,0,0,746,500,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,129,25,0,0,0,0,1003,129,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43522,410202,258143,36813,0,0,0,0,0
97683,920574,807711,83816,0,0,0,0,416,21459,2057,0,0,0,0,207338,19115,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,227,1100,0,0,0,0,742,506,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,141,26,0,0,0,0,1185,129,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45583,410271,259370,36789,0,0,0,0,0
105215,914252,806542,83835,0,0,0,0,452,22999,2115,0,0,0,0,205577,18872,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,227,1096,0,0,0,0,736,511,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,159,30,0,0,0,0,1002,130,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49150,405898,258846,36841,0,0,0,0,0
116232,904798,808082,83970,0,0,0,0,507,25404,2481,0,0,0,0,203488,18830,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,225,1089,0,0,0,0,728,521,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,166,37,0,0,0,0,1015,148,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54303,401582,260114,36878,0,0,0,0,0
131826,889967,808014,84478,0,0,0,0,577,29324,2746,0,0,0,0,200810,18276,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,228,1091,0,0,0,0,720,519,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,188,29,0,0,0,0,959,135,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62069,395645,261362,36860,0,0,0,0,0
150082,876080,808058,84137,0,0,0,0,610,33714,3115,0,0,0,0,196978,18205,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,229,1073,0,0,0,0,710,530,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,221,32,0,0,0,0,946,137,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71153,388090,262535,36826,0,0,0,0,0
172757,853396,806354,83908,0,0,0,0,676,38358,3698,0,0,0,0,190957,17664,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,230,1073,0,0,0,0,693,549,0,0,0,0,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,225,40,0,0,0,0,907,144,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80846,375605,261648,36677,0,0,0,0,0
197360,833731,807073,84206,0,0,0,0,789,44160,4328,0,0,0,0,187851,17462,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,233,1052,0,0,0,0,679,563,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,274,39,0,0,0,0,1059,132,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93127,368952,264939,37353,0,0,0,0,0
223756,810963,808183,84100,0,0,0,0,834,50541,4702,0,0,0,0,182425,16942,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,237,1034,0,0,0,0,663,575,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,278,42,0,0,0,0,938,130,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104974,358219,266743,37078,0,0,0,0,0
