Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 80.00 degrees [A] RIGHT WP at 80.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96243,916248,822943,55700,0,0,0,0,376,20809,1292,0,0,0,0,212086,13039,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,227,1057,0,0,0,0,732,473,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,149,20,0,0,0,0,1032,107,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44083,414578,259282,25482,0,0,0,0,0
94549,917630,825606,56298,0,0,0,0,427,20622,1257,0,0,0,0,211936,12691,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,227,1063,0,0,0,0,730,478,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,168,20,0,0,0,0,1028,100,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43371,414676,258720,24381,0,0,0,0,0
98489,913144,820659,56336,0,0,0,0,399,21334,1341,0,0,0,0,212090,12627,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,227,1077,0,0,0,0,728,475,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,160,22,0,0,0,0,1004,100,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44783,414433,259968,24626,0,0,0,0,0
106533,909237,824735,56176,0,0,0,0,460,23080,1389,0,0,0,0,211058,12651,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,226,1073,0,0,0,0,725,480,0,0,0,0,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,160,22,0,0,0,0,1039,84,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48554,412220,260871,24673,0,0,0,0,0
118146,899299,824055,56307,0,0,0,0,467,26203,1568,0,0,0,0,207813,12328,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,228,1040,0,0,0,0,718,488,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,166,20,0,0,0,0,1032,98,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54622,405319,261011,24625,0,0,0,0,0
135355,883583,823489,56149,0,0,0,0,546,29766,1841,0,0,0,0,204726,12178,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,230,1058,0,0,0,0,710,492,0,0,0,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,178,26,0,0,0,0,980,100,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62146,398978,261999,24566,0,0,0,0,0
154981,866529,827255,55819,0,0,0,0,587,34667,2099,0,0,0,0,201014,11989,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,229,1045,0,0,0,0,695,507,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,239,29,0,0,0,0,1000,89,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71633,391427,263989,24417,0,0,0,0,0
178111,846059,826913,56330,0,0,0,0,739,39834,2462,0,0,0,0,196221,11607,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,234,1029,0,0,0,0,680,520,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,233,25,0,0,0,0,936,90,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82087,381170,265243,24523,0,0,0,0,0
203811,823527,825748,55601,0,0,0,0,800,45736,2739,0,0,0,0,190156,11183,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,233,1013,0,0,0,0,666,531,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,271,31,0,0,0,0,915,87,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93355,368758,265754,24372,0,0,0,0,0
230301,800173,825819,56506,0,0,0,0,816,51770,3126,0,0,0,0,185020,11182,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,235,1003,0,0,0,0,650,547,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,316,39,0,0,0,0,932,83,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105161,358556,267508,24816,0,0,0,0,0
259333,774241,824515,56153,0,0,0,0,871,58696,3560,0,0,0,0,179264,10729,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,237,992,0,0,0,0,631,556,0,0,0,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,338,42,0,0,0,0,928,83,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118763,346919,269528,24470,0,0,0,0,0
