Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 82.00 degrees [A] RIGHT WP at 82.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96482,922169,834904,51172,0,0,0,0,389,21255,1060,0,0,0,0,217397,11239,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,227,1046,0,0,0,0,728,467,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,141,18,0,0,0,0,1035,82,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44464,423641,264405,21887,0,0,0,0,0
95911,923811,835702,49254,0,0,0,0,360,21236,1068,0,0,0,0,216332,11138,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,227,1050,0,0,0,0,728,467,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,130,16,0,0,0,0,1051,89,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44181,421699,263159,21807,0,0,0,0,0
98172,922088,837109,49144,0,0,0,0,416,22049,1144,0,0,0,0,216120,11029,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,229,1067,0,0,0,0,726,474,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,148,19,0,0,0,0,1028,88,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45841,421127,264110,21622,0,0,0,0,0
105335,917030,836049,49374,0,0,0,0,430,23756,1163,0,0,0,0,214738,11057,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,226,1034,0,0,0,0,721,482,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,179,20,0,0,0,0,1036,104,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49761,417949,264448,21717,0,0,0,0,0
116254,906410,836597,49371,0,0,0,0,528,26733,1409,0,0,0,0,212017,11046,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,230,1049,0,0,0,0,715,471,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,177,20,0,0,0,0,1008,101,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55516,412700,265377,22003,0,0,0,0,0
131580,894023,835614,49211,0,0,0,0,550,30155,1588,0,0,0,0,208552,10603,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,231,1024,0,0,0,0,704,486,0,0,0,0,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,205,23,0,0,0,0,1022,97,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62552,405147,265464,21568,0,0,0,0,0
149254,877583,835396,49633,0,0,0,0,596,34764,1849,0,0,0,0,204650,10533,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,230,1011,0,0,0,0,694,493,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,212,25,0,0,0,0,997,91,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71493,397169,267054,21862,0,0,0,0,0
171585,859347,835069,49593,0,0,0,0,668,40241,2151,0,0,0,0,200138,10230,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,230,1017,0,0,0,0,680,503,0,0,0,0,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,230,27,0,0,0,0,1007,92,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82448,387602,268889,21749,0,0,0,0,0
208149,825327,836194,49724,0,0,0,0,785,45798,2401,0,0,0,0,194105,10109,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,231,1000,0,0,0,0,665,520,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,268,36,0,0,0,0,934,82,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93198,375427,269391,21871,0,0,0,0,0
236027,800830,835543,49715,0,0,0,0,875,52095,2718,0,0,0,0,189145,9648,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,235,990,0,0,0,0,650,535,0,0,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,310,34,0,0,0,0,905,74,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105529,364851,271798,21480,0,0,0,0,0
267760,772661,835618,49356,0,0,0,0,863,58873,3095,0,0,0,0,182934,9416,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,238,964,0,0,0,0,632,544,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,359,43,0,0,0,0,930,77,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118433,353260,272472,21709,0,0,0,0,0
297619,746833,835370,49727,0,0,0,0,943,65696,3455,0,0,0,0,176462,9151,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,242,953,0,0,0,0,612,564,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,394,32,0,0,0,0,837,71,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131719,340185,273854,21611,0,0,0,0,0
329835,718058,835864,49635,0,0,0,0,1105,72674,3762,0,0,0,0,168897,8800,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,244,936,0,0,0,0,597,583,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,404,48,0,0,0,0,781,86,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144561,325979,273920,21436,0,0,0,0,0
361819,687696,833776,49781,0,0,0,0,1098,78297,4017,0,0,0,0,163767,8452,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,249,930,0,0,0,0,581,600,0,0,0,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,474,48,0,0,0,0,837,67,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155416,315391,274921,21327,0,0,0,0,0
391342,657507,833097,49439,0,0,0,0,1163,84748,4507,0,0,0,0,157368,7917,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,252,899,0,0,0,0,566,612,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,485,53,0,0,0,0,775,70,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167772,302349,275723,21423,0,0,0,0,0
419883,631829,834727,49312,0,0,0,0,1164,91099,4957,0,0,0,0,151439,7581,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,258,888,0,0,0,0,546,628,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,501,55,0,0,0,0,779,65,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179660,290905,276844,21555,0,0,0,0,0
446817,607603,836092,49597,0,0,0,0,1195,99581,5382,0,0,0,0,142954,7412,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,266,863,0,0,0,0,521,657,0,0,0,0,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,484,47,0,0,0,0,673,62,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195935,274785,277456,21609,0,0,0,0,0
471378,583950,834763,49240,0,0,0,0,1213,105885,5544,0,0,0,0,137117,7065,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,273,854,0,0,0,0,510,674,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,532,52,0,0,0,0,687,75,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206911,263825,278264,21614,0,0,0,0,0
