Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 86.00 degrees [A] RIGHT WP at 86.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96485,924014,833587,50782,0,0,0,0,393,21225,1092,0,0,0,0,216829,10992,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,226,1044,0,0,0,0,728,467,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,152,20,0,0,0,0,1017,97,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44462,422389,263589,21522,0,0,0,0,0
95164,924126,833713,50279,0,0,0,0,419,21098,1168,0,0,0,0,216787,11404,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,228,1056,0,0,0,0,730,469,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,137,17,0,0,0,0,1065,97,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44198,422638,263841,22286,0,0,0,0,0
98512,921832,831525,50515,0,0,0,0,429,21400,1121,0,0,0,0,215363,11507,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,227,1050,0,0,0,0,729,470,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,163,17,0,0,0,0,1080,93,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44848,420155,262532,22316,0,0,0,0,0
107033,914829,833207,50169,0,0,0,0,460,23791,1232,0,0,0,0,214769,11359,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,230,1049,0,0,0,0,724,470,0,0,0,0,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,153,19,0,0,0,0,1039,95,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49417,418815,264715,22231,0,0,0,0,0
118363,904516,830936,50810,0,0,0,0,508,26274,1452,0,0,0,0,211273,11182,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,229,1052,0,0,0,0,719,476,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,191,21,0,0,0,0,1061,94,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54964,410879,264362,22277,0,0,0,0,0
134937,889711,832113,50415,0,0,0,0,510,30190,1668,0,0,0,0,208187,10707,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,229,1053,0,0,0,0,705,490,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,202,19,0,0,0,0,985,96,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62670,404051,265411,22025,0,0,0,0,0
154890,873535,831961,50150,0,0,0,0,606,34797,1893,0,0,0,0,204057,10648,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,231,1032,0,0,0,0,693,497,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,218,24,0,0,0,0,963,88,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71953,395850,266628,21973,0,0,0,0,0
178377,853792,831749,50638,0,0,0,0,671,40050,2241,0,0,0,0,198718,10496,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,232,1016,0,0,0,0,680,513,0,0,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,226,31,0,0,0,0,953,85,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82512,384872,267341,22158,0,0,0,0,0
203731,829755,832661,50796,0,0,0,0,797,46332,2531,0,0,0,0,193445,10087,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,234,1004,0,0,0,0,663,518,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,253,36,0,0,0,0,926,82,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94319,374037,269335,22201,0,0,0,0,0
231475,806221,831934,50729,0,0,0,0,775,52614,2877,0,0,0,0,187742,9884,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,234,974,0,0,0,0,647,540,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,285,41,0,0,0,0,905,72,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106444,363036,270560,21993,0,0,0,0,0
