Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 88.00 degrees [A] RIGHT WP at 88.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.260V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95759,918473,820281,57619,0,0,0,0,375,21308,1249,0,0,0,0,214068,12328,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,229,1066,0,0,0,0,728,473,0,0,0,0,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,144,23,0,0,0,0,1026,124,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44667,418001,261929,23917,0,0,0,0,0
95009,919922,819698,57796,0,0,0,0,375,20738,1327,0,0,0,0,212009,13170,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,227,1082,0,0,0,0,734,480,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,138,20,0,0,0,0,1047,106,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43491,414794,259619,25463,0,0,0,0,0
97933,916516,819028,58350,0,0,0,0,372,21506,1370,0,0,0,0,211087,13084,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,228,1064,0,0,0,0,731,478,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,135,19,0,0,0,0,1040,104,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44908,412853,259503,25388,0,0,0,0,0
106524,910533,817807,57986,0,0,0,0,431,23246,1483,0,0,0,0,209588,13149,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,227,1078,0,0,0,0,729,483,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,137,22,0,0,0,0,1012,97,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48724,409921,259773,25703,0,0,0,0,0
119384,900229,819068,58141,0,0,0,0,480,26522,1676,0,0,0,0,207643,12908,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,230,1051,0,0,0,0,720,494,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,157,26,0,0,0,0,975,91,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55286,405438,261955,25516,0,0,0,0,0
135286,885746,818727,58050,0,0,0,0,508,29836,1896,0,0,0,0,203614,12762,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,230,1048,0,0,0,0,712,501,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,221,24,0,0,0,0,982,92,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62064,397465,261342,25475,0,0,0,0,0
153970,868800,817747,57995,0,0,0,0,611,34583,2083,0,0,0,0,199831,12512,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,228,1045,0,0,0,0,697,513,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,201,31,0,0,0,0,969,95,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71430,389318,263057,25408,0,0,0,0,0
175569,849530,819041,57328,0,0,0,0,714,39897,2553,0,0,0,0,195949,11936,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,229,1040,0,0,0,0,686,519,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,220,36,0,0,0,0,954,86,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82022,381112,265131,25279,0,0,0,0,0
200421,826935,818203,57575,0,0,0,0,730,45339,2961,0,0,0,0,189992,11571,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,233,1019,0,0,0,0,670,531,0,0,0,0,1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,289,40,0,0,0,0,913,85,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93034,368891,265266,24986,0,0,0,0,0
227652,802760,817464,58120,0,0,0,0,916,51605,3415,0,0,0,0,183096,11371,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,234,1003,0,0,0,0,650,556,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,323,30,0,0,0,0,902,86,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105154,355375,265424,25513,0,0,0,0,0
256043,778886,818400,57992,0,0,0,0,910,57679,3697,0,0,0,0,177972,11122,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,240,992,0,0,0,0,635,560,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,317,44,0,0,0,0,919,92,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117228,344745,267265,25272,0,0,0,0,0
285619,752965,817148,57999,0,0,0,0,1019,65077,4012,0,0,0,0,171119,10684,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,241,977,0,0,0,0,618,581,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,356,39,0,0,0,0,851,89,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130727,331567,268566,25217,0,0,0,0,0
