Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 0.00 degrees [A] RIGHT WP at 0.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95709,912892,869413,53222,0,0,0,0,367,20898,1116,0,0,0,0,211986,11139,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,227,1050,0,0,0,0,712,466,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,144,20,0,0,0,0,1021,87,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43445,412337,258634,22568,0,0,0,0,0
94250,912853,869050,53016,0,0,0,0,396,20260,1094,0,0,0,0,212005,11013,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,228,1053,0,0,0,0,712,472,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,143,19,0,0,0,0,1001,96,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42745,411959,257759,22279,0,0,0,0,0
98312,910380,869620,52933,0,0,0,0,364,21289,1182,0,0,0,0,210225,10965,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,229,1067,0,0,0,0,707,474,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,152,21,0,0,0,0,1022,96,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44446,408437,257295,22392,0,0,0,0,0
105839,904711,868458,53051,0,0,0,0,408,23002,1293,0,0,0,0,208744,10985,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,227,1052,0,0,0,0,706,475,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,156,27,0,0,0,0,985,80,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47892,405599,257851,22430,0,0,0,0,0
115782,896326,867192,52816,0,0,0,0,474,25805,1367,0,0,0,0,207662,10597,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,228,1052,0,0,0,0,700,478,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,166,18,0,0,0,0,1087,96,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53537,403095,259579,21900,0,0,0,0,0
131070,880982,869293,53535,0,0,0,0,538,29481,1516,0,0,0,0,204016,10802,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,225,1038,0,0,0,0,688,484,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,188,22,0,0,0,0,1025,84,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60931,395433,260837,22390,0,0,0,0,0
150189,865611,868431,53242,0,0,0,0,584,33770,1877,0,0,0,0,199734,10330,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,231,1030,0,0,0,0,676,497,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,201,28,0,0,0,0,954,87,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69848,386075,261268,22140,0,0,0,0,0
169402,848229,868190,53015,0,0,0,0,692,38476,1989,0,0,0,0,194749,10067,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,227,1024,0,0,0,0,664,506,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,220,31,0,0,0,0,954,84,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78842,376081,261483,22022,0,0,0,0,0
205418,816048,869276,53190,0,0,0,0,692,44277,2460,0,0,0,0,189844,9870,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,229,1003,0,0,0,0,648,518,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,256,31,0,0,0,0,976,76,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89864,366092,263721,22241,0,0,0,0,0
234222,792234,867743,53100,0,0,0,0,822,50200,2695,0,0,0,0,184465,9633,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,233,987,0,0,0,0,633,539,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,300,31,0,0,0,0,933,77,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101927,354604,265070,22219,0,0,0,0,0
263256,762113,866769,52917,0,0,0,0,950,57091,3060,0,0,0,0,177582,9084,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,235,979,0,0,0,0,613,551,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,332,41,0,0,0,0,897,85,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114722,341266,265685,21888,0,0,0,0,0
295076,736438,868295,53213,0,0,0,0,955,63384,3441,0,0,0,0,171235,8933,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,237,962,0,0,0,0,596,567,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,348,37,0,0,0,0,826,75,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126680,328595,266514,22358,0,0,0,0,0
326778,707186,868460,53232,0,0,0,0,1014,70011,3721,0,0,0,0,164591,8435,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,240,947,0,0,0,0,578,590,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,388,50,0,0,0,0,799,69,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139297,315310,267298,21720,0,0,0,0,0
356828,677572,867800,52873,0,0,0,0,1035,76785,4159,0,0,0,0,158842,8082,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,243,924,0,0,0,0,560,604,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,452,40,0,0,0,0,819,70,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152180,304032,269147,21816,0,0,0,0,0
387650,650744,868551,52841,0,0,0,0,1056,82990,4427,0,0,0,0,151632,7858,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,248,909,0,0,0,0,543,622,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,455,46,0,0,0,0,788,78,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163810,289553,268949,21936,0,0,0,0,0
416767,624855,868754,53378,0,0,0,0,1151,89910,4862,0,0,0,0,146769,7577,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,253,897,0,0,0,0,527,639,0,0,0,0,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,483,48,0,0,0,0,741,66,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176671,280902,271652,22051,0,0,0,0,0
441753,599212,867900,52839,0,0,0,0,1144,94256,5075,0,0,0,0,140737,7386,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,258,882,0,0,0,0,515,658,0,0,0,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,541,49,0,0,0,0,671,52,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184760,269329,270050,21962,0,0,0,0,0
465369,577048,868539,52462,0,0,0,0,1170,99305,5240,0,0,0,0,135978,6930,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,260,873,0,0,0,0,500,672,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,520,41,0,0,0,0,706,49,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194114,259570,270916,21529,0,0,0,0,0
487113,556979,867120,52757,0,0,0,0,1137,106575,5564,0,0,0,0,129028,6663,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,267,850,0,0,0,0,482,687,0,0,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,560,56,0,0,0,0,627,52,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207813,245742,271868,21867,0,0,0,0,0
