Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 2.00 degrees [A] RIGHT WP at 2.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95394,911813,864577,56757,0,0,0,0,368,20533,1160,0,0,0,0,210133,12169,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,225,1069,0,0,0,0,710,473,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,147,17,0,0,0,0,1000,90,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42992,409363,256979,24315,0,0,0,0,0
94607,912480,860965,59144,0,0,0,0,360,20108,1204,0,0,0,0,208953,12346,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,224,1062,0,0,0,0,713,478,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,129,18,0,0,0,0,1022,88,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42344,406991,255315,24834,0,0,0,0,0
97796,911248,862280,58947,0,0,0,0,427,20997,1256,0,0,0,0,209089,12229,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,228,1050,0,0,0,0,713,479,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,153,18,0,0,0,0,1004,107,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44464,406881,256392,24701,0,0,0,0,0
105743,902368,863402,58979,0,0,0,0,446,22273,1411,0,0,0,0,207804,12304,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,225,1069,0,0,0,0,707,479,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151,20,0,0,0,0,1007,102,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47040,404183,256957,25059,0,0,0,0,0
118768,893713,862020,59153,0,0,0,0,438,24865,1546,0,0,0,0,205346,12186,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,229,1056,0,0,0,0,701,497,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,182,21,0,0,0,0,990,90,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52089,399639,257170,24834,0,0,0,0,0
135323,877183,860166,59384,0,0,0,0,560,27911,1736,0,0,0,0,202677,11807,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,229,1037,0,0,0,0,692,494,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,178,28,0,0,0,0,973,92,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59044,392859,258038,24751,0,0,0,0,0
155467,859178,862387,58713,0,0,0,0,567,32493,1956,0,0,0,0,199018,11696,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,229,1026,0,0,0,0,680,504,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,232,26,0,0,0,0,963,88,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67205,385959,259758,24776,0,0,0,0,0
179557,839922,863153,59256,0,0,0,0,636,36564,2159,0,0,0,0,195527,11476,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,231,1042,0,0,0,0,670,514,0,0,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,259,30,0,0,0,0,976,93,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75303,378338,261149,24759,0,0,0,0,0
205489,818738,863352,59107,0,0,0,0,674,42404,2615,0,0,0,0,190562,11138,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,230,1016,0,0,0,0,655,522,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,288,29,0,0,0,0,955,91,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86982,367952,263064,24739,0,0,0,0,0
232638,790996,863229,59315,0,0,0,0,830,50730,3208,0,0,0,0,182025,10610,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,231,986,0,0,0,0,632,546,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,297,32,0,0,0,0,856,87,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103226,351141,263735,24585,0,0,0,0,0
