Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 4.00 degrees [A] RIGHT WP at 4.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95566,914814,852292,70362,0,0,0,0,380,20183,1448,0,0,0,0,210221,14074,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,227,1065,0,0,0,0,718,485,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,138,26,0,0,0,0,1023,121,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43276,410221,257969,28076,0,0,0,0,0
94539,914520,853993,70431,0,0,0,0,380,20125,1491,0,0,0,0,209205,14790,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,226,1073,0,0,0,0,718,492,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,174,21,0,0,0,0,1005,109,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42618,409304,256940,29769,0,0,0,0,0
98130,911995,852464,69900,0,0,0,0,396,20308,1468,0,0,0,0,208091,14678,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,228,1063,0,0,0,0,718,490,0,0,0,0,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,132,23,0,0,0,0,977,103,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43267,406577,256540,29177,0,0,0,0,0
106542,906091,854166,70501,0,0,0,0,386,21806,1671,0,0,0,0,208035,14839,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,228,1075,0,0,0,0,713,488,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,159,27,0,0,0,0,1027,114,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46280,406214,258493,29898,0,0,0,0,0
118599,895567,854765,70354,0,0,0,0,480,24566,1830,0,0,0,0,205008,14654,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,227,1074,0,0,0,0,707,497,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,170,23,0,0,0,0,974,122,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51669,400637,258264,29699,0,0,0,0,0
135096,881018,853133,70375,0,0,0,0,537,28920,2200,0,0,0,0,200963,14242,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,226,1074,0,0,0,0,694,507,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,189,29,0,0,0,0,960,105,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60858,391417,259319,29656,0,0,0,0,0
155965,864537,854090,70417,0,0,0,0,571,33590,2479,0,0,0,0,196934,14029,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,230,1055,0,0,0,0,683,516,0,0,0,0,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,213,28,0,0,0,0,961,111,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70069,383383,260478,29497,0,0,0,0,0
176873,847464,852548,69964,0,0,0,0,703,39067,2738,0,0,0,0,192276,13600,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,227,1039,0,0,0,0,668,527,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,240,38,0,0,0,0,963,90,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80403,374168,261701,29414,0,0,0,0,0
200491,825019,854446,70528,0,0,0,0,747,44370,3250,0,0,0,0,187572,13401,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,228,1032,0,0,0,0,652,544,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,257,43,0,0,0,0,984,102,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91174,364192,263630,29653,0,0,0,0,0
228014,798919,854154,70387,0,0,0,0,829,50326,3693,0,0,0,0,181165,12803,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,235,1014,0,0,0,0,638,558,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,289,42,0,0,0,0,875,84,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103040,351269,263361,29354,0,0,0,0,0
256737,774185,854044,70425,0,0,0,0,942,56193,4142,0,0,0,0,175244,12426,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,235,1003,0,0,0,0,621,569,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,291,41,0,0,0,0,860,90,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114749,338905,264180,29463,0,0,0,0,0
286808,747699,854794,70189,0,0,0,0,960,63544,4581,0,0,0,0,169580,12182,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,238,985,0,0,0,0,605,587,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,374,46,0,0,0,0,863,88,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128855,328014,266783,29441,0,0,0,0,0
317412,718473,854337,70069,0,0,0,0,999,70211,5157,0,0,0,0,163041,11540,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,241,961,0,0,0,0,579,614,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,372,45,0,0,0,0,749,90,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141352,314378,268265,29375,0,0,0,0,0
347367,692175,855156,70615,0,0,0,0,1028,76947,5668,0,0,0,0,155861,11234,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,246,952,0,0,0,0,562,631,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,438,62,0,0,0,0,733,77,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153802,301034,268413,29536,0,0,0,0,0
389207,652807,855290,70634,0,0,0,0,1167,83015,6125,0,0,0,0,149651,10747,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,251,925,0,0,0,0,549,644,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,441,69,0,0,0,0,729,83,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165969,288982,268316,29433,0,0,0,0,0
418134,627802,853399,70065,0,0,0,0,1164,89086,6403,0,0,0,0,144115,10135,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,255,920,0,0,0,0,531,656,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,464,62,0,0,0,0,725,88,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176954,278016,269273,28888,0,0,0,0,0
445443,601309,856214,70461,0,0,0,0,1172,95241,6959,0,0,0,0,138004,10081,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,259,902,0,0,0,0,517,685,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,488,60,0,0,0,0,743,91,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188404,266748,270370,29268,0,0,0,0,0
469871,577981,853610,70353,0,0,0,0,1204,100239,7222,0,0,0,0,133331,9508,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,265,881,0,0,0,0,504,699,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,549,63,0,0,0,0,697,78,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198069,257124,270499,29201,0,0,0,0,0
491224,558034,854888,70698,0,0,0,0,1226,104752,7690,0,0,0,0,129207,9081,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,268,879,0,0,0,0,490,720,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,531,67,0,0,0,0,674,79,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206729,249008,271246,29396,0,0,0,0,0
508005,541676,855774,69894,0,0,0,0,1246,108567,7883,0,0,0,0,125234,8689,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,273,872,0,0,0,0,481,724,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,565,66,0,0,0,0,621,82,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214065,240858,271243,29131,0,0,0,0,0
522476,527431,854612,70527,0,0,0,0,1283,111327,8142,0,0,0,0,121647,8468,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,278,846,0,0,0,0,473,728,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,548,69,0,0,0,0,621,70,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219039,234351,270630,29028,0,0,0,0,0
532794,517522,854819,69905,0,0,0,0,1267,115288,8439,0,0,0,0,118558,8390,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,280,845,0,0,0,0,466,736,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,613,63,0,0,0,0,614,58,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226368,228973,271521,29333,0,0,0,0,0
539847,512843,853714,70602,0,0,0,0,1246,115940,8175,0,0,0,0,116657,8311,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,280,835,0,0,0,0,460,751,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,595,68,0,0,0,0,591,68,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227007,225290,270152,28931,0,0,0,0,0
540234,510333,854591,70488,0,0,0,0,1244,116855,8433,0,0,0,0,116729,8305,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,283,845,0,0,0,0,459,748,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,617,72,0,0,0,0,557,70,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229153,225510,271407,29183,0,0,0,0,0
538409,512409,853413,70539,0,0,0,0,1234,116238,8451,0,0,0,0,117174,8433,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,282,845,0,0,0,0,462,746,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,557,69,0,0,0,0,610,74,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227842,226659,271223,29368,0,0,0,0,0
532161,515155,853471,70405,0,0,0,0,1219,114400,8431,0,0,0,0,118227,8510,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,281,843,0,0,0,0,471,733,0,0,0,0,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,581,66,0,0,0,0,610,83,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224806,228722,269939,29369,0,0,0,0,0
523955,526336,854772,70535,0,0,0,0,1266,112001,8131,0,0,0,0,120349,8684,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,281,848,0,0,0,0,470,728,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,560,69,0,0,0,0,636,72,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219917,232830,269795,29192,0,0,0,0,0
