Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 6.00 degrees [A] RIGHT WP at 6.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95701,917371,840827,86226,0,0,0,0,380,20089,1726,0,0,0,0,206463,17750,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,225,1081,0,0,0,0,725,498,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,134,23,0,0,0,0,982,152,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43164,405684,255921,35222,0,0,0,0,0
95030,917314,840330,86150,0,0,0,0,379,19968,1861,0,0,0,0,206775,18437,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,225,1095,0,0,0,0,728,498,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,139,25,0,0,0,0,970,132,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42703,407118,256825,36429,0,0,0,0,0
98582,915974,840668,86467,0,0,0,0,402,20342,1891,0,0,0,0,205751,18344,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,228,1095,0,0,0,0,727,504,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,138,26,0,0,0,0,973,128,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44118,404574,255982,36363,0,0,0,0,0
107391,907473,840306,86849,0,0,0,0,414,22124,2084,0,0,0,0,204706,18238,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,224,1104,0,0,0,0,723,506,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,154,28,0,0,0,0,1009,130,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47188,402604,257096,36550,0,0,0,0,0
119286,896457,839153,86414,0,0,0,0,431,24458,2208,0,0,0,0,202008,18083,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,226,1092,0,0,0,0,718,509,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,168,27,0,0,0,0,964,127,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51997,396964,257007,36450,0,0,0,0,0
135867,880970,839607,86549,0,0,0,0,541,27615,2539,0,0,0,0,198872,17759,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,229,1082,0,0,0,0,707,516,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,206,38,0,0,0,0,947,112,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58569,390119,257585,36494,0,0,0,0,0
156418,864173,840085,86716,0,0,0,0,565,31538,2804,0,0,0,0,195504,17655,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,225,1067,0,0,0,0,696,523,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,229,34,0,0,0,0,913,128,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66657,383449,258514,36381,0,0,0,0,0
179666,842563,841177,86075,0,0,0,0,645,36148,3338,0,0,0,0,192165,16894,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,229,1075,0,0,0,0,686,537,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,245,36,0,0,0,0,937,145,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75892,376124,260171,36155,0,0,0,0,0
205977,822332,838897,86224,0,0,0,0,729,43695,4016,0,0,0,0,184492,16599,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,230,1048,0,0,0,0,665,560,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,295,40,0,0,0,0,922,117,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91305,360905,261048,36111,0,0,0,0,0
233597,795487,839556,86154,0,0,0,0,851,50200,4578,0,0,0,0,178362,15882,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,233,1027,0,0,0,0,648,571,0,0,0,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,265,48,0,0,0,0,949,110,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103693,348802,261629,36052,0,0,0,0,0
262995,770350,841377,85917,0,0,0,0,850,56146,5087,0,0,0,0,172448,15284,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,237,1013,0,0,0,0,630,586,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,318,47,0,0,0,0,817,112,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115662,336251,262538,35702,0,0,0,0,0
292975,744203,840751,86236,0,0,0,0,980,62817,5745,0,0,0,0,166738,14901,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,240,995,0,0,0,0,615,605,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,377,61,0,0,0,0,747,101,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128164,325372,264378,36273,0,0,0,0,0
323856,714492,839323,86255,0,0,0,0,1049,69512,6505,0,0,0,0,160344,14560,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,245,976,0,0,0,0,594,624,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,372,54,0,0,0,0,829,119,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141849,312899,265497,36358,0,0,0,0,0
355572,686183,841040,85972,0,0,0,0,1071,76158,6896,0,0,0,0,153449,13810,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,249,957,0,0,0,0,575,647,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,445,57,0,0,0,0,796,95,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154994,298676,265262,35994,0,0,0,0,0
385891,659004,841710,86285,0,0,0,0,1150,83000,7609,0,0,0,0,147376,13282,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,254,939,0,0,0,0,555,664,0,0,0,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,446,77,0,0,0,0,767,96,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167673,287067,267017,36193,0,0,0,0,0
