Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 8.00 degrees [A] RIGHT WP at 8.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95399,917824,821903,105495,0,0,0,0,370,19710,2110,0,0,0,0,203545,21163,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,227,1125,0,0,0,0,733,518,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,125,31,0,0,0,0,1034,180,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42709,402374,254792,41667,0,0,0,0,0
94508,917608,819781,106049,0,0,0,0,377,19217,2245,0,0,0,0,202115,23005,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,222,1128,0,0,0,0,741,518,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,154,36,0,0,0,0,969,152,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42037,401096,253804,45016,0,0,0,0,0
98185,914909,821026,106950,0,0,0,0,371,19777,2258,0,0,0,0,201409,22914,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,225,1124,0,0,0,0,741,523,0,0,0,0,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,130,30,0,0,0,0,963,197,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42977,399693,253576,45120,0,0,0,0,0
106349,908830,820104,105677,0,0,0,0,391,22077,2492,0,0,0,0,199862,22627,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,224,1123,0,0,0,0,735,523,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,153,35,0,0,0,0,985,169,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47694,396264,254506,44862,0,0,0,0,0
117628,899460,822324,106184,0,0,0,0,496,24565,2799,0,0,0,0,197968,22208,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,227,1101,0,0,0,0,726,532,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,167,42,0,0,0,0,966,165,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53228,392041,255195,44620,0,0,0,0,0
133894,885337,820386,106296,0,0,0,0,531,28030,3262,0,0,0,0,194834,22185,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,227,1094,0,0,0,0,719,538,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,191,33,0,0,0,0,961,169,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60538,385923,255966,45108,0,0,0,0,0
153047,868882,821604,106726,0,0,0,0,572,32541,3714,0,0,0,0,190782,21473,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,230,1106,0,0,0,0,704,548,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,197,39,0,0,0,0,939,142,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69926,376919,257018,44454,0,0,0,0,0
176152,848289,821915,105978,0,0,0,0,662,37669,4269,0,0,0,0,186121,21210,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,230,1072,0,0,0,0,691,559,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,197,44,0,0,0,0,897,145,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80072,367817,257823,44988,0,0,0,0,0
201699,827491,819677,106438,0,0,0,0,752,42816,4964,0,0,0,0,181292,20432,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,231,1067,0,0,0,0,678,569,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,251,50,0,0,0,0,887,144,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90886,357844,258334,44576,0,0,0,0,0
227994,802578,819844,106929,0,0,0,0,828,48747,5616,0,0,0,0,175946,20130,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,233,1057,0,0,0,0,660,592,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,268,54,0,0,0,0,816,143,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102679,347363,259731,44889,0,0,0,0,0
256359,778188,820627,106610,0,0,0,0,908,54805,6291,0,0,0,0,169385,19044,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,238,1044,0,0,0,0,643,611,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,301,55,0,0,0,0,805,141,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114643,333786,259543,44249,0,0,0,0,0
296226,739672,822049,106021,0,0,0,0,959,61280,7024,0,0,0,0,162814,18102,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,243,1010,0,0,0,0,620,629,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,336,67,0,0,0,0,786,129,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127250,320401,259934,43867,0,0,0,0,0
327348,710435,821034,106287,0,0,0,0,1041,66985,7807,0,0,0,0,157583,17678,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,245,1001,0,0,0,0,606,641,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,382,65,0,0,0,0,775,126,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138741,310265,260885,44207,0,0,0,0,0
358239,683353,821503,106598,0,0,0,0,1080,72837,8308,0,0,0,0,152488,17193,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,250,984,0,0,0,0,591,660,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,413,69,0,0,0,0,771,111,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149654,300563,262229,44146,0,0,0,0,0
389250,656085,820877,106429,0,0,0,0,1124,78425,9028,0,0,0,0,145935,16600,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,256,983,0,0,0,0,574,679,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,486,77,0,0,0,0,778,120,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161000,287309,261539,44325,0,0,0,0,0
418299,629097,823022,106164,0,0,0,0,1140,85317,9992,0,0,0,0,140779,15960,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,260,963,0,0,0,0,556,692,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,485,74,0,0,0,0,749,102,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173839,278054,263925,44505,0,0,0,0,0
444579,604754,821368,105929,0,0,0,0,1214,90886,10480,0,0,0,0,135637,15396,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,267,936,0,0,0,0,540,717,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,514,106,0,0,0,0,699,119,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184967,267311,264845,44424,0,0,0,0,0
469158,580527,819657,105490,0,0,0,0,1194,98299,11492,0,0,0,0,127837,14655,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,276,926,0,0,0,0,521,737,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,478,87,0,0,0,0,613,90,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199213,252909,264566,44629,0,0,0,0,0
489885,559595,821543,105636,0,0,0,0,1201,101549,11896,0,0,0,0,123339,14007,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,280,904,0,0,0,0,507,749,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,565,95,0,0,0,0,595,88,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205868,242763,263660,44435,0,0,0,0,0
507822,544021,822446,106386,0,0,0,0,1246,105402,12328,0,0,0,0,118774,13420,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,284,895,0,0,0,0,496,763,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,554,85,0,0,0,0,605,101,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212508,234979,262779,43985,0,0,0,0,0
521323,530864,823356,106113,0,0,0,0,1274,108691,12647,0,0,0,0,117234,13228,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,289,895,0,0,0,0,488,778,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,527,102,0,0,0,0,582,94,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219507,231060,264969,44458,0,0,0,0,0
