Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 10.00 degrees [A] RIGHT WP at 10.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95457,910593,793646,128824,0,0,0,0,331,18938,2562,0,0,0,0,196054,25440,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,224,1141,0,0,0,0,748,537,0,0,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,147,35,0,0,0,0,993,198,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41668,390906,248492,50088,0,0,0,0,0
93924,911998,791140,130424,0,0,0,0,380,18849,2827,0,0,0,0,193719,28057,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,227,1154,0,0,0,0,755,542,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,117,35,0,0,0,0,947,174,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41526,389317,247418,54410,0,0,0,0,0
97565,909349,790617,129484,0,0,0,0,369,19287,2799,0,0,0,0,193181,27945,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,222,1139,0,0,0,0,753,541,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,124,33,0,0,0,0,978,176,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42497,387708,247455,54324,0,0,0,0,0
105928,902444,792634,129899,0,0,0,0,420,21096,3108,0,0,0,0,191815,27529,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,223,1147,0,0,0,0,746,549,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,137,35,0,0,0,0,926,168,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46423,384654,247434,54651,0,0,0,0,0
117665,892398,790563,129422,0,0,0,0,466,23616,3436,0,0,0,0,188489,27235,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,226,1135,0,0,0,0,739,555,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,154,38,0,0,0,0,897,188,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51916,377565,247003,54486,0,0,0,0,0
134251,878447,793040,129548,0,0,0,0,508,27061,4009,0,0,0,0,187057,26826,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,227,1124,0,0,0,0,730,565,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,167,46,0,0,0,0,969,189,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59371,374450,249461,54214,0,0,0,0,0
153962,859653,793279,129542,0,0,0,0,599,31551,4634,0,0,0,0,183776,26307,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,230,1114,0,0,0,0,717,576,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,196,49,0,0,0,0,905,183,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68870,367963,250664,54239,0,0,0,0,0
173876,843866,792121,129599,0,0,0,0,650,36257,5069,0,0,0,0,178039,25491,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,233,1099,0,0,0,0,702,586,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,206,47,0,0,0,0,886,164,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78126,356151,249825,53503,0,0,0,0,0
198227,822870,791288,129447,0,0,0,0,726,40983,6088,0,0,0,0,174116,24683,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,233,1094,0,0,0,0,689,601,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,248,59,0,0,0,0,806,152,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88569,347904,250885,53594,0,0,0,0,0
225380,797891,791331,129593,0,0,0,0,812,47108,6694,0,0,0,0,167730,24132,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,238,1084,0,0,0,0,670,621,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,272,55,0,0,0,0,863,170,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100735,335010,251048,53746,0,0,0,0,0
