Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 12.00 degrees [A] RIGHT WP at 12.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95774,915819,772522,156491,0,0,0,0,422,18504,3453,0,0,0,0,188579,34117,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,226,1166,0,0,0,0,769,570,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,135,40,0,0,0,0,910,228,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42368,383511,244931,65738,0,0,0,0,0
94067,916844,769997,158334,0,0,0,0,414,18122,3396,0,0,0,0,190387,34218,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,228,1164,0,0,0,0,767,568,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,118,36,0,0,0,0,894,193,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41452,386517,246783,66373,0,0,0,0,0
98045,915074,770075,158220,0,0,0,0,398,19200,3578,0,0,0,0,189070,34229,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,225,1173,0,0,0,0,767,568,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,135,41,0,0,0,0,873,219,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43503,384384,246393,66544,0,0,0,0,0
106038,909183,771419,157893,0,0,0,0,440,20544,3793,0,0,0,0,188288,34203,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,228,1175,0,0,0,0,763,571,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,134,38,0,0,0,0,878,223,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46691,382935,247066,66499,0,0,0,0,0
116096,901021,771336,158064,0,0,0,0,446,22998,4166,0,0,0,0,186532,33448,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,227,1165,0,0,0,0,757,578,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,157,43,0,0,0,0,895,204,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51924,378975,247451,65852,0,0,0,0,0
131353,886829,769914,158232,0,0,0,0,539,26746,4858,0,0,0,0,182071,33079,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,228,1161,0,0,0,0,748,590,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,180,42,0,0,0,0,987,230,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59671,370083,247237,66281,0,0,0,0,0
150533,870869,770629,159084,0,0,0,0,580,30435,5543,0,0,0,0,178825,32513,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,229,1141,0,0,0,0,734,598,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,214,53,0,0,0,0,862,189,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68066,363122,247753,66210,0,0,0,0,0
171814,853508,771132,158087,0,0,0,0,675,35314,6403,0,0,0,0,175193,31678,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,232,1134,0,0,0,0,720,613,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,208,54,0,0,0,0,815,170,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78108,355865,249125,66171,0,0,0,0,0
196448,830375,771462,158584,0,0,0,0,790,40163,7522,0,0,0,0,170840,30866,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,234,1118,0,0,0,0,704,624,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,229,59,0,0,0,0,775,188,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88942,346710,250147,66083,0,0,0,0,0
222574,805690,771122,158214,0,0,0,0,822,45408,8318,0,0,0,0,165787,29766,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,242,1106,0,0,0,0,687,646,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,269,80,0,0,0,0,828,165,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99924,336105,250029,65610,0,0,0,0,0
