Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 18.00 degrees [A] RIGHT WP at 18.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95434,914704,677395,250470,0,0,0,0,362,16569,5182,0,0,0,0,169990,52934,0,0,0,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,236,1254,0,0,0,0,817,642,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107,50,0,0,0,0,809,354,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41035,362984,232434,100820,0,0,0,0,0
94295,915250,677179,252067,0,0,0,0,359,15892,5513,0,0,0,0,165828,55383,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,235,1263,0,0,0,0,822,654,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,110,61,0,0,0,0,853,297,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40272,357561,228300,105024,0,0,0,0,0
98279,911161,676691,251236,0,0,0,0,387,16545,5551,0,0,0,0,166622,55078,0,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,231,1265,0,0,0,0,822,649,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,124,62,0,0,0,0,840,303,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41535,358505,229598,105089,0,0,0,0,0
106863,906187,676478,251389,0,0,0,0,414,17977,6156,0,0,0,0,164953,54454,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,232,1264,0,0,0,0,816,655,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,129,54,0,0,0,0,842,285,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45128,355016,228839,104896,0,0,0,0,0
117782,897157,676438,251466,0,0,0,0,483,20267,6852,0,0,0,0,162720,53660,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,233,1260,0,0,0,0,810,664,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,138,70,0,0,0,0,774,284,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50523,350267,228943,104315,0,0,0,0,0
133011,884751,677385,252017,0,0,0,0,478,23323,7776,0,0,0,0,161329,53117,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,236,1248,0,0,0,0,800,671,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,146,66,0,0,0,0,818,341,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57510,347898,230333,104455,0,0,0,0,0
153213,866217,676968,251620,0,0,0,0,622,27034,9137,0,0,0,0,158357,52108,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,237,1243,0,0,0,0,788,682,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,174,82,0,0,0,0,807,285,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66356,341518,231096,104946,0,0,0,0,0
172830,848998,677929,251631,0,0,0,0,694,31165,10453,0,0,0,0,153854,50903,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,241,1225,0,0,0,0,773,699,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,207,83,0,0,0,0,730,318,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75832,332520,230419,104378,0,0,0,0,0
198169,826481,676934,251320,0,0,0,0,733,35731,11729,0,0,0,0,149465,48766,0,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,247,1210,0,0,0,0,755,717,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,230,90,0,0,0,0,747,288,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86270,322429,229736,102864,0,0,0,0,0
225481,803588,676916,251554,0,0,0,0,876,41113,13853,0,0,0,0,145597,47728,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,254,1202,0,0,0,0,738,731,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,238,105,0,0,0,0,729,291,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98800,315143,231442,104060,0,0,0,0,0
