Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 22.00 degrees [A] RIGHT WP at 22.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96055,918329,622947,309140,0,0,0,0,364,14848,6938,0,0,0,0,152289,70133,0,0,0,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,240,1328,0,0,0,0,862,708,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,112,60,0,0,0,0,700,424,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40166,344969,218165,132800,0,0,0,0,0
94488,919365,615967,317871,0,0,0,0,398,14577,6716,0,0,0,0,152345,69917,0,0,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,238,1324,0,0,0,0,862,705,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,124,57,0,0,0,0,768,385,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39919,344718,217415,132280,0,0,0,0,0
98365,916748,614632,317766,0,0,0,0,437,15510,7156,0,0,0,0,152380,69599,0,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,238,1326,0,0,0,0,862,707,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,130,62,0,0,0,0,717,375,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41955,344615,218555,132635,0,0,0,0,0
107030,909187,615236,317849,0,0,0,0,478,16776,7564,0,0,0,0,150415,69443,0,0,0,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,240,1318,0,0,0,0,857,710,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,125,61,0,0,0,0,805,373,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44830,341624,217557,132527,0,0,0,0,0
119471,898141,614334,318510,0,0,0,0,487,18549,8665,0,0,0,0,149329,68456,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,244,1323,0,0,0,0,848,716,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,138,79,0,0,0,0,727,374,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49773,338699,218037,132378,0,0,0,0,0
136374,885762,614450,317581,0,0,0,0,556,21056,9756,0,0,0,0,147080,67421,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,244,1312,0,0,0,0,839,727,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,133,70,0,0,0,0,712,367,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56635,333511,218240,131746,0,0,0,0,0
156900,865415,614490,316840,0,0,0,0,631,24120,11271,0,0,0,0,143927,65799,0,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,246,1300,0,0,0,0,827,739,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,156,81,0,0,0,0,672,337,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64506,326854,217121,131079,0,0,0,0,0
180541,844574,614828,317697,0,0,0,0,666,27763,12831,0,0,0,0,140732,64734,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,254,1287,0,0,0,0,812,750,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,196,96,0,0,0,0,713,341,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73561,320455,217408,131252,0,0,0,0,0
207355,820878,614086,318496,0,0,0,0,813,31736,14851,0,0,0,0,136496,62933,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,259,1278,0,0,0,0,795,769,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,190,111,0,0,0,0,681,352,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83540,312454,216363,130528,0,0,0,0,0
235441,795570,614803,317392,0,0,0,0,780,36287,16602,0,0,0,0,133161,60728,0,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,264,1265,0,0,0,0,780,786,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,229,102,0,0,0,0,664,342,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94033,304489,216929,129509,0,0,0,0,0
