Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 24.00 degrees [A] RIGHT WP at 24.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95725,913208,582956,344594,0,0,0,0,398,14578,7430,0,0,0,0,146325,72780,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,245,1340,0,0,0,0,869,723,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,104,64,0,0,0,0,746,443,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40230,336753,211999,137968,0,0,0,0,0
93998,913161,578673,346031,0,0,0,0,353,13793,7470,0,0,0,0,141977,76327,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,245,1353,0,0,0,0,881,736,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,66,0,0,0,0,706,395,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39232,331422,207236,144424,0,0,0,0,0
97733,912608,579947,346551,0,0,0,0,386,14576,7818,0,0,0,0,141977,75886,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,245,1350,0,0,0,0,879,734,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,115,78,0,0,0,0,723,411,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41123,331622,207857,143914,0,0,0,0,0
105340,905048,580533,346102,0,0,0,0,423,15723,8424,0,0,0,0,141730,75469,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,246,1346,0,0,0,0,872,742,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,101,73,0,0,0,0,745,392,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44539,330644,208605,144057,0,0,0,0,0
117056,896891,580069,347367,0,0,0,0,440,17600,9290,0,0,0,0,139960,74567,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,247,1345,0,0,0,0,867,748,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,118,82,0,0,0,0,705,377,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49473,326554,208390,143656,0,0,0,0,0
133276,881630,579033,346922,0,0,0,0,526,20180,10805,0,0,0,0,137489,73122,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,252,1335,0,0,0,0,856,756,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,131,89,0,0,0,0,741,376,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56296,321698,208176,142797,0,0,0,0,0
150731,867029,578959,347944,0,0,0,0,635,23245,12396,0,0,0,0,134753,71550,0,0,0,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,253,1332,0,0,0,0,842,769,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,162,98,0,0,0,0,665,377,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64438,315496,207734,142321,0,0,0,0,0
172727,846695,580897,347523,0,0,0,0,659,26733,14374,0,0,0,0,132011,70023,0,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,259,1313,0,0,0,0,827,782,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,184,107,0,0,0,0,649,365,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73501,309965,207962,142484,0,0,0,0,0
197131,826124,580103,347661,0,0,0,0,749,30718,16610,0,0,0,0,128444,68123,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,268,1301,0,0,0,0,812,796,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,189,136,0,0,0,0,642,366,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83910,302728,207983,141851,0,0,0,0,0
222928,801883,580932,347273,0,0,0,0,860,34789,18577,0,0,0,0,124968,66113,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,270,1297,0,0,0,0,794,820,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,219,147,0,0,0,0,677,356,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94308,295156,207680,141163,0,0,0,0,0
