Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 26.00 degrees [A] RIGHT WP at 26.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95856,913151,558422,369427,0,0,0,0,393,13476,8283,0,0,0,0,136020,82720,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,249,1385,0,0,0,0,897,762,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,106,72,0,0,0,0,682,467,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40328,326314,201970,156629,0,0,0,0,0
94739,913393,550576,375990,0,0,0,0,377,13362,8098,0,0,0,0,135542,83286,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,252,1380,0,0,0,0,897,759,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,89,80,0,0,0,0,794,490,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39601,326145,201791,156949,0,0,0,0,0
96331,912054,551482,376769,0,0,0,0,381,13784,8324,0,0,0,0,136174,82928,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,248,1388,0,0,0,0,894,764,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,113,73,0,0,0,0,708,465,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40793,327251,202642,156860,0,0,0,0,0
103513,905810,549922,376851,0,0,0,0,411,14988,8966,0,0,0,0,134189,81864,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,251,1379,0,0,0,0,891,766,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,119,75,0,0,0,0,682,445,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44141,322820,201354,155726,0,0,0,0,0
114566,898662,548501,376880,0,0,0,0,480,16582,10334,0,0,0,0,132968,81304,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,253,1374,0,0,0,0,884,775,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,135,84,0,0,0,0,622,402,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49029,320722,201430,156425,0,0,0,0,0
129555,883831,551971,377125,0,0,0,0,525,18917,11808,0,0,0,0,130836,80013,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,255,1372,0,0,0,0,871,783,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,129,89,0,0,0,0,682,425,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55821,315871,201049,156147,0,0,0,0,0
156173,861122,551114,375322,0,0,0,0,571,22130,13294,0,0,0,0,128204,78208,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,262,1354,0,0,0,0,860,794,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,152,99,0,0,0,0,632,449,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63469,310389,201103,154938,0,0,0,0,0
180194,838640,550551,375293,0,0,0,0,631,25085,15304,0,0,0,0,125558,75753,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,266,1344,0,0,0,0,843,810,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,147,119,0,0,0,0,622,411,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72330,303499,200176,153573,0,0,0,0,0
206681,816925,550086,376408,0,0,0,0,731,29125,17294,0,0,0,0,121507,73868,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,273,1328,0,0,0,0,829,828,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,188,121,0,0,0,0,615,391,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82104,295680,199639,152813,0,0,0,0,0
234375,792553,550467,375003,0,0,0,0,806,32836,20155,0,0,0,0,118068,71796,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,280,1316,0,0,0,0,812,844,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,198,135,0,0,0,0,579,362,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92741,288518,199500,152590,0,0,0,0,0
