Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 28.00 degrees [A] RIGHT WP at 28.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95134,911933,520946,402609,0,0,0,0,367,12818,8550,0,0,0,0,129679,87613,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,252,1409,0,0,0,0,910,782,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,103,72,0,0,0,0,676,495,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39345,319505,195274,165745,0,0,0,0,0
94168,912126,521325,403900,0,0,0,0,363,12729,8688,0,0,0,0,128720,88406,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,252,1411,0,0,0,0,915,786,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,63,0,0,0,0,681,463,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39235,318687,194211,167250,0,0,0,0,0
97978,909063,521026,402566,0,0,0,0,369,13020,8903,0,0,0,0,128283,88624,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,252,1406,0,0,0,0,913,786,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,108,70,0,0,0,0,652,501,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39951,318164,194201,167984,0,0,0,0,0
105749,903547,521459,403208,0,0,0,0,455,13913,9566,0,0,0,0,127943,87859,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,256,1409,0,0,0,0,906,792,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,108,76,0,0,0,0,673,467,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43122,317374,194112,167356,0,0,0,0,0
119019,893816,521520,403097,0,0,0,0,492,15764,10813,0,0,0,0,126836,87089,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,255,1404,0,0,0,0,900,797,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,133,98,0,0,0,0,635,477,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48212,315104,194935,167422,0,0,0,0,0
134486,877599,521080,403310,0,0,0,0,523,17132,11889,0,0,0,0,124158,85631,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,263,1390,0,0,0,0,892,804,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,140,106,0,0,0,0,604,441,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52685,308921,193003,165989,0,0,0,0,0
154402,860004,521682,402390,0,0,0,0,575,19369,13710,0,0,0,0,122525,84300,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,261,1386,0,0,0,0,881,815,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,155,102,0,0,0,0,670,487,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59748,305391,193087,166000,0,0,0,0,0
177663,840228,521626,402373,0,0,0,0,690,24533,16718,0,0,0,0,118041,81706,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,271,1375,0,0,0,0,861,836,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,155,119,0,0,0,0,599,428,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72741,296678,192818,165450,0,0,0,0,0
203355,817608,521126,403987,0,0,0,0,772,27686,19582,0,0,0,0,115581,79222,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,276,1357,0,0,0,0,845,852,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,173,146,0,0,0,0,610,391,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82777,290760,192801,164791,0,0,0,0,0
230731,794212,520472,404277,0,0,0,0,771,31395,21806,0,0,0,0,111084,76355,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,288,1340,0,0,0,0,827,871,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,196,143,0,0,0,0,584,433,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92638,280868,190199,162898,0,0,0,0,0
