Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 32.00 degrees [A] RIGHT WP at 32.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95820,919019,487235,444020,0,0,0,0,397,11685,9897,0,0,0,0,119069,100702,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,262,1455,0,0,0,0,939,825,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,88,82,0,0,0,0,634,509,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39565,313112,184976,190252,0,0,0,0,0
94780,920620,479050,451700,0,0,0,0,437,11415,9586,0,0,0,0,119364,100817,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,266,1452,0,0,0,0,945,821,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,91,84,0,0,0,0,597,533,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38788,314078,184784,189989,0,0,0,0,0
96827,919441,477666,452334,0,0,0,0,406,11890,10301,0,0,0,0,118621,100858,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,260,1451,0,0,0,0,942,827,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,77,91,0,0,0,0,625,537,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40683,312534,184807,191015,0,0,0,0,0
102969,912398,478729,452227,0,0,0,0,457,13045,11019,0,0,0,0,118130,99453,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,262,1452,0,0,0,0,935,832,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,101,85,0,0,0,0,579,493,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43847,310363,184974,189844,0,0,0,0,0
119876,900104,478608,452047,0,0,0,0,464,14717,12292,0,0,0,0,116645,98526,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,266,1445,0,0,0,0,927,836,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,98,96,0,0,0,0,590,542,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48970,307904,184584,189231,0,0,0,0,0
136932,884259,479743,452379,0,0,0,0,547,16775,14209,0,0,0,0,114699,97226,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,272,1437,0,0,0,0,919,847,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,133,106,0,0,0,0,557,485,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55670,304098,184121,189192,0,0,0,0,0
157993,869007,478001,453050,0,0,0,0,624,19050,16203,0,0,0,0,112375,95857,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,277,1432,0,0,0,0,909,860,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,139,111,0,0,0,0,565,519,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63296,299033,183663,189168,0,0,0,0,0
181345,845047,478101,451365,0,0,0,0,741,22073,18667,0,0,0,0,110041,92800,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,280,1415,0,0,0,0,891,873,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,166,136,0,0,0,0,557,538,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72391,293363,183026,186866,0,0,0,0,0
207930,822723,479009,451868,0,0,0,0,736,25201,21475,0,0,0,0,106868,90624,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,286,1403,0,0,0,0,876,890,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,163,145,0,0,0,0,491,519,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81883,286568,182563,186446,0,0,0,0,0
236735,797707,478621,452478,0,0,0,0,783,28821,24528,0,0,0,0,104200,87387,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,294,1384,0,0,0,0,859,908,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,185,166,0,0,0,0,518,458,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92643,279740,182208,185262,0,0,0,0,0
