Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 36.00 degrees [A] RIGHT WP at 36.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96120,920954,448923,484070,0,0,0,0,356,11118,10600,0,0,0,0,113171,108181,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,272,1474,0,0,0,0,963,846,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,92,87,0,0,0,0,637,554,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40013,309548,178599,204888,0,0,0,0,0
95152,922718,447794,484580,0,0,0,0,388,11065,10503,0,0,0,0,112185,108939,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,277,1476,0,0,0,0,967,847,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,85,75,0,0,0,0,617,533,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39570,308882,177889,205663,0,0,0,0,0
97957,921307,447584,484349,0,0,0,0,398,11267,10886,0,0,0,0,111551,108901,0,0,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,273,1468,0,0,0,0,966,849,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,106,82,0,0,0,0,544,587,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40586,307784,176987,206453,0,0,0,0,0
108181,914322,447326,484362,0,0,0,0,449,12190,11626,0,0,0,0,110353,107940,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,281,1469,0,0,0,0,960,852,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,93,85,0,0,0,0,523,527,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43613,305200,176293,205269,0,0,0,0,0
119428,903334,448982,483583,0,0,0,0,455,13288,12919,0,0,0,0,110116,106656,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,276,1470,0,0,0,0,954,858,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,118,88,0,0,0,0,583,557,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47736,304379,176714,204298,0,0,0,0,0
136532,887662,448142,484606,0,0,0,0,492,15112,14643,0,0,0,0,108970,105040,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,282,1465,0,0,0,0,945,865,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,105,116,0,0,0,0,594,559,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54068,300903,176428,204130,0,0,0,0,0
156390,870594,448607,482950,0,0,0,0,644,18207,17555,0,0,0,0,106516,101729,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,284,1445,0,0,0,0,928,883,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,120,126,0,0,0,0,574,588,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64018,294805,176282,201404,0,0,0,0,0
178855,850998,448721,483608,0,0,0,0,706,20830,20328,0,0,0,0,102960,99636,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,292,1435,0,0,0,0,915,898,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,147,127,0,0,0,0,553,522,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72834,287877,174627,200759,0,0,0,0,0
203573,828920,448734,483567,0,0,0,0,756,24003,23296,0,0,0,0,100863,96776,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,300,1417,0,0,0,0,899,913,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,162,163,0,0,0,0,503,535,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82596,282400,174779,200004,0,0,0,0,0
231477,803205,448625,484639,0,0,0,0,848,27610,26898,0,0,0,0,97286,93740,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,305,1403,0,0,0,0,875,936,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,160,202,0,0,0,0,502,498,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93924,274770,174282,198972,0,0,0,0,0
