Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 38.00 degrees [A] RIGHT WP at 38.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96233,918569,441036,486332,0,0,0,0,392,10787,10813,0,0,0,0,108990,109533,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,279,1480,0,0,0,0,968,851,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,73,93,0,0,0,0,554,566,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39545,303880,173147,207601,0,0,0,0,0
95194,918148,436918,490066,0,0,0,0,375,10626,10597,0,0,0,0,108856,109499,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,271,1486,0,0,0,0,967,853,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,76,78,0,0,0,0,583,572,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39041,303684,173110,206885,0,0,0,0,0
98380,916614,437148,490552,0,0,0,0,413,11219,10973,0,0,0,0,108573,109459,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,282,1473,0,0,0,0,968,861,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,84,84,0,0,0,0,503,571,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40830,303411,173041,207234,0,0,0,0,0
107372,909881,436749,491103,0,0,0,0,439,11893,11996,0,0,0,0,107646,108980,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,282,1471,0,0,0,0,962,859,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,91,95,0,0,0,0,522,568,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43709,301807,172683,207186,0,0,0,0,0
119647,897801,436390,490148,0,0,0,0,504,13370,13379,0,0,0,0,106411,107977,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,278,1471,0,0,0,0,956,868,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,97,116,0,0,0,0,526,550,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48754,299388,172476,207058,0,0,0,0,0
136161,883866,436276,489700,0,0,0,0,556,15358,15153,0,0,0,0,104614,105471,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,286,1458,0,0,0,0,946,878,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,112,119,0,0,0,0,512,532,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54971,294044,171675,205470,0,0,0,0,0
157039,866899,436480,490916,0,0,0,0,610,17601,17427,0,0,0,0,102926,103916,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,288,1456,0,0,0,0,934,893,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,129,121,0,0,0,0,575,538,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62752,290916,171524,204820,0,0,0,0,0
180242,845576,436325,490188,0,0,0,0,706,20097,20181,0,0,0,0,100940,100542,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,294,1447,0,0,0,0,920,906,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,156,166,0,0,0,0,541,540,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71555,284964,171031,202525,0,0,0,0,0
207382,821341,437672,489566,0,0,0,0,760,23061,23000,0,0,0,0,98208,97999,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,300,1425,0,0,0,0,903,919,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,177,146,0,0,0,0,500,498,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81012,278516,170865,201377,0,0,0,0,0
236531,795646,435866,490297,0,0,0,0,831,26206,26516,0,0,0,0,95447,95697,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,311,1414,0,0,0,0,885,940,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,179,176,0,0,0,0,529,508,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91409,272688,170370,202312,0,0,0,0,0
