Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 40.00 degrees [A] RIGHT WP at 40.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95422,913051,428741,489520,0,0,0,0,389,10748,10674,0,0,0,0,107419,108918,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,276,1477,0,0,0,0,971,857,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,76,85,0,0,0,0,567,568,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39444,300446,170755,206491,0,0,0,0,0
94322,913467,428787,490014,0,0,0,0,378,10356,10607,0,0,0,0,106235,108525,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,281,1481,0,0,0,0,970,858,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,78,83,0,0,0,0,571,555,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38481,297965,169250,205469,0,0,0,0,0
98010,909094,428950,489114,0,0,0,0,411,10936,10967,0,0,0,0,105935,108671,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,279,1477,0,0,0,0,969,861,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100,82,0,0,0,0,577,618,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40227,297655,169079,206465,0,0,0,0,0
106158,904093,429899,489628,0,0,0,0,446,11704,11923,0,0,0,0,105604,108052,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,278,1471,0,0,0,0,963,864,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,85,75,0,0,0,0,530,574,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43154,296961,169602,206194,0,0,0,0,0
118970,891468,430058,489613,0,0,0,0,473,13004,13098,0,0,0,0,103953,107226,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,285,1469,0,0,0,0,962,868,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,96,94,0,0,0,0,554,559,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47704,293945,168956,205380,0,0,0,0,0
134878,878619,429136,488935,0,0,0,0,488,14399,14841,0,0,0,0,102889,105924,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,285,1468,0,0,0,0,947,879,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,111,116,0,0,0,0,553,579,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53179,291146,168661,205342,0,0,0,0,0
155574,860984,428537,490291,0,0,0,0,560,16506,16945,0,0,0,0,100990,103838,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,289,1454,0,0,0,0,938,892,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,134,127,0,0,0,0,558,507,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60153,286952,168216,203971,0,0,0,0,0
178821,839781,429655,489280,0,0,0,0,638,19193,19588,0,0,0,0,99591,100828,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,296,1441,0,0,0,0,922,904,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,146,155,0,0,0,0,499,539,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68772,282587,168375,202473,0,0,0,0,0
205064,816537,428974,488798,0,0,0,0,745,22024,22422,0,0,0,0,96488,98486,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,304,1427,0,0,0,0,908,921,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,175,158,0,0,0,0,538,547,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77819,276184,167407,201600,0,0,0,0,0
232533,792474,429139,489865,0,0,0,0,776,24750,25325,0,0,0,0,93349,95273,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,309,1418,0,0,0,0,891,940,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,186,168,0,0,0,0,515,510,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87209,268566,165849,199494,0,0,0,0,0
