Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 42.00 degrees [A] RIGHT WP at 42.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95478,914293,429609,489931,0,0,0,0,405,10548,10838,0,0,0,0,107663,109622,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,278,1488,0,0,0,0,971,859,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,96,91,0,0,0,0,574,553,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39260,301569,171255,207813,0,0,0,0,0
94440,916614,430459,488998,0,0,0,0,391,10604,10531,0,0,0,0,107233,110033,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,277,1480,0,0,0,0,974,856,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,87,81,0,0,0,0,550,570,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39094,301211,171359,207373,0,0,0,0,0
98241,914602,430432,491167,0,0,0,0,384,10708,10960,0,0,0,0,107497,110370,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,276,1481,0,0,0,0,972,859,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,79,81,0,0,0,0,542,562,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40012,302135,171470,208824,0,0,0,0,0
106862,906523,430808,490598,0,0,0,0,457,11728,11945,0,0,0,0,106408,109446,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,277,1474,0,0,0,0,967,863,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,94,91,0,0,0,0,603,603,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43329,300075,171203,208207,0,0,0,0,0
119206,895050,431044,491190,0,0,0,0,483,12994,13168,0,0,0,0,105089,107403,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,281,1473,0,0,0,0,959,870,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,92,115,0,0,0,0,525,567,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47676,296264,170459,205768,0,0,0,0,0
135863,882424,430895,493383,0,0,0,0,534,14833,15199,0,0,0,0,103377,105907,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,280,1464,0,0,0,0,950,882,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,109,116,0,0,0,0,530,553,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54242,292125,169460,206439,0,0,0,0,0
156388,863445,431554,492143,0,0,0,0,555,17009,17438,0,0,0,0,101830,103731,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,294,1451,0,0,0,0,936,891,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,122,125,0,0,0,0,531,535,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61365,288646,169834,204491,0,0,0,0,0
179979,844161,430334,491283,0,0,0,0,650,19681,20078,0,0,0,0,99795,102185,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,294,1444,0,0,0,0,924,904,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,142,144,0,0,0,0,510,507,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70265,284673,169767,205147,0,0,0,0,0
205976,821483,431745,492028,0,0,0,0,731,22654,22900,0,0,0,0,97579,99004,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,303,1426,0,0,0,0,908,922,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,151,152,0,0,0,0,542,525,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79728,279163,169350,202990,0,0,0,0,0
234591,795786,430856,490922,0,0,0,0,831,26409,27103,0,0,0,0,93499,95395,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,316,1411,0,0,0,0,886,941,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,171,158,0,0,0,0,533,507,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92590,269912,167845,201934,0,0,0,0,0
