Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 44.00 degrees [A] RIGHT WP at 44.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96376,918653,435799,491172,0,0,0,0,395,10717,10691,0,0,0,0,110121,110507,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,274,1480,0,0,0,0,969,855,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,76,97,0,0,0,0,559,595,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39517,306939,174908,208863,0,0,0,0,0
95801,920641,437303,488012,0,0,0,0,414,10700,10881,0,0,0,0,109630,110989,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,276,1483,0,0,0,0,970,853,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,73,85,0,0,0,0,546,544,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39617,306710,174514,209829,0,0,0,0,0
97626,920114,437282,490346,0,0,0,0,399,11117,11161,0,0,0,0,109732,110780,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,278,1471,0,0,0,0,968,855,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,94,90,0,0,0,0,550,570,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40922,306735,175188,209408,0,0,0,0,0
105605,912468,437507,488462,0,0,0,0,461,11950,12208,0,0,0,0,109278,109417,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,281,1473,0,0,0,0,965,858,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,91,102,0,0,0,0,564,545,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44584,305015,174543,208571,0,0,0,0,0
116645,904680,437896,488552,0,0,0,0,491,13616,13757,0,0,0,0,108054,107761,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,282,1467,0,0,0,0,955,862,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,100,115,0,0,0,0,538,556,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49506,302012,175056,207410,0,0,0,0,0
132035,891396,438746,488535,0,0,0,0,532,15465,15463,0,0,0,0,106354,106668,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,290,1457,0,0,0,0,946,873,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,110,100,0,0,0,0,544,539,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56118,298409,174478,207174,0,0,0,0,0
157433,868873,437915,488465,0,0,0,0,615,17893,17815,0,0,0,0,103132,104084,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,288,1452,0,0,0,0,932,888,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,129,119,0,0,0,0,530,514,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63661,291494,172815,205425,0,0,0,0,0
181127,847558,437873,489000,0,0,0,0,731,20489,20524,0,0,0,0,101598,101946,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,294,1445,0,0,0,0,920,907,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,134,142,0,0,0,0,521,536,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72825,287666,172730,205266,0,0,0,0,0
208503,825673,439336,490128,0,0,0,0,820,23560,23698,0,0,0,0,98744,99440,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,304,1424,0,0,0,0,904,919,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,151,140,0,0,0,0,465,487,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82536,281820,172469,204627,0,0,0,0,0
236987,799568,438524,488515,0,0,0,0,795,26869,26770,0,0,0,0,96176,95810,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,311,1409,0,0,0,0,885,937,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,188,181,0,0,0,0,502,485,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93136,274590,171948,202180,0,0,0,0,0
