Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 50.00 degrees [A] RIGHT WP at 50.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95769,916328,470191,450165,0,0,0,0,397,11904,9885,0,0,0,0,119563,100055,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,266,1441,0,0,0,0,938,823,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,88,73,0,0,0,0,609,507,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40151,313417,185526,188895,0,0,0,0,0
94935,916104,474032,442944,0,0,0,0,398,11650,9742,0,0,0,0,119126,99982,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,266,1441,0,0,0,0,944,818,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,86,79,0,0,0,0,654,500,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39540,312601,184533,188631,0,0,0,0,0
98777,913201,474215,443085,0,0,0,0,401,12224,10167,0,0,0,0,119158,99853,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,264,1442,0,0,0,0,941,822,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,92,77,0,0,0,0,635,555,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41204,313009,185577,188357,0,0,0,0,0
106193,907784,474683,442569,0,0,0,0,445,13143,11067,0,0,0,0,119147,98995,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,269,1432,0,0,0,0,937,824,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,96,81,0,0,0,0,629,513,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44447,312415,185677,188453,0,0,0,0,0
119569,896478,474450,442056,0,0,0,0,466,14557,12305,0,0,0,0,116862,97889,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,271,1432,0,0,0,0,927,833,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,96,103,0,0,0,0,608,507,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48706,308123,184810,187206,0,0,0,0,0
136537,880356,474556,441819,0,0,0,0,542,16519,13881,0,0,0,0,114843,96406,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,274,1419,0,0,0,0,920,844,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,111,102,0,0,0,0,571,485,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55223,303234,183658,187148,0,0,0,0,0
156484,862186,473397,443064,0,0,0,0,598,19153,16162,0,0,0,0,112062,94038,0,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,275,1421,0,0,0,0,907,854,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,144,120,0,0,0,0,572,528,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63281,297166,182565,185596,0,0,0,0,0
179835,840921,474602,442432,0,0,0,0,656,21840,18358,0,0,0,0,109794,91511,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,282,1403,0,0,0,0,890,868,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,141,131,0,0,0,0,574,452,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71138,291612,182333,183954,0,0,0,0,0
205953,818841,473086,442652,0,0,0,0,728,25156,21052,0,0,0,0,107352,89830,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,291,1393,0,0,0,0,876,884,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,156,139,0,0,0,0,550,483,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81140,286745,182740,184412,0,0,0,0,0
233567,793577,473643,441348,0,0,0,0,821,28534,24116,0,0,0,0,104197,86468,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,299,1373,0,0,0,0,857,902,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,196,186,0,0,0,0,534,457,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91904,278925,182004,182201,0,0,0,0,0
