Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 52.00 degrees [A] RIGHT WP at 52.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96206,917785,497779,422733,0,0,0,0,443,12328,9593,0,0,0,0,124933,96368,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,257,1429,0,0,0,0,930,803,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,96,78,0,0,0,0,721,522,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40377,319778,192232,181239,0,0,0,0,0
95413,920204,496389,422522,0,0,0,0,396,12484,9452,0,0,0,0,125731,95804,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,260,1426,0,0,0,0,932,798,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,84,74,0,0,0,0,694,507,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40467,320901,192515,180324,0,0,0,0,0
98703,918502,496713,422656,0,0,0,0,430,12632,9652,0,0,0,0,124890,96385,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,262,1415,0,0,0,0,931,799,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,99,91,0,0,0,0,682,508,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41055,320164,192057,181323,0,0,0,0,0
106750,910970,497310,422949,0,0,0,0,434,13431,10482,0,0,0,0,124752,95841,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,260,1420,0,0,0,0,928,800,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,95,87,0,0,0,0,598,476,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44056,319764,192806,181035,0,0,0,0,0
119071,898952,497728,423636,0,0,0,0,481,15258,11833,0,0,0,0,123110,93707,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,266,1418,0,0,0,0,917,813,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,127,90,0,0,0,0,647,541,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49340,314813,192113,179570,0,0,0,0,0
136951,882590,495693,422445,0,0,0,0,556,17435,13440,0,0,0,0,120441,92728,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,268,1408,0,0,0,0,909,823,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,132,106,0,0,0,0,629,495,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55994,310167,191062,179309,0,0,0,0,0
157728,867570,498205,422478,0,0,0,0,611,20180,15360,0,0,0,0,118676,90701,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,270,1392,0,0,0,0,895,832,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,133,125,0,0,0,0,608,496,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63979,305604,191002,178686,0,0,0,0,0
180103,846136,497237,422546,0,0,0,0,636,22840,17701,0,0,0,0,115746,88463,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,279,1390,0,0,0,0,883,846,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,153,138,0,0,0,0,582,503,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72056,299241,189997,177511,0,0,0,0,0
206570,822310,496555,422219,0,0,0,0,753,26142,20211,0,0,0,0,113582,86496,0,0,0,0,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,283,1379,0,0,0,0,866,862,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,170,155,0,0,0,0,576,487,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82241,294283,190480,177213,0,0,0,0,0
234267,798494,496749,422307,0,0,0,0,846,29559,22832,0,0,0,0,109279,84493,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,293,1363,0,0,0,0,851,880,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,208,171,0,0,0,0,591,443,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91583,286022,189071,176849,0,0,0,0,0
