Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 54.00 degrees [A] RIGHT WP at 54.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96061,919319,519833,398355,0,0,0,0,423,13014,9084,0,0,0,0,129943,91529,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,257,1403,0,0,0,0,920,784,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,97,87,0,0,0,0,703,504,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40592,324944,197265,171849,0,0,0,0,0
95209,921079,521012,398663,0,0,0,0,410,13054,8770,0,0,0,0,132073,90985,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,260,1405,0,0,0,0,918,778,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,88,76,0,0,0,0,712,489,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40045,328119,199711,170702,0,0,0,0,0
99271,917801,520252,398174,0,0,0,0,410,13120,9172,0,0,0,0,132495,90612,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,255,1404,0,0,0,0,916,780,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,98,70,0,0,0,0,666,463,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41093,328205,199904,170612,0,0,0,0,0
106501,911551,520191,397230,0,0,0,0,411,13993,9760,0,0,0,0,130655,89737,0,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,252,1402,0,0,0,0,913,784,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,107,75,0,0,0,0,673,482,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43780,324269,198820,169387,0,0,0,0,0
118957,900090,520568,398402,0,0,0,0,477,15585,10889,0,0,0,0,129234,89258,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,260,1392,0,0,0,0,904,791,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,125,94,0,0,0,0,651,475,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48555,321847,198575,170027,0,0,0,0,0
136099,887173,521592,398099,0,0,0,0,527,17961,12305,0,0,0,0,127880,87883,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,263,1385,0,0,0,0,897,798,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,146,100,0,0,0,0,634,464,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54921,318994,198974,169308,0,0,0,0,0
156121,868179,520501,398155,0,0,0,0,580,20488,13929,0,0,0,0,125130,86482,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,269,1378,0,0,0,0,887,807,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,171,99,0,0,0,0,665,472,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62397,313319,198303,168388,0,0,0,0,0
179699,848632,521269,398603,0,0,0,0,644,23557,16326,0,0,0,0,123136,84700,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,272,1369,0,0,0,0,873,821,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,157,123,0,0,0,0,670,467,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71124,309138,198560,168893,0,0,0,0,0
204145,826728,521032,398499,0,0,0,0,740,26698,18283,0,0,0,0,120210,82335,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,278,1353,0,0,0,0,856,837,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,190,148,0,0,0,0,628,477,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79712,302006,198061,167478,0,0,0,0,0
232770,800478,521496,397953,0,0,0,0,887,32362,22429,0,0,0,0,114399,78376,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,290,1332,0,0,0,0,830,862,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,201,136,0,0,0,0,592,424,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95912,289281,196516,166213,0,0,0,0,0
