Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 56.00 degrees [A] RIGHT WP at 56.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96167,921727,538299,382227,0,0,0,0,422,13483,8365,0,0,0,0,139001,84812,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,251,1380,0,0,0,0,900,755,0,0,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107,67,0,0,0,0,693,442,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40430,334787,206499,158922,0,0,0,0,0
95208,921470,546655,371571,0,0,0,0,389,13503,8383,0,0,0,0,139024,84803,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,251,1383,0,0,0,0,900,755,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,94,59,0,0,0,0,670,459,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40454,334599,206659,159293,0,0,0,0,0
96603,922018,548050,372023,0,0,0,0,400,14040,8713,0,0,0,0,138278,84194,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,249,1382,0,0,0,0,900,756,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,107,67,0,0,0,0,673,461,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41842,332968,205865,158619,0,0,0,0,0
103434,915881,547296,371277,0,0,0,0,390,15002,9493,0,0,0,0,138001,83871,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,250,1384,0,0,0,0,896,758,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,99,74,0,0,0,0,680,472,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45262,332244,206508,158757,0,0,0,0,0
120912,902416,548381,370342,0,0,0,0,469,17134,10547,0,0,0,0,136041,82636,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,252,1376,0,0,0,0,886,767,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,125,86,0,0,0,0,679,444,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50585,328484,206103,157858,0,0,0,0,0
136750,889067,548323,372214,0,0,0,0,536,19515,12056,0,0,0,0,133930,81918,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,255,1369,0,0,0,0,877,778,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,134,94,0,0,0,0,693,407,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57295,324104,206575,158535,0,0,0,0,0
157338,868867,547602,371647,0,0,0,0,559,22543,13805,0,0,0,0,131646,79976,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,262,1355,0,0,0,0,862,791,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,145,99,0,0,0,0,674,476,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65546,319002,206143,157436,0,0,0,0,0
181714,847684,548047,371437,0,0,0,0,709,25857,15763,0,0,0,0,129050,77863,0,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,265,1345,0,0,0,0,848,805,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,174,108,0,0,0,0,655,412,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74520,313212,206035,156426,0,0,0,0,0
207288,824553,548704,371315,0,0,0,0,695,29273,17995,0,0,0,0,125163,76094,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,272,1334,0,0,0,0,833,823,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,175,133,0,0,0,0,638,414,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83907,304856,204890,156451,0,0,0,0,0
236235,798060,548810,371510,0,0,0,0,802,33363,20446,0,0,0,0,122012,74144,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,276,1321,0,0,0,0,813,837,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,236,155,0,0,0,0,614,435,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94638,298338,205366,156297,0,0,0,0,0
