Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 58.00 degrees [A] RIGHT WP at 58.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96453,923899,577143,341637,0,0,0,0,404,14435,7924,0,0,0,0,145359,78833,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,247,1359,0,0,0,0,883,736,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,109,79,0,0,0,0,751,412,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41188,341130,213104,147772,0,0,0,0,0
95517,925149,577150,342618,0,0,0,0,352,14274,7789,0,0,0,0,146845,78696,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,242,1368,0,0,0,0,882,731,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,109,69,0,0,0,0,755,415,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41007,343580,214468,147316,0,0,0,0,0
98859,921448,575987,341457,0,0,0,0,422,14772,8057,0,0,0,0,146321,77819,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,243,1368,0,0,0,0,881,730,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,116,64,0,0,0,0,762,456,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42137,341975,213966,146562,0,0,0,0,0
107502,914159,577509,343177,0,0,0,0,445,16073,8781,0,0,0,0,146068,77811,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,243,1356,0,0,0,0,874,736,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,111,78,0,0,0,0,732,440,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45766,341801,214906,147400,0,0,0,0,0
119712,903954,574718,342777,0,0,0,0,457,17872,9623,0,0,0,0,144266,77103,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,248,1354,0,0,0,0,871,744,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,134,86,0,0,0,0,725,417,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50339,337874,215014,147247,0,0,0,0,0
136787,888371,575878,341665,0,0,0,0,523,20297,10980,0,0,0,0,141793,75485,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,251,1341,0,0,0,0,860,751,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,142,93,0,0,0,0,694,413,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57157,332159,214160,146177,0,0,0,0,0
157652,869930,577233,340928,0,0,0,0,583,23320,12474,0,0,0,0,139379,74024,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,256,1335,0,0,0,0,846,763,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,161,108,0,0,0,0,762,425,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64698,327521,214027,145631,0,0,0,0,0
179712,850715,577538,342640,0,0,0,0,647,26260,14124,0,0,0,0,136932,73054,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,256,1331,0,0,0,0,836,777,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,190,112,0,0,0,0,798,409,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72618,322705,214599,145624,0,0,0,0,0
206163,830033,577997,342422,0,0,0,0,763,29792,16294,0,0,0,0,134052,71157,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,261,1313,0,0,0,0,821,792,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,194,126,0,0,0,0,687,397,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82393,316096,214512,145611,0,0,0,0,0
232887,804332,577238,342557,0,0,0,0,851,35890,19404,0,0,0,0,127948,68048,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,272,1293,0,0,0,0,797,814,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,245,133,0,0,0,0,620,365,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97842,303452,213356,144225,0,0,0,0,0
