Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 60.00 degrees [A] RIGHT WP at 60.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95930,924541,604969,311319,0,0,0,0,415,15246,7333,0,0,0,0,153900,73038,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,239,1333,0,0,0,0,866,710,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,107,67,0,0,0,0,842,477,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41781,351584,221375,137487,0,0,0,0,0
95186,924744,606860,310231,0,0,0,0,388,15178,7041,0,0,0,0,155010,71713,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,241,1337,0,0,0,0,863,707,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,114,51,0,0,0,0,809,367,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41130,352754,222521,133933,0,0,0,0,0
99034,921796,605949,311555,0,0,0,0,421,15651,7324,0,0,0,0,155153,71257,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,238,1334,0,0,0,0,862,704,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,119,72,0,0,0,0,768,357,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42740,352401,222586,134112,0,0,0,0,0
106975,914453,605218,311595,0,0,0,0,405,16819,7641,0,0,0,0,152996,71982,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,241,1337,0,0,0,0,859,712,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,121,64,0,0,0,0,789,394,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45035,349468,221987,135547,0,0,0,0,0
118919,904964,606841,311162,0,0,0,0,449,18274,8515,0,0,0,0,152398,70687,0,0,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,243,1327,0,0,0,0,852,717,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,123,93,0,0,0,0,752,377,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49453,347054,222145,134623,0,0,0,0,0
134876,891219,607470,311341,0,0,0,0,547,20623,9592,0,0,0,0,150193,69180,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,242,1324,0,0,0,0,844,723,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,157,79,0,0,0,0,742,401,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55576,342362,221626,133147,0,0,0,0,0
154978,873724,605844,310646,0,0,0,0,615,25409,11765,0,0,0,0,146511,67700,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,246,1306,0,0,0,0,826,741,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,166,89,0,0,0,0,715,364,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67862,334624,222664,133190,0,0,0,0,0
177849,854712,607381,311949,0,0,0,0,658,29182,13678,0,0,0,0,143345,66118,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,251,1296,0,0,0,0,808,756,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,181,97,0,0,0,0,738,375,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77596,327607,222824,133212,0,0,0,0,0
203504,830729,605011,310533,0,0,0,0,798,33263,15486,0,0,0,0,138761,64023,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,257,1285,0,0,0,0,793,770,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,203,113,0,0,0,0,649,346,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87415,318375,221276,131999,0,0,0,0,0
230562,806823,605881,311727,0,0,0,0,843,37729,17764,0,0,0,0,134319,61901,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,263,1268,0,0,0,0,775,791,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,227,120,0,0,0,0,642,368,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98378,309342,220507,131711,0,0,0,0,0
