Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 62.00 degrees [A] RIGHT WP at 62.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96360,921360,635190,279166,0,0,0,0,375,15889,6594,0,0,0,0,160369,65961,0,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,235,1307,0,0,0,0,847,682,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,119,74,0,0,0,0,796,388,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41728,357502,227040,123494,0,0,0,0,0
94726,921836,634229,278179,0,0,0,0,463,15694,6416,0,0,0,0,162954,63995,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,236,1308,0,0,0,0,845,678,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,115,53,0,0,0,0,786,345,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41413,360562,228428,120296,0,0,0,0,0
98194,917322,633686,278026,0,0,0,0,363,16270,6401,0,0,0,0,161725,63637,0,0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,234,1303,0,0,0,0,843,680,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,114,56,0,0,0,0,816,355,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42226,357755,227743,119499,0,0,0,0,0
107483,912830,635214,277562,0,0,0,0,379,17668,6892,0,0,0,0,160410,63174,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,236,1295,0,0,0,0,838,681,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,126,62,0,0,0,0,785,353,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45650,355081,227178,119865,0,0,0,0,0
119783,901156,634257,278464,0,0,0,0,490,19307,7755,0,0,0,0,158966,63198,0,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,239,1295,0,0,0,0,832,689,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,137,63,0,0,0,0,781,357,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50306,352706,227720,120480,0,0,0,0,0
136163,886009,633330,277797,0,0,0,0,570,22238,8806,0,0,0,0,156813,61745,0,0,0,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,242,1297,0,0,0,0,825,698,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,167,84,0,0,0,0,755,343,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57126,347780,228143,119676,0,0,0,0,0
156372,868369,632709,277504,0,0,0,0,626,25148,10076,0,0,0,0,153418,60612,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,243,1281,0,0,0,0,815,706,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,169,89,0,0,0,0,798,335,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64705,341236,227340,118522,0,0,0,0,0
179564,848938,634949,278246,0,0,0,0,697,30121,12325,0,0,0,0,149815,58996,0,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,245,1262,0,0,0,0,796,728,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,175,99,0,0,0,0,723,321,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77241,333425,228519,118817,0,0,0,0,0
202549,827451,633332,277937,0,0,0,0,806,34923,13803,0,0,0,0,145144,57262,0,0,0,0,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,252,1250,0,0,0,0,778,745,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,195,100,0,0,0,0,705,291,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88088,323549,227682,118446,0,0,0,0,0
230110,805512,633142,278180,0,0,0,0,868,39556,15782,0,0,0,0,140831,55751,0,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,259,1236,0,0,0,0,761,764,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,240,119,0,0,0,0,714,320,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99406,314849,227814,118466,0,0,0,0,0
