Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 66.00 degrees [A] RIGHT WP at 66.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95799,920768,693136,213111,0,0,0,0,425,17427,4949,0,0,0,0,178007,49033,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,227,1238,0,0,0,0,809,619,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,110,43,0,0,0,0,901,273,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42092,376420,240151,92495,0,0,0,0,0
95456,921464,692192,212438,0,0,0,0,401,17196,4827,0,0,0,0,178235,49170,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,229,1246,0,0,0,0,810,617,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,119,58,0,0,0,0,850,291,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41938,376743,240393,92227,0,0,0,0,0
99003,919301,694747,212324,0,0,0,0,355,17933,4969,0,0,0,0,177299,48592,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,229,1235,0,0,0,0,807,624,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,125,39,0,0,0,0,885,322,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43411,374203,239840,91783,0,0,0,0,0
107396,912409,694776,212458,0,0,0,0,412,19340,5437,0,0,0,0,176041,48523,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,230,1239,0,0,0,0,804,625,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,145,52,0,0,0,0,842,295,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46855,372067,239928,92234,0,0,0,0,0
120287,902429,695621,212850,0,0,0,0,435,21420,6058,0,0,0,0,174240,47730,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,235,1228,0,0,0,0,799,628,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,148,53,0,0,0,0,871,279,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51855,368037,240035,91447,0,0,0,0,0
136412,885458,692503,212636,0,0,0,0,552,24292,6893,0,0,0,0,171141,47237,0,0,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,235,1229,0,0,0,0,787,641,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,172,65,0,0,0,0,868,276,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58509,362170,239585,91804,0,0,0,0,0
157701,868184,693325,212958,0,0,0,0,633,28167,7831,0,0,0,0,168352,46516,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,237,1216,0,0,0,0,776,654,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,199,77,0,0,0,0,912,296,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67181,356124,241139,91794,0,0,0,0,0
180230,848324,693436,213610,0,0,0,0,645,31914,9044,0,0,0,0,165737,45579,0,0,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,240,1206,0,0,0,0,765,661,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,233,79,0,0,0,0,830,266,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75483,351361,241583,92048,0,0,0,0,0
204930,826421,694541,213072,0,0,0,0,726,36006,10344,0,0,0,0,161140,44226,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,245,1196,0,0,0,0,750,679,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,247,105,0,0,0,0,812,278,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85039,341425,241051,91535,0,0,0,0,0
234107,802322,694804,212935,0,0,0,0,826,41415,11625,0,0,0,0,156884,43277,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,249,1180,0,0,0,0,734,690,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,255,102,0,0,0,0,794,276,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97207,332810,241910,91810,0,0,0,0,0
