Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 68.00 degrees [A] RIGHT WP at 68.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96374,922071,711485,197837,0,0,0,0,402,18200,4256,0,0,0,0,185446,42007,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,227,1200,0,0,0,0,792,592,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,152,44,0,0,0,0,912,248,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42856,384312,245545,79848,0,0,0,0,0
95609,924234,723984,182753,0,0,0,0,396,18204,4151,0,0,0,0,187034,42365,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,225,1212,0,0,0,0,793,596,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,127,39,0,0,0,0,890,273,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42645,388155,247510,79536,0,0,0,0,0
99442,922422,723586,183272,0,0,0,0,421,18778,4364,0,0,0,0,186011,42036,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,229,1215,0,0,0,0,795,594,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,138,44,0,0,0,0,929,257,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43809,386262,246844,79557,0,0,0,0,0
107470,914726,724087,182873,0,0,0,0,451,20579,4787,0,0,0,0,184786,42023,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,227,1213,0,0,0,0,786,596,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,136,55,0,0,0,0,893,240,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47800,383559,248040,79991,0,0,0,0,0
120324,903387,724373,183086,0,0,0,0,485,22808,5151,0,0,0,0,182655,41180,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,230,1201,0,0,0,0,783,607,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,155,72,0,0,0,0,919,258,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52951,378885,247370,79188,0,0,0,0,0
137423,891401,726852,182387,0,0,0,0,531,26093,5981,0,0,0,0,179539,40575,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,230,1189,0,0,0,0,770,613,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,167,58,0,0,0,0,881,234,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60418,372641,247539,79088,0,0,0,0,0
157993,871182,724875,182246,0,0,0,0,581,30016,6993,0,0,0,0,176576,39739,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,233,1174,0,0,0,0,757,623,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,180,66,0,0,0,0,866,245,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69135,366184,248536,79273,0,0,0,0,0
181996,850358,723271,182039,0,0,0,0,678,33993,7833,0,0,0,0,172864,38813,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,236,1171,0,0,0,0,745,638,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,239,68,0,0,0,0,853,239,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78360,358180,248897,78692,0,0,0,0,0
208093,828572,724654,182756,0,0,0,0,771,39077,9096,0,0,0,0,167629,38063,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,239,1154,0,0,0,0,730,648,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,259,73,0,0,0,0,820,223,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88779,348655,248749,79335,0,0,0,0,0
236414,802620,724619,182663,0,0,0,0,833,44383,10171,0,0,0,0,163620,36729,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,242,1146,0,0,0,0,712,667,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,285,78,0,0,0,0,798,234,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100461,339670,250126,78555,0,0,0,0,0
