Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 70.00 degrees [A] RIGHT WP at 70.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96080,921685,741516,157676,0,0,0,0,404,18563,3712,0,0,0,0,187926,38477,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,229,1186,0,0,0,0,788,578,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,139,43,0,0,0,0,912,286,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42429,386806,246846,72648,0,0,0,0,0
95204,922909,745899,153367,0,0,0,0,414,18610,3573,0,0,0,0,192193,35639,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,227,1180,0,0,0,0,779,566,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,121,40,0,0,0,0,905,204,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42775,392812,249869,67164,0,0,0,0,0
97936,918426,745336,152832,0,0,0,0,429,19532,3612,0,0,0,0,190749,35004,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,229,1169,0,0,0,0,778,569,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,140,36,0,0,0,0,1053,218,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44163,389587,248988,66547,0,0,0,0,0
105380,913199,746724,153132,0,0,0,0,486,20915,3999,0,0,0,0,189701,34773,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,224,1183,0,0,0,0,773,575,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,144,35,0,0,0,0,951,231,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47782,387383,249176,66571,0,0,0,0,0
114977,906026,746457,153039,0,0,0,0,431,23393,4448,0,0,0,0,187459,34380,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,227,1171,0,0,0,0,765,581,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,167,49,0,0,0,0,890,203,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52903,382542,249718,66635,0,0,0,0,0
130463,891876,747098,153006,0,0,0,0,576,26862,4972,0,0,0,0,184380,33711,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,230,1162,0,0,0,0,754,590,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,174,54,0,0,0,0,903,204,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60450,376082,249943,66316,0,0,0,0,0
157555,867550,745657,153302,0,0,0,0,598,30906,5835,0,0,0,0,181439,33398,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,230,1149,0,0,0,0,744,597,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,222,61,0,0,0,0,858,215,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69625,370215,251367,66656,0,0,0,0,0
181151,847318,745571,153366,0,0,0,0,704,35419,6801,0,0,0,0,176650,32819,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,233,1145,0,0,0,0,730,611,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,199,67,0,0,0,0,881,208,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78965,360963,251505,67003,0,0,0,0,0
207321,822366,744286,153284,0,0,0,0,745,40216,7690,0,0,0,0,171131,31587,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,238,1129,0,0,0,0,714,624,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,239,59,0,0,0,0,895,211,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89603,348995,250480,66343,0,0,0,0,0
236991,798169,746717,154186,0,0,0,0,842,45985,8949,0,0,0,0,167614,30871,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,244,1104,0,0,0,0,698,643,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,284,75,0,0,0,0,849,177,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101864,341876,253171,67000,0,0,0,0,0
