Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 72.00 degrees [A] RIGHT WP at 72.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95265,911958,755009,134443,0,0,0,0,411,19199,2909,0,0,0,0,195191,28708,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,228,1146,0,0,0,0,765,553,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,138,33,0,0,0,0,930,185,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43084,392962,249587,54771,0,0,0,0,0
94219,911070,759582,125047,0,0,0,0,379,18772,2885,0,0,0,0,194795,28670,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,226,1147,0,0,0,0,767,546,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,139,30,0,0,0,0,931,178,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42171,392493,248515,54432,0,0,0,0,0
96486,911521,762384,125684,0,0,0,0,363,19500,2943,0,0,0,0,194132,28727,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,226,1144,0,0,0,0,763,552,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,120,37,0,0,0,0,974,190,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43415,391337,248731,54722,0,0,0,0,0
106431,903607,760265,125112,0,0,0,0,426,21301,3086,0,0,0,0,192518,28427,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,226,1147,0,0,0,0,759,554,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,144,41,0,0,0,0,963,179,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47061,387633,249098,54488,0,0,0,0,0
119061,892140,761682,125268,0,0,0,0,479,23658,3417,0,0,0,0,190117,27915,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,224,1139,0,0,0,0,749,564,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,158,34,0,0,0,0,937,173,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52307,382346,248997,54250,0,0,0,0,0
135427,877964,761755,125439,0,0,0,0,522,26968,4042,0,0,0,0,187225,27472,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,232,1126,0,0,0,0,742,567,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,154,42,0,0,0,0,974,188,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59457,376566,249620,54209,0,0,0,0,0
155791,860716,762471,125107,0,0,0,0,625,31488,4623,0,0,0,0,184120,27111,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,235,1126,0,0,0,0,727,574,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,221,48,0,0,0,0,894,173,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68723,370436,251604,54182,0,0,0,0,0
179197,839858,761404,125150,0,0,0,0,684,35949,5386,0,0,0,0,180312,26536,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,235,1112,0,0,0,0,717,592,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,231,58,0,0,0,0,924,172,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78391,362294,252453,54528,0,0,0,0,0
205229,817594,761200,125298,0,0,0,0,751,41194,6136,0,0,0,0,174967,25548,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,236,1089,0,0,0,0,702,603,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,237,66,0,0,0,0,831,196,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89042,351543,252321,53977,0,0,0,0,0
234145,791405,759994,125326,0,0,0,0,776,46746,7167,0,0,0,0,169455,24790,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,242,1079,0,0,0,0,685,623,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,303,69,0,0,0,0,881,163,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100356,340643,252814,54042,0,0,0,0,0
