Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 74.00 degrees [A] RIGHT WP at 74.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96575,919936,789016,103834,0,0,0,0,386,20151,2524,0,0,0,0,201802,24954,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,230,1139,0,0,0,0,757,528,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,156,27,0,0,0,0,979,190,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44184,403492,255341,47402,0,0,0,0,0
94957,920181,789993,103916,0,0,0,0,390,19828,2378,0,0,0,0,203271,24036,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,228,1122,0,0,0,0,754,523,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,138,26,0,0,0,0,981,166,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43412,405559,255874,45788,0,0,0,0,0
99225,917895,789941,103584,0,0,0,0,390,20651,2443,0,0,0,0,202997,23574,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,226,1113,0,0,0,0,752,524,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,160,33,0,0,0,0,1006,145,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44620,404610,256767,45154,0,0,0,0,0
107344,912313,790647,103854,0,0,0,0,392,22030,2627,0,0,0,0,202941,23819,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,228,1114,0,0,0,0,752,526,0,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,190,33,0,0,0,0,990,160,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47769,404595,258232,45823,0,0,0,0,0
118004,902191,791941,103905,0,0,0,0,420,24894,3140,0,0,0,0,199748,23322,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,228,1130,0,0,0,0,740,533,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,173,41,0,0,0,0,971,168,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54397,397181,258416,45586,0,0,0,0,0
133962,888928,792194,103557,0,0,0,0,560,28696,3460,0,0,0,0,196466,22645,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,229,1104,0,0,0,0,728,542,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,196,35,0,0,0,0,917,156,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62178,390328,258891,45073,0,0,0,0,0
153309,872442,791671,103403,0,0,0,0,610,32812,3993,0,0,0,0,192375,22395,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,229,1089,0,0,0,0,718,553,0,0,0,0,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,203,49,0,0,0,0,1014,165,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70304,382410,259127,45698,0,0,0,0,0
176381,853423,792110,103608,0,0,0,0,660,37985,4733,0,0,0,0,188150,21779,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,232,1080,0,0,0,0,704,567,0,0,0,0,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,232,52,0,0,0,0,914,142,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81513,373284,260755,45338,0,0,0,0,0
196748,834802,791675,104221,0,0,0,0,747,43320,5352,0,0,0,0,183594,21285,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,233,1073,0,0,0,0,689,578,0,0,0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,247,63,0,0,0,0,886,141,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92186,364018,261835,45669,0,0,0,0,0
235596,799350,790549,103786,0,0,0,0,818,49616,5884,0,0,0,0,177055,20880,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,236,1059,0,0,0,0,671,595,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,264,56,0,0,0,0,834,159,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104418,351359,262328,45405,0,0,0,0,0
267344,773057,791685,103794,0,0,0,0,934,56238,6929,0,0,0,0,172112,20033,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,239,1034,0,0,0,0,654,608,0,0,0,0,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,309,58,0,0,0,0,862,140,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118239,341330,264500,45548,0,0,0,0,0
298308,744155,793337,103690,0,0,0,0,988,62835,7691,0,0,0,0,165450,19131,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,246,1021,0,0,0,0,636,629,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,365,56,0,0,0,0,789,150,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131243,328076,264521,45266,0,0,0,0,0
330044,715998,793174,103527,0,0,0,0,1008,69225,8327,0,0,0,0,158777,18524,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,249,1006,0,0,0,0,615,644,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,356,71,0,0,0,0,784,135,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143477,314823,264859,45232,0,0,0,0,0
360360,687041,792739,104251,0,0,0,0,1123,75602,9103,0,0,0,0,153313,17838,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,256,980,0,0,0,0,595,671,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,411,77,0,0,0,0,753,143,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156791,303516,266074,45104,0,0,0,0,0
392339,658503,791261,103787,0,0,0,0,1172,82753,9893,0,0,0,0,147155,17139,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,264,972,0,0,0,0,582,681,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,450,71,0,0,0,0,736,124,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170650,292045,267322,45101,0,0,0,0,0
420491,631165,792904,104160,0,0,0,0,1108,88961,10615,0,0,0,0,140234,16206,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,265,959,0,0,0,0,564,708,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,505,79,0,0,0,0,704,112,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181500,278171,267307,45193,0,0,0,0,0
447388,605022,792876,103875,0,0,0,0,1211,94355,10983,0,0,0,0,134960,15640,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,274,942,0,0,0,0,546,717,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,509,88,0,0,0,0,659,104,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192463,267613,267564,44509,0,0,0,0,0
472185,584874,791770,103521,0,0,0,0,1210,99416,11830,0,0,0,0,130519,15108,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,278,918,0,0,0,0,533,734,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,491,103,0,0,0,0,680,102,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202517,259179,268278,45038,0,0,0,0,0
494073,562621,792373,103637,0,0,0,0,1263,103818,12266,0,0,0,0,125607,14822,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,284,913,0,0,0,0,519,749,0,0,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,507,96,0,0,0,0,661,101,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211218,249883,268079,45035,0,0,0,0,0
510479,546081,791881,104501,0,0,0,0,1256,106239,12719,0,0,0,0,122707,14444,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,288,903,0,0,0,0,512,764,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,586,96,0,0,0,0,666,99,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215473,244390,267708,45235,0,0,0,0,0
525433,533534,792325,104132,0,0,0,0,1240,110122,13136,0,0,0,0,119664,14098,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,293,890,0,0,0,0,506,777,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,569,85,0,0,0,0,618,112,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222996,238615,268759,45374,0,0,0,0,0
536114,523623,791552,103740,0,0,0,0,1295,114004,13610,0,0,0,0,116055,13457,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,299,879,0,0,0,0,495,780,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,609,103,0,0,0,0,584,114,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230048,231712,269033,45143,0,0,0,0,0
540387,516951,793678,103866,0,0,0,0,1195,114647,13677,0,0,0,0,115143,13346,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,300,882,0,0,0,0,489,788,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,593,98,0,0,0,0,563,93,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231629,229293,268769,44995,0,0,0,0,0
544190,515031,793932,103888,0,0,0,0,1260,115578,13615,0,0,0,0,115023,13417,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,298,879,0,0,0,0,487,784,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,542,91,0,0,0,0,552,98,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233305,229082,269694,45249,0,0,0,0,0
542816,516610,793879,104121,0,0,0,0,1228,114918,13731,0,0,0,0,115645,13310,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,298,874,0,0,0,0,489,786,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,567,94,0,0,0,0,597,110,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232008,230096,269775,45387,0,0,0,0,0
