Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 76.00 degrees [A] RIGHT WP at 76.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
97075,924660,810424,84873,0,0,0,0,403,20372,2069,0,0,0,0,208012,20548,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,227,1114,0,0,0,0,742,509,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,138,25,0,0,0,0,1030,168,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43902,412078,259910,39203,0,0,0,0,0
95807,923340,809952,83978,0,0,0,0,401,20479,1963,0,0,0,0,210153,19148,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,228,1121,0,0,0,0,742,506,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,148,30,0,0,0,0,1035,134,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44028,414781,261391,36922,0,0,0,0,0
98618,922411,811628,84455,0,0,0,0,415,20784,1971,0,0,0,0,209778,19200,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,227,1102,0,0,0,0,742,499,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,142,25,0,0,0,0,1078,155,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45011,413764,261147,37295,0,0,0,0,0
107303,914575,809750,84475,0,0,0,0,457,22616,2156,0,0,0,0,207666,19115,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,224,1106,0,0,0,0,738,503,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,152,29,0,0,0,0,1007,110,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48330,410165,261318,36966,0,0,0,0,0
120110,903470,810881,84235,0,0,0,0,478,24816,2396,0,0,0,0,205675,19062,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,224,1091,0,0,0,0,730,511,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,174,30,0,0,0,0,1003,155,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53160,405998,261648,37207,0,0,0,0,0
136583,890426,809665,84330,0,0,0,0,511,28487,2680,0,0,0,0,202921,18535,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,228,1082,0,0,0,0,724,517,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,229,38,0,0,0,0,968,132,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60333,399788,263002,37004,0,0,0,0,0
156711,872850,810796,83887,0,0,0,0,574,32336,3072,0,0,0,0,199139,18098,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,234,1085,0,0,0,0,712,526,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,233,39,0,0,0,0,973,134,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68515,392200,263217,36535,0,0,0,0,0
179662,851244,810435,84305,0,0,0,0,633,37048,3575,0,0,0,0,194470,17930,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,231,1058,0,0,0,0,698,541,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,263,38,0,0,0,0,1009,126,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78289,382387,264057,37057,0,0,0,0,0
205808,828671,811759,83709,0,0,0,0,733,42727,4016,0,0,0,0,189751,17322,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,233,1055,0,0,0,0,684,550,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,287,44,0,0,0,0,916,121,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89614,372885,265392,36524,0,0,0,0,0
233317,804138,809716,83948,0,0,0,0,786,48643,4576,0,0,0,0,183977,16930,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,235,1038,0,0,0,0,668,567,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,317,47,0,0,0,0,945,121,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101134,361413,266202,36705,0,0,0,0,0
262935,778152,810929,84806,0,0,0,0,899,57724,5375,0,0,0,0,176136,16246,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,238,1009,0,0,0,0,644,590,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,326,44,0,0,0,0,844,123,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118941,345529,268474,36994,0,0,0,0,0
293003,750520,811281,84707,0,0,0,0,1012,64418,5984,0,0,0,0,169996,15701,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,245,1004,0,0,0,0,627,611,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,355,50,0,0,0,0,861,108,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132213,333207,269536,36970,0,0,0,0,0
323218,721265,809564,83927,0,0,0,0,1065,71462,6708,0,0,0,0,163493,15294,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,248,978,0,0,0,0,604,631,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,391,58,0,0,0,0,844,105,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146326,320432,270797,37047,0,0,0,0,0
348554,700045,810727,84028,0,0,0,0,1121,78351,7479,0,0,0,0,156596,14493,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,255,961,0,0,0,0,589,639,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,435,64,0,0,0,0,803,99,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159338,307095,271170,37139,0,0,0,0,0
391769,659507,808596,83850,0,0,0,0,1114,84445,8061,0,0,0,0,149677,13768,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,258,935,0,0,0,0,570,668,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,413,68,0,0,0,0,743,113,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171142,293529,270346,36784,0,0,0,0,0
421465,632256,811437,84209,0,0,0,0,1234,90693,8584,0,0,0,0,144203,13103,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,263,929,0,0,0,0,552,681,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,469,81,0,0,0,0,696,97,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183445,281902,271735,36740,0,0,0,0,0
448758,607156,809391,84601,0,0,0,0,1167,96062,9179,0,0,0,0,137671,12713,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,270,913,0,0,0,0,539,708,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,501,67,0,0,0,0,727,92,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193822,269667,270846,36665,0,0,0,0,0
471656,582329,809534,84609,0,0,0,0,1226,101480,9777,0,0,0,0,131381,12249,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,276,901,0,0,0,0,522,724,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,492,80,0,0,0,0,650,84,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203734,258088,270345,36752,0,0,0,0,0
494983,563203,810147,84120,0,0,0,0,1235,106921,10111,0,0,0,0,128385,11740,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,282,885,0,0,0,0,512,729,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,556,84,0,0,0,0,690,93,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214025,252178,272769,36779,0,0,0,0,0
511978,546406,809658,84558,0,0,0,0,1200,110776,10520,0,0,0,0,125086,11387,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,284,874,0,0,0,0,499,749,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,592,94,0,0,0,0,608,102,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221641,245295,273731,36848,0,0,0,0,0
526269,532646,809300,83886,0,0,0,0,1187,113694,10705,0,0,0,0,120545,11101,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,290,869,0,0,0,0,493,747,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,557,87,0,0,0,0,631,99,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226622,237169,271841,36673,0,0,0,0,0
535269,522914,809691,84044,0,0,0,0,1256,115643,10953,0,0,0,0,119299,11007,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,291,864,0,0,0,0,486,753,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,573,81,0,0,0,0,647,75,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230817,234501,272793,36939,0,0,0,0,0
541950,517522,807997,84303,0,0,0,0,1256,116788,10812,0,0,0,0,117130,11022,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,294,855,0,0,0,0,483,760,0,0,0,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,611,87,0,0,0,0,576,94,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231830,231042,272090,36722,0,0,0,0,0
543465,514309,809736,84633,0,0,0,0,1206,117520,10994,0,0,0,0,116668,10850,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,292,861,0,0,0,0,481,771,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,628,86,0,0,0,0,597,79,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233443,229798,272276,36810,0,0,0,0,0
541685,515036,809093,84404,0,0,0,0,1220,117157,11083,0,0,0,0,116514,10774,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,294,863,0,0,0,0,482,764,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,579,103,0,0,0,0,666,88,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233085,229123,271833,36782,0,0,0,0,0
535900,521485,809325,84666,0,0,0,0,1266,115494,10948,0,0,0,0,118995,10954,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,291,862,0,0,0,0,487,761,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,576,91,0,0,0,0,592,87,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230381,233510,272742,36807,0,0,0,0,0
528527,530937,810844,84049,0,0,0,0,1257,113274,10390,0,0,0,0,121097,11086,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,289,867,0,0,0,0,492,754,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,659,92,0,0,0,0,690,101,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225748,237664,271967,36370,0,0,0,0,0
509149,548046,809050,83444,0,0,0,0,1316,110038,10184,0,0,0,0,124300,11340,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,287,874,0,0,0,0,499,748,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,567,73,0,0,0,0,646,99,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219669,244423,271799,36154,0,0,0,0,0
490547,563499,808197,84533,0,0,0,0,1283,106209,10001,0,0,0,0,127766,11632,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,283,884,0,0,0,0,509,734,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,540,77,0,0,0,0,632,87,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212648,250538,271470,36516,0,0,0,0,0
468247,585087,807963,84127,0,0,0,0,1240,100842,9582,0,0,0,0,132628,12101,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,278,888,0,0,0,0,523,724,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,500,79,0,0,0,0,648,93,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202660,260216,270315,36579,0,0,0,0,0
444482,607473,809832,84238,0,0,0,0,1192,96699,9295,0,0,0,0,136399,12565,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,272,909,0,0,0,0,533,705,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,536,81,0,0,0,0,639,92,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194344,267917,269961,36811,0,0,0,0,0
419030,630945,809258,84274,0,0,0,0,1197,90115,8490,0,0,0,0,143951,13204,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,266,925,0,0,0,0,551,687,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,500,72,0,0,0,0,718,106,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181939,282482,270390,36590,0,0,0,0,0
394344,654683,809076,83502,0,0,0,0,1095,83176,7883,0,0,0,0,150123,13778,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,261,946,0,0,0,0,567,665,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,459,69,0,0,0,0,735,94,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168554,294377,269159,36715,0,0,0,0,0
357185,689651,808621,83402,0,0,0,0,1089,77259,7342,0,0,0,0,156201,14265,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,253,961,0,0,0,0,586,645,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,408,72,0,0,0,0,819,103,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156798,306450,269200,36631,0,0,0,0,0
324808,718177,810004,83947,0,0,0,0,1071,70201,6737,0,0,0,0,163170,15041,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,250,967,0,0,0,0,604,630,0,0,0,0,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,392,59,0,0,0,0,817,108,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143980,319934,268664,36790,0,0,0,0,0
293691,746698,808188,83973,0,0,0,0,951,63470,5991,0,0,0,0,168210,15682,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,247,990,0,0,0,0,624,613,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,385,53,0,0,0,0,852,115,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130178,330380,266184,36766,0,0,0,0,0
263657,775302,809038,83851,0,0,0,0,882,56737,5379,0,0,0,0,175950,16138,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,239,1011,0,0,0,0,642,593,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,319,49,0,0,0,0,878,117,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117725,345033,266583,36522,0,0,0,0,0
232702,801391,808118,84117,0,0,0,0,842,50668,4727,0,0,0,0,181697,16444,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,237,1029,0,0,0,0,660,575,0,0,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,333,41,0,0,0,0,883,133,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105115,356493,265683,36512,0,0,0,0,0
204119,827369,807502,84004,0,0,0,0,811,44225,4120,0,0,0,0,186438,17325,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,232,1043,0,0,0,0,678,557,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,287,43,0,0,0,0,948,118,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92183,366723,263675,36824,0,0,0,0,0
178002,851121,808779,84303,0,0,0,0,695,38474,3601,0,0,0,0,191826,17912,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,231,1056,0,0,0,0,693,545,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,241,37,0,0,0,0,940,128,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80990,377550,262637,37050,0,0,0,0,0
154442,870448,809391,84483,0,0,0,0,614,33598,3225,0,0,0,0,196262,18195,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,229,1072,0,0,0,0,706,530,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,206,38,0,0,0,0,922,128,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70744,386649,261898,37157,0,0,0,0,0
