Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 78.00 degrees [A] RIGHT WP at 78.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96123,920895,819274,67990,0,0,0,0,412,20892,1605,0,0,0,0,211322,15773,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,229,1074,0,0,0,0,738,485,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,155,26,0,0,0,0,1022,100,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44265,415222,260745,30380,0,0,0,0,0
95138,921235,818561,68302,0,0,0,0,379,20454,1498,0,0,0,0,211759,15399,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,231,1096,0,0,0,0,738,485,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,180,22,0,0,0,0,1045,99,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43493,415275,260406,29819,0,0,0,0,0
98757,917366,818749,68086,0,0,0,0,436,21293,1628,0,0,0,0,211112,15270,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,228,1090,0,0,0,0,737,485,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,157,22,0,0,0,0,1062,102,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45346,414106,260622,29735,0,0,0,0,0
107397,911204,818291,67977,0,0,0,0,432,23191,1737,0,0,0,0,208523,15323,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,229,1076,0,0,0,0,732,495,0,0,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,159,26,0,0,0,0,1003,115,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48800,409226,260289,29878,0,0,0,0,0
119795,899482,818925,68010,0,0,0,0,459,25614,1954,0,0,0,0,206322,15278,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,226,1067,0,0,0,0,721,498,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,184,28,0,0,0,0,997,108,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54015,404664,260740,30089,0,0,0,0,0
136305,884114,819261,67927,0,0,0,0,518,29244,2214,0,0,0,0,203500,14694,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,227,1060,0,0,0,0,714,501,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,190,29,0,0,0,0,967,108,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61238,398531,261762,29571,0,0,0,0,0
156913,865230,820499,68205,0,0,0,0,571,33184,2561,0,0,0,0,200047,14749,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,229,1054,0,0,0,0,703,514,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,229,36,0,0,0,0,963,104,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69719,391004,263060,30110,0,0,0,0,0
180701,846944,818846,67718,0,0,0,0,688,38267,2890,0,0,0,0,195452,14227,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,230,1044,0,0,0,0,690,526,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,283,38,0,0,0,0,982,100,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79662,381566,264229,29684,0,0,0,0,0
206918,823573,818305,67353,0,0,0,0,778,44452,3368,0,0,0,0,191217,13876,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,232,1019,0,0,0,0,675,536,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,282,37,0,0,0,0,947,98,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91317,373432,267056,29769,0,0,0,0,0
234399,796738,815812,67730,0,0,0,0,846,49560,3759,0,0,0,0,184427,13471,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,237,1005,0,0,0,0,661,555,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,304,42,0,0,0,0,912,101,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101936,359831,265250,29685,0,0,0,0,0
263193,770431,816164,67480,0,0,0,0,853,56156,4234,0,0,0,0,177876,13044,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,239,997,0,0,0,0,641,568,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,339,46,0,0,0,0,909,95,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114140,346936,266314,29546,0,0,0,0,0
294449,742593,817726,67657,0,0,0,0,932,62321,4747,0,0,0,0,172097,12487,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,241,981,0,0,0,0,624,585,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,386,54,0,0,0,0,857,89,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127135,334243,267293,29606,0,0,0,0,0
325312,713996,816683,68290,0,0,0,0,1037,69322,5154,0,0,0,0,165522,12278,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,248,968,0,0,0,0,607,604,0,0,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,411,46,0,0,0,0,818,96,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140216,321957,268424,29766,0,0,0,0,0
356343,684628,814958,67955,0,0,0,0,1025,75425,5727,0,0,0,0,159186,11560,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,253,954,0,0,0,0,588,623,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,450,49,0,0,0,0,857,94,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152230,309111,268397,29503,0,0,0,0,0
386459,658648,816262,67531,0,0,0,0,1084,82998,6178,0,0,0,0,153195,11131,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,255,932,0,0,0,0,570,641,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,537,56,0,0,0,0,824,95,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165941,297687,270921,29647,0,0,0,0,0
416291,630247,815420,67922,0,0,0,0,1148,88671,6673,0,0,0,0,146312,10583,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,264,911,0,0,0,0,554,657,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,494,62,0,0,0,0,741,81,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177181,284158,269963,29256,0,0,0,0,0
441952,605232,813350,67538,0,0,0,0,1135,97322,7243,0,0,0,0,137470,10016,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,270,891,0,0,0,0,531,685,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,547,60,0,0,0,0,699,78,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193165,267618,270084,29159,0,0,0,0,0
465848,583166,815108,67599,0,0,0,0,1238,102144,7736,0,0,0,0,131917,9682,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,274,879,0,0,0,0,517,698,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,524,55,0,0,0,0,634,83,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202534,256747,269899,29428,0,0,0,0,0
486135,562302,813811,67519,0,0,0,0,1179,106761,7808,0,0,0,0,127884,9320,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,279,875,0,0,0,0,507,715,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,517,66,0,0,0,0,640,73,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211680,248001,270465,29112,0,0,0,0,0
507554,540568,814731,67551,0,0,0,0,1235,110602,8407,0,0,0,0,123826,9093,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,283,854,0,0,0,0,496,727,0,0,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,568,65,0,0,0,0,604,65,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218671,241161,270694,29342,0,0,0,0,0
522101,527083,812645,67740,0,0,0,0,1238,113830,8483,0,0,0,0,120766,8786,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,289,856,0,0,0,0,490,740,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,592,62,0,0,0,0,622,80,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224770,235036,270622,29190,0,0,0,0,0
