Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 80.00 degrees [A] RIGHT WP at 80.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95993,914999,817492,58426,0,0,0,0,368,20864,1302,0,0,0,0,212031,12728,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,226,1049,0,0,0,0,730,481,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,152,20,0,0,0,0,1015,110,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43915,414418,259187,24867,0,0,0,0,0
95002,913704,819935,56115,0,0,0,0,379,20491,1222,0,0,0,0,211760,12607,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,223,1087,0,0,0,0,730,483,0,0,0,0,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,143,22,0,0,0,0,1084,90,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43190,413939,258305,24429,0,0,0,0,0
97280,913465,821568,55885,0,0,0,0,409,21184,1290,0,0,0,0,209450,12572,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,232,1075,0,0,0,0,730,487,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,143,22,0,0,0,0,1010,87,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44760,409063,256829,24572,0,0,0,0,0
104458,909011,821682,55965,0,0,0,0,443,23194,1391,0,0,0,0,207649,12398,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,229,1070,0,0,0,0,723,490,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,20,0,0,0,0,1048,93,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48498,405355,257314,24519,0,0,0,0,0
115887,897400,822583,55547,0,0,0,0,496,26249,1605,0,0,0,0,206830,12310,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,227,1053,0,0,0,0,717,490,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,179,22,0,0,0,0,1035,103,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54873,403657,260202,24217,0,0,0,0,0
129066,886042,824132,55948,0,0,0,0,548,29856,1805,0,0,0,0,203474,11960,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,230,1058,0,0,0,0,708,498,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,188,25,0,0,0,0,1026,110,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62059,396054,260893,24338,0,0,0,0,0
147997,870911,823808,56201,0,0,0,0,628,34491,2055,0,0,0,0,199132,11845,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,230,1033,0,0,0,0,697,511,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,220,26,0,0,0,0,1003,92,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71130,387864,261578,24319,0,0,0,0,0
180000,843515,822541,56202,0,0,0,0,646,39317,2368,0,0,0,0,195143,11583,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,233,1024,0,0,0,0,684,522,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,236,32,0,0,0,0,948,91,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81115,379096,263168,24292,0,0,0,0,0
206387,818457,823258,56313,0,0,0,0,753,45485,2763,0,0,0,0,189098,11253,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,234,1004,0,0,0,0,667,530,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,243,33,0,0,0,0,892,86,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92752,367131,263975,24578,0,0,0,0,0
234754,794763,822667,55877,0,0,0,0,839,51570,3097,0,0,0,0,183897,11019,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,235,992,0,0,0,0,650,543,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,312,40,0,0,0,0,884,93,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105282,355879,265927,24485,0,0,0,0,0
265612,768489,823184,55892,0,0,0,0,910,58603,3556,0,0,0,0,177980,10460,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,237,986,0,0,0,0,631,565,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,335,45,0,0,0,0,842,80,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118641,344397,267796,24067,0,0,0,0,0
296116,739004,823683,55929,0,0,0,0,1003,64830,4020,0,0,0,0,172105,10303,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,243,968,0,0,0,0,615,574,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,388,40,0,0,0,0,858,79,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130983,332879,268642,24545,0,0,0,0,0
326854,712607,824000,56268,0,0,0,0,1011,71723,4374,0,0,0,0,165024,9878,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,245,948,0,0,0,0,598,601,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,418,42,0,0,0,0,851,78,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143746,318974,269363,24313,0,0,0,0,0
359181,681720,824103,56337,0,0,0,0,1058,78533,4890,0,0,0,0,158757,9514,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,251,930,0,0,0,0,577,620,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,418,39,0,0,0,0,809,91,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157519,305956,270430,24715,0,0,0,0,0
388964,654270,823464,56339,0,0,0,0,1137,85634,5318,0,0,0,0,152325,9152,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,257,918,0,0,0,0,560,638,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,604,50,0,0,0,0,960,73,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170114,294432,271981,24547,0,0,0,0,0
419285,626671,825697,55895,0,0,0,0,1164,91332,5488,0,0,0,0,145993,8500,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,261,896,0,0,0,0,542,650,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,494,53,0,0,0,0,755,79,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181279,281033,271375,24045,0,0,0,0,0
445405,602007,823518,56104,0,0,0,0,1150,97749,5982,0,0,0,0,140357,8470,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,267,875,0,0,0,0,530,674,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,512,62,0,0,0,0,733,75,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192765,271735,272527,24446,0,0,0,0,0
468330,580410,823530,56265,0,0,0,0,1212,102862,6329,0,0,0,0,134974,8074,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,270,874,0,0,0,0,515,685,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,532,58,0,0,0,0,674,70,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202041,260952,273029,24631,0,0,0,0,0
490459,558921,823843,55858,0,0,0,0,1249,107491,6707,0,0,0,0,130908,7761,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,277,859,0,0,0,0,502,705,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,584,58,0,0,0,0,701,72,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211491,252440,274097,24446,0,0,0,0,0
507447,542911,825417,56160,0,0,0,0,1253,111310,6860,0,0,0,0,126922,7577,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,280,840,0,0,0,0,493,713,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,581,60,0,0,0,0,615,66,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218542,244925,273935,24578,0,0,0,0,0
523054,529998,825889,56455,0,0,0,0,1214,114875,7182,0,0,0,0,124212,7474,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,284,846,0,0,0,0,483,720,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,604,60,0,0,0,0,687,69,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225573,240094,274855,24672,0,0,0,0,0
531453,520346,825763,56223,0,0,0,0,1200,117895,7106,0,0,0,0,120210,7147,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,288,825,0,0,0,0,476,722,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,617,61,0,0,0,0,623,73,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230516,232267,273859,24352,0,0,0,0,0
538023,515526,826146,56153,0,0,0,0,1258,119469,7297,0,0,0,0,119468,7184,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,290,818,0,0,0,0,475,738,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,628,65,0,0,0,0,592,60,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232968,231781,274957,24620,0,0,0,0,0
541056,512644,824855,56384,0,0,0,0,1237,119385,7432,0,0,0,0,118996,7083,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,290,830,0,0,0,0,473,738,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,603,67,0,0,0,0,618,59,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233988,229761,274440,24622,0,0,0,0,0
539637,512281,826589,55903,0,0,0,0,1263,118725,7228,0,0,0,0,119502,7015,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,288,831,0,0,0,0,473,728,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,647,83,0,0,0,0,621,67,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232147,230728,274136,24370,0,0,0,0,0
534040,517776,825907,56210,0,0,0,0,1244,117538,7207,0,0,0,0,121006,7111,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,288,824,0,0,0,0,479,736,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,579,61,0,0,0,0,654,63,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229898,233945,274383,24313,0,0,0,0,0
527148,525432,825722,56305,0,0,0,0,1289,115500,7064,0,0,0,0,123031,7372,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,286,842,0,0,0,0,482,713,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,615,61,0,0,0,0,580,70,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226255,237902,274266,24485,0,0,0,0,0
506738,545166,826125,56303,0,0,0,0,1218,112186,6883,0,0,0,0,126678,7467,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,280,843,0,0,0,0,489,712,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,563,62,0,0,0,0,631,56,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219837,244729,274766,24214,0,0,0,0,0
488300,561827,826420,56078,0,0,0,0,1290,107901,6495,0,0,0,0,130734,7917,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,278,857,0,0,0,0,500,703,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,586,62,0,0,0,0,696,76,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212453,252160,274067,24547,0,0,0,0,0
