Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 84.00 degrees [A] RIGHT WP at 84.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96627,923483,837812,47816,0,0,0,0,414,21451,1069,0,0,0,0,216603,10838,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,231,1049,0,0,0,0,725,467,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,148,17,0,0,0,0,1061,84,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44594,421983,263835,21084,0,0,0,0,0
95617,922645,834005,47749,0,0,0,0,385,21074,1048,0,0,0,0,216923,10743,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,229,1058,0,0,0,0,729,466,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,149,15,0,0,0,0,1078,85,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44174,422438,263360,20907,0,0,0,0,0
99522,921453,837099,47547,0,0,0,0,420,21724,1085,0,0,0,0,216789,10585,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,228,1048,0,0,0,0,727,462,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,157,26,0,0,0,0,1084,83,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45511,422047,263961,20720,0,0,0,0,0
107094,916750,837983,47458,0,0,0,0,457,23280,1166,0,0,0,0,215851,10611,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,230,1051,0,0,0,0,723,464,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,162,16,0,0,0,0,1026,83,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48901,419885,264766,20895,0,0,0,0,0
119476,903484,834978,47508,0,0,0,0,468,25846,1282,0,0,0,0,213039,10542,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,229,1040,0,0,0,0,718,470,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,179,21,0,0,0,0,1225,94,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53842,414034,265111,20923,0,0,0,0,0
135953,889017,837021,47491,0,0,0,0,481,29408,1467,0,0,0,0,209905,10442,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,230,1036,0,0,0,0,705,482,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,198,20,0,0,0,0,1017,80,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60891,407547,266268,20771,0,0,0,0,0
155521,871694,835814,47515,0,0,0,0,573,33480,1738,0,0,0,0,205529,10151,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,227,1028,0,0,0,0,698,487,0,0,0,0,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,223,24,0,0,0,0,1048,71,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69061,398516,266233,20929,0,0,0,0,0
179449,850667,835036,47522,0,0,0,0,682,40334,1961,0,0,0,0,198526,9858,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,233,1003,0,0,0,0,677,501,0,0,0,0,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,237,26,0,0,0,0,971,75,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82284,384305,267084,20749,0,0,0,0,0
203403,831666,834279,47451,0,0,0,0,805,46345,2457,0,0,0,0,194425,9564,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,232,1006,0,0,0,0,662,526,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,287,32,0,0,0,0,924,74,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94304,375905,269903,20969,0,0,0,0,0
230530,805610,836578,47880,0,0,0,0,881,52907,2695,0,0,0,0,187084,9320,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,235,982,0,0,0,0,647,530,0,0,0,0,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,313,29,0,0,0,0,970,77,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106392,361865,270070,20588,0,0,0,0,0
