Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 86.00 degrees [A] RIGHT WP at 86.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96249,916625,826985,49912,0,0,0,0,392,21235,1073,0,0,0,0,213073,10790,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,226,1070,0,0,0,0,727,470,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,146,17,0,0,0,0,1027,87,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44209,415226,259518,21120,0,0,0,0,0
94714,917895,826358,50041,0,0,0,0,384,20881,1133,0,0,0,0,213605,11397,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,227,1054,0,0,0,0,730,471,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,144,16,0,0,0,0,1071,95,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43617,416696,260211,22063,0,0,0,0,0
97837,914196,826192,50285,0,0,0,0,396,20977,1088,0,0,0,0,213531,11170,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,226,1044,0,0,0,0,727,468,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,139,17,0,0,0,0,1062,82,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44191,416059,259841,21780,0,0,0,0,0
104916,910046,827210,50194,0,0,0,0,406,22558,1246,0,0,0,0,211751,11206,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,229,1058,0,0,0,0,723,471,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,160,21,0,0,0,0,1078,83,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47185,412237,260503,22037,0,0,0,0,0
117968,899466,827727,49937,0,0,0,0,451,25233,1295,0,0,0,0,209764,11068,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,226,1051,0,0,0,0,718,478,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,180,19,0,0,0,0,1031,76,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52473,408624,260931,21878,0,0,0,0,0
132906,885435,824161,49727,0,0,0,0,517,28166,1538,0,0,0,0,205639,10868,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,228,1043,0,0,0,0,710,484,0,0,0,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,221,21,0,0,0,0,1106,87,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58338,400225,260211,21825,0,0,0,0,0
152717,868119,827286,49767,0,0,0,0,622,34164,1869,0,0,0,0,200918,10463,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,228,1040,0,0,0,0,695,505,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,240,32,0,0,0,0,1014,79,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70262,389989,262444,21730,0,0,0,0,0
172875,852414,825529,50301,0,0,0,0,662,40041,2155,0,0,0,0,196003,10437,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,232,1022,0,0,0,0,681,516,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,248,30,0,0,0,0,928,89,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81448,380548,264379,21885,0,0,0,0,0
197001,828813,824010,50002,0,0,0,0,761,45097,2520,0,0,0,0,190262,10170,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,234,1009,0,0,0,0,665,532,0,0,0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,259,37,0,0,0,0,904,72,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92259,368260,264323,21962,0,0,0,0,0
224223,806218,825119,49891,0,0,0,0,850,51958,2815,0,0,0,0,184181,9701,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,236,992,0,0,0,0,649,538,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,318,31,0,0,0,0,880,76,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105422,355909,266006,21484,0,0,0,0,0
