Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 88.00 degrees [A] RIGHT WP at 88.00 degrees LCC WP [1] at 2.26 degrees LCC WP [1] voltage 2.265V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95569,912075,811943,56030,0,0,0,0,419,20866,1236,0,0,0,0,209435,11985,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,225,1084,0,0,0,0,731,478,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,164,17,0,0,0,0,995,115,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43721,409295,255938,23348,0,0,0,0,0
94360,914242,810541,57447,0,0,0,0,390,20243,1287,0,0,0,0,208029,12938,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,224,1064,0,0,0,0,734,483,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,140,24,0,0,0,0,1012,108,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42832,406831,254375,25114,0,0,0,0,0
96865,911013,810348,57518,0,0,0,0,408,20896,1267,0,0,0,0,207975,12776,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,227,1053,0,0,0,0,734,486,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,151,21,0,0,0,0,1040,96,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43993,406678,254720,25065,0,0,0,0,0
104551,904681,810396,57420,0,0,0,0,433,23232,1435,0,0,0,0,206625,12576,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,228,1069,0,0,0,0,726,488,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151,20,0,0,0,0,998,105,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48562,403916,256198,24774,0,0,0,0,0
116009,895676,812105,57302,0,0,0,0,508,25601,1652,0,0,0,0,203809,12567,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,228,1068,0,0,0,0,721,493,0,0,0,0,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,161,24,0,0,0,0,1009,94,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53832,397937,256264,24852,0,0,0,0,0
131387,881665,811174,57695,0,0,0,0,509,29070,1797,0,0,0,0,200332,12461,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,230,1047,0,0,0,0,712,500,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,197,24,0,0,0,0,972,97,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60310,390881,256803,24929,0,0,0,0,0
149498,865991,812839,57187,0,0,0,0,598,34052,2228,0,0,0,0,197649,12052,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,229,1045,0,0,0,0,699,507,0,0,0,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,215,27,0,0,0,0,971,87,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70845,384683,259946,24795,0,0,0,0,0
171857,845217,809407,57258,0,0,0,0,650,39296,2410,0,0,0,0,190637,11949,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,233,1029,0,0,0,0,686,524,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,258,32,0,0,0,0,961,94,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80151,371176,258762,25151,0,0,0,0,0
196227,825213,811536,57293,0,0,0,0,732,44683,2801,0,0,0,0,186361,11660,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,233,1018,0,0,0,0,670,530,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,281,39,0,0,0,0,899,79,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91717,362140,260369,24841,0,0,0,0,0
222890,802905,811565,57101,0,0,0,0,777,50997,3243,0,0,0,0,181220,11287,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,238,1012,0,0,0,0,654,547,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,296,41,0,0,0,0,878,98,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103678,352154,262280,24870,0,0,0,0,0
