Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 0.00 degrees [A] RIGHT WP at 0.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95901,915366,873173,53671,0,0,0,0,400,20860,1107,0,0,0,0,213175,11165,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,231,1065,0,0,0,0,711,470,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,153,24,0,0,0,0,1051,107,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43822,414494,259696,22526,0,0,0,0,0
94876,918764,874677,53776,0,0,0,0,372,20528,1122,0,0,0,0,213333,11207,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,230,1057,0,0,0,0,714,467,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,152,20,0,0,0,0,1066,86,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43027,414944,259493,22677,0,0,0,0,0
98452,916213,873135,53339,0,0,0,0,387,21340,1197,0,0,0,0,213125,11101,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,225,1050,0,0,0,0,711,471,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,144,24,0,0,0,0,1018,91,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44711,414140,260597,22488,0,0,0,0,0
107185,908184,873275,53538,0,0,0,0,423,22977,1230,0,0,0,0,211723,11191,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,228,1045,0,0,0,0,707,473,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,152,17,0,0,0,0,1018,77,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48176,411126,261155,22633,0,0,0,0,0
119766,898275,875045,53388,0,0,0,0,450,25595,1407,0,0,0,0,210825,11022,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,229,1043,0,0,0,0,699,475,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,179,23,0,0,0,0,1020,94,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53437,409007,263311,22613,0,0,0,0,0
137063,883924,874317,53635,0,0,0,0,503,29645,1610,0,0,0,0,206161,10893,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,231,1054,0,0,0,0,690,484,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,192,24,0,0,0,0,970,88,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61300,399573,263211,22780,0,0,0,0,0
156685,867750,875218,53765,0,0,0,0,604,33963,1858,0,0,0,0,202989,10554,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,230,1047,0,0,0,0,677,497,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,217,24,0,0,0,0,1016,79,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70089,392376,265296,22604,0,0,0,0,0
181503,847257,875867,53882,0,0,0,0,701,38961,2090,0,0,0,0,197491,10536,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,232,1031,0,0,0,0,664,509,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,248,26,0,0,0,0,917,82,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79859,381791,265368,22695,0,0,0,0,0
206411,824289,876124,53717,0,0,0,0,739,44709,2376,0,0,0,0,193337,10138,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,231,1010,0,0,0,0,650,516,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,275,32,0,0,0,0,950,89,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90881,372818,268087,22560,0,0,0,0,0
235751,798007,876444,54081,0,0,0,0,810,51160,2759,0,0,0,0,188673,9890,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,230,989,0,0,0,0,632,533,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,317,37,0,0,0,0,921,87,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103776,362937,270940,22607,0,0,0,0,0
265743,774516,879124,53427,0,0,0,0,885,57601,3144,0,0,0,0,182420,9654,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,233,972,0,0,0,0,614,547,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,339,32,0,0,0,0,831,77,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115692,350392,272558,22844,0,0,0,0,0
296426,745619,879547,53744,0,0,0,0,915,64165,3539,0,0,0,0,176566,9174,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,237,965,0,0,0,0,600,561,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,365,35,0,0,0,0,889,77,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129042,338282,273469,22608,0,0,0,0,0
328086,717522,879193,53554,0,0,0,0,1028,72777,3946,0,0,0,0,168079,8714,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,239,935,0,0,0,0,573,582,0,0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,358,44,0,0,0,0,779,71,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144919,321807,274907,22414,0,0,0,0,0
354465,691740,877561,53488,0,0,0,0,1114,79520,4209,0,0,0,0,160599,8393,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,245,920,0,0,0,0,559,604,0,0,0,0,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,421,46,0,0,0,0,772,66,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157624,306875,274794,22497,0,0,0,0,0
384638,665964,880283,53885,0,0,0,0,1121,86335,4686,0,0,0,0,154768,7929,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,247,905,0,0,0,0,539,621,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,431,50,0,0,0,0,778,62,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170606,295171,276557,22466,0,0,0,0,0
