Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 2.00 degrees [A] RIGHT WP at 2.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95419,921031,870366,59604,0,0,0,0,381,20737,1241,0,0,0,0,215280,12495,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,227,1084,0,0,0,0,712,470,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,139,21,0,0,0,0,1121,108,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43839,418906,263231,24913,0,0,0,0,0
95552,920128,869655,59552,0,0,0,0,401,20875,1265,0,0,0,0,214783,12595,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,228,1071,0,0,0,0,712,471,0,0,0,0,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,149,20,0,0,0,0,1047,95,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43937,418311,262902,25246,0,0,0,0,0
98393,918333,868793,59669,0,0,0,0,371,21177,1311,0,0,0,0,213971,12725,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,230,1067,0,0,0,0,711,471,0,0,0,0,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,136,20,0,0,0,0,1062,102,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44478,416949,262373,25412,0,0,0,0,0
106561,910154,868351,59785,0,0,0,0,419,22693,1409,0,0,0,0,211181,12505,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,226,1081,0,0,0,0,710,469,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,168,21,0,0,0,0,1011,94,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47462,411329,260960,25337,0,0,0,0,0
116833,900340,866375,59802,0,0,0,0,473,24418,1506,0,0,0,0,208649,12416,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,227,1057,0,0,0,0,703,481,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,180,20,0,0,0,0,982,98,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51134,405979,260465,25295,0,0,0,0,0
133107,886020,866410,59557,0,0,0,0,547,29413,1737,0,0,0,0,204178,12056,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,229,1035,0,0,0,0,688,500,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,191,31,0,0,0,0,955,90,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61096,396276,261766,25103,0,0,0,0,0
151758,868785,865060,59316,0,0,0,0,624,33810,2028,0,0,0,0,199000,11793,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,229,1046,0,0,0,0,679,499,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,203,24,0,0,0,0,929,101,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69921,385627,261688,24953,0,0,0,0,0
172826,851368,866668,59193,0,0,0,0,692,38944,2429,0,0,0,0,194721,11415,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,229,1039,0,0,0,0,663,510,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,241,29,0,0,0,0,920,91,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80198,376751,263316,24716,0,0,0,0,0
195749,826777,865336,58811,0,0,0,0,734,45043,2705,0,0,0,0,188985,11033,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,229,1011,0,0,0,0,648,530,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,263,34,0,0,0,0,906,80,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91611,365142,264452,24752,0,0,0,0,0
222648,804598,864884,58859,0,0,0,0,881,50491,3050,0,0,0,0,182341,10720,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,232,993,0,0,0,0,632,543,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,297,35,0,0,0,0,879,80,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102504,351733,264068,24547,0,0,0,0,0
263311,766042,862883,59613,0,0,0,0,903,56907,3440,0,0,0,0,176232,10481,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,232,985,0,0,0,0,614,569,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,292,46,0,0,0,0,806,86,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114552,339861,265299,24660,0,0,0,0,0
294196,735662,863820,58929,0,0,0,0,943,64343,3875,0,0,0,0,169760,10051,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,237,973,0,0,0,0,597,575,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,354,35,0,0,0,0,801,72,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128339,327356,267096,24553,0,0,0,0,0
326747,709491,863557,59255,0,0,0,0,984,71497,4224,0,0,0,0,163409,9586,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,239,948,0,0,0,0,577,597,0,0,0,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,375,39,0,0,0,0,804,73,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142539,313704,268615,24625,0,0,0,0,0
357045,679444,862499,59053,0,0,0,0,1053,77431,4656,0,0,0,0,156618,9201,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,246,923,0,0,0,0,560,610,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,422,45,0,0,0,0,817,79,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154294,300272,268216,24429,0,0,0,0,0
388253,651414,862401,59392,0,0,0,0,1135,84403,5170,0,0,0,0,150717,8816,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,250,918,0,0,0,0,541,635,0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,452,56,0,0,0,0,761,84,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166823,289281,270297,24653,0,0,0,0,0
417469,625823,863168,59100,0,0,0,0,1143,90652,5297,0,0,0,0,144053,8614,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,253,898,0,0,0,0,526,651,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,443,50,0,0,0,0,763,81,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178188,276422,270670,24383,0,0,0,0,0
443336,600172,864868,59078,0,0,0,0,1177,96608,5820,0,0,0,0,138678,8088,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,259,885,0,0,0,0,509,662,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,508,56,0,0,0,0,766,72,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,265566,271554,24370,0,0,0,0,0
470249,578295,865580,59225,0,0,0,0,1182,102310,6236,0,0,0,0,134525,7935,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,263,870,0,0,0,0,498,675,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,510,50,0,0,0,0,648,67,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200818,257924,273458,24695,0,0,0,0,0
490457,559299,866075,59193,0,0,0,0,1190,106137,6347,0,0,0,0,129694,7652,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,266,859,0,0,0,0,486,697,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,576,59,0,0,0,0,620,73,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207539,248627,272671,24607,0,0,0,0,0
508437,542507,865940,59087,0,0,0,0,1212,110413,6805,0,0,0,0,125789,7510,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,271,843,0,0,0,0,475,707,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,538,56,0,0,0,0,623,61,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215822,241448,273482,24854,0,0,0,0,0
523454,529762,867668,59521,0,0,0,0,1180,113862,6851,0,0,0,0,122394,7263,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,275,838,0,0,0,0,469,712,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,545,54,0,0,0,0,616,62,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221479,235298,273634,24703,0,0,0,0,0
532630,520186,867376,59819,0,0,0,0,1234,115633,7018,0,0,0,0,121567,7242,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,277,831,0,0,0,0,462,721,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,576,56,0,0,0,0,578,60,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225702,232711,275088,24922,0,0,0,0,0
539114,515495,869441,59638,0,0,0,0,1231,117183,7033,0,0,0,0,119540,7035,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,277,834,0,0,0,0,457,723,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,607,58,0,0,0,0,578,72,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227992,228823,274856,24696,0,0,0,0,0
