Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 6.00 degrees [A] RIGHT WP at 6.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95299,912869,837495,85225,0,0,0,0,410,19510,1774,0,0,0,0,204930,18013,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,228,1083,0,0,0,0,727,500,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,135,30,0,0,0,0,1003,140,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42306,402949,253982,35443,0,0,0,0,0
94454,914763,837057,85894,0,0,0,0,379,19747,1820,0,0,0,0,204337,18277,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,225,1098,0,0,0,0,730,498,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,135,30,0,0,0,0,972,140,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42187,402408,253753,36197,0,0,0,0,0
98469,911464,837946,85407,0,0,0,0,388,20300,1874,0,0,0,0,203257,18227,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,228,1104,0,0,0,0,727,500,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,142,24,0,0,0,0,1025,137,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43463,400382,253073,36065,0,0,0,0,0
106259,905786,835484,85382,0,0,0,0,438,21908,2041,0,0,0,0,202466,18020,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,227,1090,0,0,0,0,725,504,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,155,29,0,0,0,0,999,133,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46700,398464,254259,35931,0,0,0,0,0
118822,894578,838885,85083,0,0,0,0,451,24467,2237,0,0,0,0,200375,17666,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,225,1071,0,0,0,0,714,508,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,164,29,0,0,0,0,967,134,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52155,393522,255031,35610,0,0,0,0,0
135256,878500,835897,85609,0,0,0,0,552,27616,2544,0,0,0,0,197601,17698,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,229,1085,0,0,0,0,707,519,0,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,191,37,0,0,0,0,1056,138,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58802,387844,256106,36027,0,0,0,0,0
155280,860945,835379,85445,0,0,0,0,593,32034,2956,0,0,0,0,193856,17277,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,225,1059,0,0,0,0,698,530,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,202,32,0,0,0,0,1015,130,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67402,380659,256834,36081,0,0,0,0,0
177908,843127,837000,86194,0,0,0,0,713,36225,3359,0,0,0,0,189790,17005,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,230,1052,0,0,0,0,685,540,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,249,50,0,0,0,0,911,121,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76206,371619,257899,36274,0,0,0,0,0
201499,820216,835885,85626,0,0,0,0,745,41249,3628,0,0,0,0,185655,16506,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,229,1038,0,0,0,0,669,551,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,295,39,0,0,0,0,929,123,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86013,362688,259478,35893,0,0,0,0,0
228879,797214,836820,85377,0,0,0,0,805,49337,4517,0,0,0,0,177052,15676,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,234,1027,0,0,0,0,647,566,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,286,46,0,0,0,0,853,117,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101919,345841,259314,35904,0,0,0,0,0
