Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 8.00 degrees [A] RIGHT WP at 8.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95507,914312,819451,103804,0,0,0,0,414,19527,2203,0,0,0,0,201776,21467,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,225,1119,0,0,0,0,735,512,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,141,31,0,0,0,0,1005,176,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42732,399023,252985,42334,0,0,0,0,0
94951,916515,818323,106033,0,0,0,0,399,19699,2250,0,0,0,0,199829,22860,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,227,1127,0,0,0,0,740,521,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,144,26,0,0,0,0,946,147,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42762,396796,251986,44510,0,0,0,0,0
98333,912811,816352,106123,0,0,0,0,404,19842,2295,0,0,0,0,200323,22642,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,227,1124,0,0,0,0,738,522,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,161,24,0,0,0,0,969,168,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43295,397516,252227,44552,0,0,0,0,0
105733,906988,819664,105271,0,0,0,0,404,21326,2534,0,0,0,0,199298,22235,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,229,1105,0,0,0,0,734,523,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,135,34,0,0,0,0,914,133,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46250,395181,252779,44161,0,0,0,0,0
118395,896552,819796,105680,0,0,0,0,449,23759,2636,0,0,0,0,197930,22366,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,227,1101,0,0,0,0,730,529,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,157,34,0,0,0,0,970,143,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51242,392395,254434,44507,0,0,0,0,0
133274,882242,817008,105348,0,0,0,0,528,26452,2998,0,0,0,0,194087,21924,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,229,1109,0,0,0,0,720,537,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,218,39,0,0,0,0,1071,136,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56958,384619,253116,44189,0,0,0,0,0
153374,865163,818523,105091,0,0,0,0,602,30733,3469,0,0,0,0,191157,21565,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,229,1099,0,0,0,0,709,544,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,207,40,0,0,0,0,976,157,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65940,377970,255355,44294,0,0,0,0,0
175961,845600,817324,105885,0,0,0,0,627,35024,4074,0,0,0,0,185988,21238,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,227,1079,0,0,0,0,697,553,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,247,38,0,0,0,0,959,126,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74984,367896,254605,44397,0,0,0,0,0
200937,824169,817846,105134,0,0,0,0,698,40196,4624,0,0,0,0,181948,20575,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,231,1058,0,0,0,0,683,568,0,0,0,0,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,272,54,0,0,0,0,926,140,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85004,359515,256365,44215,0,0,0,0,0
228329,798688,818294,105358,0,0,0,0,822,48871,5781,0,0,0,0,174180,19758,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,234,1056,0,0,0,0,658,590,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,270,57,0,0,0,0,844,140,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102240,344575,258217,44068,0,0,0,0,0
