Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 14.00 degrees [A] RIGHT WP at 14.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95578,912915,737973,185460,0,0,0,0,354,17882,3977,0,0,0,0,181519,38989,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,228,1194,0,0,0,0,783,593,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,130,43,0,0,0,0,884,264,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41577,373733,239275,75230,0,0,0,0,0
94520,913124,737062,186086,0,0,0,0,387,17498,4002,0,0,0,0,180988,40558,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,228,1205,0,0,0,0,787,591,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,114,35,0,0,0,0,916,257,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41011,374129,239154,77716,0,0,0,0,0
98155,910912,738557,185926,0,0,0,0,382,18383,4207,0,0,0,0,181161,40203,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,226,1206,0,0,0,0,786,594,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,130,43,0,0,0,0,887,245,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42692,374166,240099,77677,0,0,0,0,0
105866,905510,739579,186180,0,0,0,0,434,19251,4501,0,0,0,0,180206,39939,0,0,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,227,1200,0,0,0,0,781,599,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,150,47,0,0,0,0,869,253,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45187,372080,239978,77485,0,0,0,0,0
118271,893219,738190,186354,0,0,0,0,477,21765,4901,0,0,0,0,177942,40153,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,226,1204,0,0,0,0,775,605,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,150,52,0,0,0,0,865,254,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526,368333,240484,78031,0,0,0,0,0
134342,879273,738567,185941,0,0,0,0,518,24542,5584,0,0,0,0,174651,39053,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,229,1186,0,0,0,0,767,616,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,180,55,0,0,0,0,895,227,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56545,360924,239795,77473,0,0,0,0,0
154348,862219,737927,185846,0,0,0,0,593,28128,6292,0,0,0,0,171636,38123,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,233,1182,0,0,0,0,753,621,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,183,54,0,0,0,0,837,230,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64451,354271,240248,76881,0,0,0,0,0
178417,840912,739028,185767,0,0,0,0,647,32275,7233,0,0,0,0,168698,37007,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,235,1159,0,0,0,0,740,636,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,227,67,0,0,0,0,804,226,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74008,347406,241235,76643,0,0,0,0,0
199532,822440,737666,185181,0,0,0,0,731,38376,8615,0,0,0,0,162811,36223,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,237,1155,0,0,0,0,720,653,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,239,79,0,0,0,0,832,222,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86996,336500,241536,76757,0,0,0,0,0
226725,797414,737298,185811,0,0,0,0,776,43805,9891,0,0,0,0,157428,34912,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,244,1141,0,0,0,0,702,673,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,259,86,0,0,0,0,781,217,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98813,325115,241623,76392,0,0,0,0,0
