Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 16.00 degrees [A] RIGHT WP at 16.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95777,917330,713940,215703,0,0,0,0,397,17593,4504,0,0,0,0,177729,46063,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,229,1231,0,0,0,0,800,612,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,123,47,0,0,0,0,875,281,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41799,372282,238442,88163,0,0,0,0,0
94822,918822,713240,218625,0,0,0,0,391,17110,4771,0,0,0,0,176292,47938,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,230,1234,0,0,0,0,804,614,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,115,58,0,0,0,0,832,295,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41210,371268,237241,91797,0,0,0,0,0
98471,916574,712516,219714,0,0,0,0,373,17408,4916,0,0,0,0,175721,47769,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,227,1236,0,0,0,0,804,618,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,135,60,0,0,0,0,911,273,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42149,369506,236734,91954,0,0,0,0,0
106514,911188,713210,218231,0,0,0,0,447,19072,5234,0,0,0,0,174343,47787,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,226,1238,0,0,0,0,800,622,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,139,54,0,0,0,0,897,275,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45574,367642,237420,91982,0,0,0,0,0
118025,901016,712991,219562,0,0,0,0,427,20845,5807,0,0,0,0,173501,47038,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,229,1227,0,0,0,0,794,625,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,149,61,0,0,0,0,904,311,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49776,364858,238552,91565,0,0,0,0,0
134028,886159,711787,219525,0,0,0,0,487,23389,6487,0,0,0,0,171060,46812,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,231,1222,0,0,0,0,785,637,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,190,74,0,0,0,0,839,267,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55995,360394,238439,91855,0,0,0,0,0
153792,869391,712999,219143,0,0,0,0,592,27073,7233,0,0,0,0,167599,45515,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,235,1212,0,0,0,0,774,649,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,195,76,0,0,0,0,804,276,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63691,352782,237971,91347,0,0,0,0,0
176046,850353,714672,219618,0,0,0,0,646,32610,9164,0,0,0,0,163256,44868,0,0,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,237,1196,0,0,0,0,754,666,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,213,69,0,0,0,0,818,262,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76920,344585,239804,92151,0,0,0,0,0
197747,831474,712178,219046,0,0,0,0,782,37678,10366,0,0,0,0,158897,43295,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,241,1185,0,0,0,0,738,681,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,223,85,0,0,0,0,793,258,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87814,335651,240030,91431,0,0,0,0,0
225170,807096,712486,219522,0,0,0,0,821,42847,11884,0,0,0,0,153191,41824,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,245,1169,0,0,0,0,722,696,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,241,94,0,0,0,0,733,263,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99232,323753,239209,91442,0,0,0,0,0
